P26436	Q9NRM0
P09874	Q06609
P09874	Q14676
P09912	Q8IY21
P09912	Q8WXG1
P0C0S5	Q96KB5
P10124	P61073
P10275	Q13043
P10276	Q9Y2X0
P10415	Q00653
P10586	P33151
P10747	Q9Y4H2
P10809	P62829
P10827	P22736
P10909	Q03001
P10914	P16220
P11021	Q06830
P11021	Q92616
P11142	P58107
P11217	P20929
P11309	P24864
P11309	Q9UBE8
P11387	Q99697
P11387	Q9H3D4
P11473	Q9UQL6
P11474	Q92841
P11532	Q13813
P11717	Q99523
P11717	Q9Y5Z0
P11912	Q08881
P12004	P45983
P12109	Q05682
P12318	P15498
P12524	Q9BW11
P12643	P37023
P12814	Q13480
P12931	P23467
P12931	Q99683
P12931	Q9H3Y6
P12956	Q7Z2E3
P13010	P40937
P13637	P27361
P13647	P31947
P14136	P23677
P14136	Q7L0J3
P14151	Q13239
P0DP23	P14373
P0DP24	P14373
P0DP25	P14373
P14866	P38159
P14921	Q13469
P15056	Q13627
P15056	Q8WXI2
P15104	Q06187
P15170	P55211
P15336	Q02750
P15923	P49918
P15941	Q8WUM4
P15976	P43694
P16871	P17947
P17252	P46821
P17600	P31946
P17676	P38936
P17677	Q9H2X9
P17812	P49454
P17987	P34931
P18031	P42768
P18084	P43405
P18846	Q13351
P19174	P20963
P19338	Q00610
P19388	Q9BX70
P19419	P42771
P19525	Q9UHD2
P19784	Q01201
P19793	Q9Y466
P20248	Q14191
P20292	P29466
P20333	P32927
P20936	Q07890
P20963	Q13651
P21579	Q9UHC6
P21580	P49815
P21730	Q16548
P21802	Q12866
P21860	Q16825
P21918	Q9UK39
P22001	Q92796
P22234	P33316
P22626	P99999
P23396	Q00526
P23458	P51451
P23588	P46778
P24844	Q99969
P25445	Q02556
P25705	P36873
P25705	Q92616
P25789	Q7L2H7
P25963	Q07020
P26006	P27824
P26006	Q9UKX5
P26641	P31946
P27348	Q9Y265
P27361	Q14686
P27694	P31350
P27708	Q92538
P27986	Q15075
P28749	P62136
P28908	Q8IUC6
P29084	Q15542
P29084	Q15543
P29350	P48023
P29350	P59901
P29350	Q14449
P29350	Q14451
P29350	Q99062
P29350	Q9H204
P29350	Q9Y6K9
P29353	Q9BX66
P29374	Q66K89
P29590	Q9NP62
P30260	P63208
P30281	P61024
P30281	Q13547
P30291	P49137
P30307	Q99759
P31323	P49841
P31689	Q92616
P31749	Q9NRY4
P31751	Q04917
P31751	Q9Y2U5
P31785	Q9NSE2
P31946	Q96DM3
P31946	Q9Y2J0
P32246	P51685
P32246	Q9NSI8
P32927	Q9NSI8
P33176	P46527
P33176	Q00537
P33176	Q53ET0
P33176	Q86X27
P33176	Q99759
P33552	Q9NSP4
P33993	Q96FC9
P33993	Q96T76
P34931	P46940
P35222	Q8N7H5
P35249	Q9HBM1
P35354	P51636
P35568	Q00839
P35568	Q86VP6
P36507	P45985
P36941	Q99558
P36941	Q99683
P36955	P48061
P37231	Q9GZV5
P38936	Q9H160
P39019	Q99558
P39059	Q05682
P39748	Q96KB5
P40227	Q16543
P40763	Q01105
P40763	Q13568
P40818	P49796
P40818	Q6ICG6
P40818	Q86X27
P40939	P46934
P0DP23	P40939
P0DP24	P40939
P0DP25	P40939
P41220	P49798
P41279	Q13043
P41279	Q92956
P41743	P49841
P42166	Q99741
P42166	Q9NVI1
P42229	P42768
P42229	Q04206
P42345	Q99683
P42684	Q9GZY6
P43405	P78352
P45984	Q16659
P46459	P51693
P46527	Q05397
P46527	Q9H4A3
P46782	Q5JTH9
P46937	Q92574
P46940	Q13177
P47712	Q99417
P47756	P48643
P48061	Q14515
P48552	P55345
P48552	P61201
P48552	Q00987
P48552	Q12778
P48643	P49411
P49023	Q9UQC2
P49116	Q15406
P49368	P62308
P49427	Q9UNN5
P49662	Q9ULZ3
P49810	Q9NQB0
P49815	Q02241
P49815	Q9P0K7
P49841	Q9Y618
P50539	Q9UBS5
P50591	Q9NWB7
P50750	Q9NWA0
P51532	Q14994
P51587	Q8N2W9
P51610	P54198
P51610	P68431
P51617	P60903
P51911	Q03135
P52564	Q9Y463
P52735	Q9ULV8
P53779	Q06413
P53999	P62308
P54132	Q92769
P54278	Q9H3D4
P55210	Q9NWB7
P56282	P61024
P56524	Q9UBB5
P60201	Q9H313
P60228	P83881
P60228	Q15691
P60709	Q15208
P60709	Q99683
P60866	Q96L21
P61024	Q71F23
P61224	P62701
P61247	Q13895
P61266	Q14183
P61266	Q14184
P61586	Q06481
P61812	Q92743
P61978	P62888
P62136	Q13522
P62249	Q13158
P62249	Q9NR30
P62826	Q14192
P62899	Q13765
P63104	Q15628
P63104	Q9BZL6
P63104	Q9UQ07
P63313	P68363
P67775	Q13224
P68371	Q99558
P78317	Q13772
P78317	Q96EQ8
P78352	Q96FW1
P81274	Q9Y272
P84074	Q9UI15
P84243	Q8WW38
P98170	Q07817
Q00403	Q14498
Q00537	Q9H4A3
Q00610	Q08380
Q00610	Q15750
Q00978	Q13325
Q00987	Q13617
Q01085	Q02156
Q01105	Q93009
Q01650	Q9UM01
Q01658	Q9H8E8
Q02156	Q14103
Q02224	Q12815
Q02556	Q9UH73
Q03135	Q15746
Q05586	Q13557
Q06187	Q71U36
Q07325	Q9P0V8
Q07954	Q9UPT6
Q12772	Q15418
Q12834	Q9H8V3
Q12959	Q92823
Q13043	Q16539
Q13111	Q96H22
Q13309	Q9UNN5
Q13322	Q96S96
Q13330	Q13363
Q13362	Q14BN4
Q13387	Q9UPR5
Q13501	Q9P0L2
Q13794	Q9NQS1
Q13875	Q92565
Q14195	Q8IUX7
Q14451	Q9P104
Q14582	Q9NP71
Q14974	Q9BQG0
Q15004	Q9NRZ9
Q15784	Q9NYL2
Q15796	Q16236
Q15797	Q9UMR3
Q15906	Q96JC9
Q15915	Q92793
Q16352	Q9ULB1
Q16543	Q9Y2U5
Q16832	Q9UM73
Q53T94	Q9H9Y6
Q5H8A3	Q9GZQ4
Q5S007	Q9Y6H5
Q5T750	Q9BU23
Q5VWQ8	Q9Y2U5
Q68DA7	Q96RU3
Q6EMB2	Q9HCX4
Q6PCD5	Q99496
B7U540	Q9HAP6
Q6WCQ1	Q8WUI4
Q7Z333	Q92833
Q7Z434	Q99759
Q8IVU3	Q9HB58
Q8IXJ6	Q9HCU9
Q8IY21	Q9H0J9
O00148	P26599
O00159	P0DPH7
O00159	P0DPH8
O00159	Q9NRL2
O00165	P17066
O00165	P49407
Q8IYM9	Q8WXG1
Q8N2H9	Q9BVA1
Q8N2W9	Q93009
Q8N3U4	Q92834
Q8N8U2	Q92769
Q8NDV3	Q9NTI5
Q8NFD5	Q92769
Q8NFZ5	Q9Y4K3
O00255	Q96JB5
O00257	P29375
O00257	P48552
O00299	P50454
Q8TB24	Q8WYP3
Q8TEL6	Q99759
Q8WVK7	Q96EA4
Q8WX92	Q9ULW0
Q92769	Q92993
Q92832	Q99435
Q92905	Q9BYD1
Q96B01	Q9UQ84
Q96BD6	Q9UK73
O00410	Q8N1F7
Q96JC9	Q9H2F5
Q96L50	Q96S21
Q96L50	Q99619
Q96R06	Q9H900
Q99558	Q9Y5U5
Q99608	Q9H213
Q99801	Q9BQ50
Q9BT56	Q9GZZ7
Q9BXH1	Q9H2V7
Q9BZ71	Q9GZZ7
O00487	Q9Y265
O00555	Q13936
O00716	O75030
O00750	Q07890
Q9H0F6	Q9Y3R0
Q9H0M0	Q9Y3F4
Q9H7Z6	Q9NXR8
Q9HAV4	Q9Y265
Q9HBM1	Q9UBU7
Q9NYV4	Q9UMN6
Q9UBF2	Q9UPM8
Q9UER7	Q9UK53
Q9UER7	Q9UQ80
Q9UI15	Q9UPP5
Q9UI15	Q9UQB3
Q9UQB3	Q9Y6Y1
O00764	P78352
O14498	P20908
O14543	Q13322
O14594	P31946
O14654	P62249
O14757	Q9Y4R8
O14776	Q01081
O14777	Q9NSP4
O14782	Q9UBS5
O14786	P29353
O14920	O95831
O14920	Q9Y616
O14929	P63165
O14933	Q6GPH4
O14948	P55008
O14948	Q9UM01
O14964	P31749
O14976	P50570
O14980	Q99986
O14981	P49848
O15069	Q9UQ16
O15085	P52565
O15111	Q13885
O15111	Q9UER7
O15264	P23443
O15379	P33076
O15397	P63261
O15530	P04075
O43143	P40227
O43242	Q9BUZ4
O43283	Q9BVA1
O43463	P05412
O43482	P04818
O43513	Q96PK6
O43639	Q96J84
O43663	Q8NI77
O43791	P21580
O43914	P01009
O43918	P83916
O43921	P98172
O60229	P35228
O60238	Q9BXH1
O60244	P52435
O60262	P59768
O60282	Q9Y2H2
O60333	P23634
O60341	Q13535
O60341	Q8NHM5
O60506	P24863
O60563	Q9Y618
O60641	Q9UBS5
O60645	P78352
O60664	Q9UJY5
O60674	Q8WU20
O75081	P08047
O75146	P31946
O75330	Q9NS87
O75369	Q8WV28
O75381	Q13608
O75444	Q16621
O75530	Q15008
O75578	Q13683
O75592	Q13627
O75691	P53621
O75807	P38398
O75821	Q9Y3U8
O75832	P63165
O75891	P63104
O75909	P28749
O75914	P15498
O75925	Q9UBS8
O75925	Q9UNL4
O94759	Q13507
O94810	P49758
O94810	P49802
O94832	P38646
O95163	P35568
O95167	P14854
O95196	P31946
O95197	Q9UBS5
O95294	Q06481
O95373	P42704
O95502	Q9P2U7
O95628	Q99942
O95721	Q9UNF0
O95782	P78352
O95813	Q13368
O95816	Q07020
O95816	Q92616
O95831	P21333
O95863	Q13330
O95886	Q7Z6J2
O95967	P36955
O95970	Q16478
O95999	P63261
O96017	Q66K89
O96020	Q6PL18
O96020	Q96B01
O96028	Q9UKL0
P00519	P63244
P00533	P19784
P00533	P40189
P00533	Q13588
P00558	P27361
P00736	P17936
P00736	P19320
P01106	P12524
P01106	P25963
P01112	P35568
P01308	P53674
P01563	Q92793
P01574	P53779
P01730	P05107
P02452	Q8IWU6
P02461	P24844
P02533	P04259
P02746	P07858
P02794	P43490
P03372	Q99759
P03372	Q9Y466
P04049	P05412
P04150	P16591
P04233	P17693
P04406	P18124
P04406	P34932
P04406	Q02156
P04439	P62750
P04626	P05412
P04626	Q04206
P04899	P0DMS8
P04899	P0DMS9
P05107	P08514
P05107	P42331
P05164	P25063
P05387	P19338
P05496	P10176
P06239	Q15256
P06241	P11362
P06400	Q9UIS9
P06493	P33992
P06493	Q92820
P07197	Q7L1I2
P07197	Q8TDI0
P07288	P08246
P07333	Q04912
P07355	P10523
P07437	P16615
P07948	Q9NSI8
P08047	Q02078
P08047	Q9UKG1
P08238	P17858
P08247	Q9P2U7
P08579	Q8TEQ6
P08670	P10275
P08670	Q16531
P09211	P21266
P09471	P31946
P09543	P78352
P09619	Q8WX92
P09693	P12544
P09769	Q13761
P09871	P12814
P09874	Q99558
P09912	P32455
P09913	Q6GPH4
P09917	P19397
P09972	Q9BWQ8
P10144	Q13323
P10145	Q01201
P10275	P29474
P10275	P51587
P10275	P51608
P10276	Q13285
P10398	Q8WX92
P10398	Q99683
P10523	P62330
P10912	P48357
P10912	Q13094
P10914	P17181
P10914	P35222
P11021	Q15758
P11021	Q8NFZ5
P11387	Q16665
P11473	Q92841
P11474	P49116
P11802	Q5MJ70
P11802	Q92831
P12004	Q7Z2E3
P12110	P98160
P12110	Q6UWY5
P12110	Q92743
P12236	P62244
P12236	Q9Y230
P12268	P62249
P12931	P22607
P12931	Q8WV41
P13010	Q8IY92
P13056	Q03181
P13473	Q14108
P13639	P46779
P13647	P31946
P14151	P41218
P14373	Q8NHZ7
P14616	Q14449
P14672	P17661
P14672	P49755
P14859	Q15596
P14867	Q9UPP5
P14902	P32455
P14921	Q00403
P14921	Q06413
P14923	P29350
P15172	P38398
P15408	Q9ULX9
P15923	Q15910
P15941	P40763
P15941	Q96B97
P16104	P22415
P16284	P18031
P16471	P42229
P16871	P32248
P17301	Q9UKX5
P17676	Q02556
P17987	P42677
P18031	Q13905
P18848	P45983
P19235	Q9UPX8
P19338	P61981
P19338	Q3ZCQ8
P19388	Q9Y5B0
P19419	P68400
P19784	Q13950
P19793	Q14995
P19838	P80188
P20073	Q15041
P20138	Q14289
P20226	P48729
P20226	Q96L91
P20290	P62847
P20592	P30511
P20908	P36955
P20908	P49747
P20908	Q99969
P21579	Q86SE5
P21802	P30530
P21918	Q9NYV7
P22001	P35609
P22794	Q9H2W1
P23246	P26373
P23246	P62269
P23246	P62277
P23458	P42685
P23588	P49207
P24588	Q9UKA4
P24723	P61586
P24928	Q16514
P25098	Q14289
P25208	P32780
P25705	Q9UM54
P25705	Q9Y230
P25942	Q14257
P25963	P29353
P25963	P48552
P26358	P35659
P26358	Q04206
P26373	P61978
P26436	Q9Y267
P26640	P27361
P26998	Q02577
P26998	Q12851
P26998	Q8N568
P26998	Q9NYW6
P27348	Q96SB4
P27361	Q05586
P27986	Q9NZQ3
P28331	P31946
P28562	P43354
P28702	P35869
P28908	Q92851
P29084	Q15545
P29320	P29323
P29350	Q9NSE2
P0DP23	P29353
P0DP24	P29353
P0DP25	P29353
P29353	Q86VP1
P29590	Q03181
P30050	Q14103
P30153	P49841
P30305	Q12778
P30530	P42768
P31146	Q14761
P31689	Q9NR30
P31689	Q9UNE7
P31749	Q13131
P31749	Q92560
P31751	P41743
P31751	Q15418
P31751	Q16512
P31946	Q92747
P31946	Q9H2X9
P31948	P68400
P31949	Q9Y6N5
P31994	Q05397
P32248	Q07325
P32780	P63165
P33032	Q01726
P33176	P49796
P33176	Q9UDY2
P33993	Q12834
P33993	Q15653
P33993	Q16763
P34931	Q08211
P35226	Q9NRZ9
P35240	Q13620
P35240	Q92905
P35442	Q03692
P35580	Q05586
P36507	Q99759
P36543	P63104
P36941	Q9NYJ8
P38159	P62081
P38398	P41279
P38398	Q6PL18
P38398	Q9UNS1
P38936	Q16589
P38936	Q92574
P39059	Q01995
P39748	Q9UKT4
P40763	Q7Z6Z7
P40763	Q8WYK2
P40763	Q9H2X6
P41212	Q02078
P41235	Q96RN5
P41252	Q01780
P41252	Q5JTH9
P42166	P55212
P42224	Q13094
P42262	Q9Y6N8
P42336	Q9H204
P42574	P68400
P42574	Q92769
P42684	Q13588
P42685	P52333
P42768	Q9UKI2
P43235	Q9BRK3
P43243	Q05639
P43246	Q13472
P43246	Q9BQ83
P43405	Q9H6Q3
P45985	Q16513
P46527	Q13153
P46527	Q7L590
P48023	P50570
P48052	Q99895
P48643	Q01082
P49715	P63279
P49715	Q15366
P49815	Q00987
P49815	Q8N122
P49821	Q9BX70
P50395	P61247
P50990	P83731
P51532	Q9UBC3
P51587	Q14191
P51610	Q92830
P51617	Q9Y265
P51668	P63165
P52272	Q00610
P52566	Q9Y6Y9
P52701	Q9UKI8
P52732	Q96T88
P53350	Q9H211
P53618	Q6PD62
P53618	Q9P299
P53621	Q93009
P53667	Q14155
P54136	P62847
P54762	Q06187
P55083	P62736
P56192	Q13576
P58876	Q6NXT2
P60484	Q92793
P60953	Q13480
P61247	Q92616
P61916	Q9BV40
P61966	Q8NC96
P62258	Q15233
P62805	Q9BUF5
P62829	Q13501
P62888	Q9NZM5
P62937	P63272
P62979	Q8N2W9
P62993	P84077
P63165	Q96S59
P63261	P84022
P63279	P67809
P68104	P78352
P78317	Q9Y4K3
P78527	Q9NUW8
P83731	Q99471
P84077	Q92538
P99999	Q01085
Q00403	Q8IZL8
Q00526	Q99741
Q00613	Q9Y6K9
Q00653	Q13568
Q00987	Q99683
Q01082	Q6WCQ1
Q01082	Q9UI08
Q01085	Q8TD47
Q02078	Q9NYJ8
Q02556	Q14314
Q03181	Q15406
Q04206	Q13509
Q04206	Q9Y2T4
Q04900	Q15629
Q05086	Q8IUQ4
Q05209	Q15262
Q05397	Q08345
Q05682	Q9BQJ4
Q06609	Q92793
Q07020	Q13347
Q07021	Q14974
Q07869	Q14686
Q07890	Q13191
Q07890	Q13671
Q08211	Q71DI3
Q08380	Q9Y265
Q09472	Q9Y265
Q12778	Q8IZL8
Q12778	Q9GZV5
Q12791	Q9Y2J2
Q12837	Q8TCN5
Q12929	Q9Y6W5
Q13131	Q13233
Q13188	Q8WXU2
Q13227	Q7L2E3
Q13239	Q13761
Q13415	Q8WYH8
Q13435	Q15208
Q13480	Q16288
Q13526	Q9UM13
Q13536	Q99689
Q13547	Q99816
Q13554	Q9BWQ8
Q13554	Q9NZU7
Q13555	Q92796
Q13576	Q96EY1
Q13868	Q9Y333
Q14005	Q96DU7
Q14008	Q96GD4
Q14195	Q8WX93
Q14289	Q86WV1
Q14669	Q8TBC4
Q14790	Q92956
Q14957	Q9P1A6
Q14BN4	Q16537
Q15291	Q9BQA1
Q16539	Q9C0K7
Q16543	Q86WV6
Q2NKX8	Q96B01
Q2Y0W8	Q5T2W1
Q504Q3	Q9H074
Q53HL2	Q8NEM2
Q7KZ85	Q8IWX8
C9JL84	Q96GX1
Q7Z5G4	Q99457
Q86VE9	Q9UKL0
Q86WI3	Q9UGK3
Q8IUC6	Q96CV9
Q8IUQ4	Q8ND25
Q8IXF0	Q9Y2N7
Q8IY21	Q9Y6K5
O00148	Q14674
O00165	Q02978
Q8IZP0	Q9NSV4
Q8IZP0	Q9UNF0
Q8N2W9	Q9UPN9
Q8N3U4	Q8NI27
Q8NCF5	Q99873
O00192	Q99569
O00238	P84022
O00299	P04083
Q8NI35	Q9BUF7
Q8TCB0	Q9Y6K5
Q8WTR2	Q9UPT6
Q92667	Q9UKA4
Q92793	Q96S59
Q92834	Q9NTI5
Q92922	Q9Y265
Q93009	Q99683
Q96BI3	Q9Y2W7
O00308	Q15583
O00443	Q02156
O00444	Q8NCD3
O00459	Q14449
O00459	Q14511
O00482	Q96RI1
Q96ST3	Q9BY41
Q99457	Q9NWD9
Q99471	Q9Y262
Q99784	Q9BR01
Q99819	Q9BR01
Q9BRR3	Q9BWQ8
Q9BS18	Q9UI95
O00571	P01574
O00571	P62241
Q9H0H5	Q9NPD8
Q9H0J9	Q9UII4
Q9NQW6	Q9NVP2
Q9NRL2	Q9UIF9
Q9NYZ3	Q9UQ84
Q9UBF8	Q9UKV3
Q9UPA5	Q9UPV7
Q9UQ80	Q9Y618
Q9Y230	Q9Y297
O00762	P26583
O00762	Q96DE5
O14498	Q6FHJ7
O14576	P31946
O14594	Q96GW7
O14625	O14879
O14757	P30291
O14782	Q8TAC9
O14810	P61764
O14818	P61604
O14836	Q92956
O14879	Q03518
O14910	P31946
O14920	P42574
O14920	Q08380
O14929	O60264
O14957	O95182
O14964	P40818
O14976	P16410
O15020	P63261
O15169	P48643
O15198	P15336
O15304	O60238
O15350	P12931
O15379	Q13469
O15397	Q9UPQ9
O15492	P29353
O15516	P37231
O15530	Q9UKG1
O15544	P26998
O43150	Q15464
O43164	Q96BY9
O43187	Q9Y572
O43290	Q9HC62
O43294	Q9UBS8
O43318	O95373
O43318	Q13163
O43318	Q8IUC6
O43353	P57730
O43353	P68366
O43432	Q13541
O43463	P46013
O43524	O96013
O43541	Q15759
O43566	P49795
O43567	P49458
O43663	O75419
O43663	P25789
O43809	P52292
O60229	Q8TF61
O60238	Q13323
O60239	P15336
O60262	Q9Y572
O60315	Q9BZ29
O60315	Q9Y2U8
O60504	P08631
O60641	Q9H2X9
O60716	P08575
O60716	Q15303
O60832	P05114
O60841	Q13347
O60890	Q07960
O75116	P31946
O75368	P51809
O75376	P15923
O75396	Q15437
O75419	Q14674
O75444	P10244
O75446	P39687
O75446	Q9UER7
O75478	Q8IXJ6
O75530	Q7Z333
O75592	Q6ICG6
O75663	Q99832
O75717	P39748
O75821	P15880
O75886	Q7LBR1
O75928	P41161
O75995	O95711
O94769	Q9BX67
O94782	Q92547
O94805	P51693
O95163	P08238
O95229	Q99986
O95239	Q8TAT5
O95297	Q05397
O95373	P35998
O95373	P62333
O95478	Q969Q0
O95670	P20336
O95670	Q9UM19
O95718	P27540
O95831	Q13490
O95831	Q9Y230
O95983	P06400
O95997	Q8NI77
O95999	P06748
O96004	Q15853
O96019	Q92613
O96020	Q9P287
P00519	Q16620
P00519	Q9UPX8
P00533	Q93034
P00738	P04180
P01031	P27918
P01111	P62834
P01229	P01242
P01375	P55209
P02462	P43121
P02462	Q92626
P02775	P61952
P02776	P45452
P04049	Q07812
P04075	P68133
P04083	P08670
P04234	Q12929
P04626	P53667
P04629	Q99952
P04637	P14859
P04637	P49760
P04637	P78396
P04637	Q14289
P04792	P10275
P04818	Q14674
P05067	Q06124
P05109	P49913
P05112	P52333
P05412	P33076
P05783	Q6PKG0
P05814	P10523
P06239	P32121
P06241	Q12933
P06400	P41235
P06400	P53567
P06493	Q9NR30
P06732	Q02156
P06748	Q13363
P06756	Q9Y490
P07204	Q96IY4
P07355	P08962
P07437	Q9UDY2
P07766	P42768
P07900	Q86UP2
P07910	P61247
P07910	Q9UBT2
P07948	Q9Y5K6
P07949	Q13094
P08047	P55055
P08047	Q14186
P08559	P31946
P08571	Q6GTX8
P08571	Q99836
P08631	Q9BX66
P08648	P12814
P08754	P17987
P08754	P36873
P09104	Q04917
P09603	Q13387
P09619	P20138
P09619	P40189
P09619	P49023
P09629	Q13426
P09651	Q96AE4
P09884	P49005
P10144	Q15628
P10147	P80075
P10412	Q00839
P10636	Q12933
P10721	P54762
P10809	P33176
P10827	P43354
P10827	P49116
P10916	P13929
P11021	Q8TEL6
P11021	Q9UHI8
P11049	P33241
P11049	Q15080
P11142	P84243
P11142	Q12905
P11142	Q93009
P11387	Q9BUJ2
P11388	Q01130
P11473	P35222
P11474	Q16594
P11802	P53779
P11831	Q9UER7
P11940	P62280
P12236	P46783
P12318	Q99704
P12544	Q13651
P12830	Q9UBN7
P13010	P28715
P13611	P36955
P13637	Q13224
P13639	P31946
P13645	P35527
P14616	P29350
P14635	P63208
P14672	Q3SXM5
P14859	P49715
P14867	P31946
P14921	Q13761
P15248	P19838
P15880	P47897
P15884	Q6FHJ7
P15923	Q96L91
P15941	Q92569
P16220	P18848
P16220	P49959
P16220	P78527
P16284	Q9NPY3
P16591	P42685
P17096	P49716
P17252	P49768
P17275	P80217
P17600	Q9UM19
P17655	P49418
P17676	Q12772
P17677	Q9BZQ4
P17812	P55081
P17931	P60484
P17948	P33151
P18031	P63244
P18146	P25490
P18433	P41240
P18848	Q01196
P19174	P25098
P19174	P36888
P19338	Q9H307
P19419	P84022
P19784	P31946
P19793	Q9BTT4
P20273	P30530
P20333	Q14790
P20393	Q96ST3
P20700	Q53HL2
P20700	Q9HBM1
P20908	Q13636
P20916	Q7L5A8
P21333	P49327
P21333	P62249
P21333	P62736
P21333	Q71UM5
P21579	Q13387
P21579	Q14982
P21579	Q16799
P21580	Q14653
P21675	Q92793
P21709	P62993
P21918	P48052
P21918	P49901
P22087	P62308
P22736	P49116
P23193	P27448
P23246	Q07955
P23246	Q9H307
P23396	Q14164
P23497	Q13263
P23497	Q9UBT2
P23528	P62910
P23759	Q14938
P24468	P55209
P24941	P51692
P24941	Q92769
P25445	P42684
P25490	Q8TAD8
P25963	P62888
P25963	P63244
P25963	Q03181
P25963	Q15654
P25963	Q9UKV5
P26045	Q9Y4H2
P26358	P35250
P26358	Q9Y230
P26441	Q9UBD9
P26599	P52597
P26998	Q96DU7
P27348	P62826
P27348	Q15233
P27361	Q99623
P27361	Q9UER7
P27448	Q8N5S9
P27986	Q02790
P28065	Q07325
P28340	P40938
P29320	P54760
P29350	P33151
P29353	Q9H3Y6
P29466	Q13094
P29590	P78347
P30153	P49721
P30260	Q9Y297
P30273	P40259
P30273	Q13636
P30291	Q6WCQ1
P30305	P33176
P30307	Q13362
P31150	Q9BWQ8
P31150	Q9UQ16
P31269	Q96KN3
P31314	P78318
P31749	Q00536
P31943	Q9NYF8
P31946	Q02878
P31946	Q14847
P31946	Q15149
P31946	Q8IYI6
P31946	Q99784
P31946	Q9NS86
P31947	Q15418
P32121	Q96SB4
P32455	P52630
P32455	Q9UL46
P33981	P33991
P33981	Q9BW19
P35221	Q9NPB6
P35222	Q13617
P35241	P43405
P35398	Q14995
P35916	P49765
P36873	P42677
P36888	Q14451
P37231	Q16665
P38398	Q05513
P38398	Q9UPT9
P38606	P78352
P38646	Q9H1R3
P39023	Q00653
P39656	Q92616
P39748	Q8TAT5
P40305	Q96AZ6
P40937	Q15004
P40939	P62280
P41240	Q16288
P41252	Q04206
P41279	Q7Z434
P41743	Q9Y4K3
P42166	Q02156
P42166	Q99661
P42336	P61981
P42574	P49407
P42574	Q9Y6Q9
P42680	Q12866
P42681	Q08881
P42684	Q68CZ2
P42704	Q9NTJ3
P42772	Q07817
P43405	Q9UQF2
P45973	Q9Y232
P46013	Q9UQ84
P46108	Q13153
P46439	Q9Y534
P46934	Q14596
P46940	Q16666
P46940	Q9BYG5
P47914	Q9UBQ5
P48023	P56945
P48061	Q92583
P48552	Q09028
P48634	Q92973
P49023	Q05655
P49368	Q96EY1
P49589	P54577
P49642	P61024
P49755	Q99805
P49815	Q9UBF8
P49841	P50750
A0JLT2	P50750
P50591	Q92956
P51532	Q13112
P51532	Q6PL18
P51532	Q9H7L9
P51587	Q9UKT4
P51617	Q00610
P51693	Q13554
P51812	Q12772
P52292	Q9Y248
P52333	P78352
P52333	Q14765
P52907	Q00610
P52961	Q13536
P53621	Q5VYK3
P53779	Q16236
P54132	P68400
P54132	Q8IY92
P54652	P62829
P0DPH7	P54652
P0DPH8	P54652
P54920	Q9UNZ2
P55001	Q14112
P55060	Q13257
P55209	Q93009
P55773	Q16627
P56192	P62829
P58107	Q00610
P59046	Q9Y616
P60201	Q86T65
P60228	P62899
P60866	P61254
P60880	Q9ULW6
P61289	Q99759
P62081	P62308
P0DP23	Q9NY46
P0DP24	Q9NY46
P0DP25	Q9NY46
P62241	Q9NZM5
P62753	P62987
P62826	Q99832
P62877	Q96BD6
P62877	Q96S21
P62888	Q12905
P62993	Q92882
P63000	Q9HAU4
P63104	Q10567
P63104	Q13303
P63208	Q9UN86
P63244	Q15233
P63261	Q9H1R3
P63279	Q15797
Q00005	Q15750
Q00005	Q9NRL3
Q00403	Q01094
Q00536	Q92574
Q00537	Q9Y2K2
Q00653	Q96F46
Q01581	Q15800
Q02779	Q15759
Q04721	Q99466
Q05066	Q15797
Q05086	Q6ZNA4
Q05639	Q9UHD2
Q06187	Q08209
Q06455	Q92793
Q06481	Q9NSC5
Q06609	Q14790
Q06609	Q9UBT2
Q07666	Q07955
Q07666	Q9ULW0
Q07869	Q15406
Q09028	Q9UBU8
Q09472	Q12947
Q09472	Q96ST3
Q13094	Q13761
Q13224	Q9UKG1
Q13233	Q14194
Q13257	Q15691
Q13309	Q8NFZ0
Q13323	Q9UMX3
Q13363	Q8NHM5
Q13489	Q96BH1
Q13563	Q9UBN4
Q13576	Q9BYG4
Q13627	Q9UK53
Q13651	Q9BV40
Q13671	Q7L0J3
Q13671	Q9Y4H2
P0DPH7	Q14653
P0DPH8	Q14653
Q13905	Q14315
Q13950	Q14686
Q14289	Q8N6T3
Q14653	Q9H6S1
Q14674	Q92698
Q14982	Q93045
Q15058	Q8IYA6
Q15124	Q9NSN8
Q15185	Q92851
Q15349	Q8IVT5
Q15406	Q9Y466
Q15573	Q6P1X5
Q15596	Q15650
Q15645	Q9BTX1
Q15759	Q9Y4K3
Q16620	Q99704
Q16627	Q16663
Q16627	Q99616
Q2M2I8	Q9UI15
Q6WCQ1	Q9Y4H2
Q6ZNA4	Q8N2W9
Q71F23	Q9NYZ3
Q71UM5	Q9BVA1
Q7KZI7	Q9Y2U5
Q7L5Y6	Q9NX09
Q7RTN6	Q9NNW5
Q8IYA6	Q9BXS6
O00160	O15143
Q8IYU8	Q99598
Q8N143	Q9ULU4
Q8N5C8	Q9Y230
Q8NCD3	Q9UQ84
O00198	Q9C000
O00273	Q92851
Q8NHY5	Q9HAW4
Q8TAC9	Q9H2X9
Q8TAT5	Q99741
Q8TDI0	Q9BR01
Q92529	Q92870
Q92692	Q9BX66
Q92734	Q9Y2U5
