Q96RS0	Q9UI43
P32239	Q9UHM6
P51991	Q15287
P61225	Q52LW3
P51991	Q86V81
Q32P51	Q8WXF0
Q86V81	Q9UHX1
P03952	P22891
P10114	Q92963
P20339	Q969Q5
P17081	Q96L33
P01111	Q99578
P62834	Q99578
P20338	Q9H0U4
P59190	Q9NP72
O14807	Q9Y3L5
Q96D21	Q9Y3L5
P02765	P27037
Q01860	Q9UBC0
Q96A58	Q9H628
Q96D21	Q9H628
Q96P47	Q9H628
O43566	Q9UNN5
O15117	P36897
Q5TCX8	Q8IV63
O14939	O60880
P09871	P15056
O15357	Q15554
P12757	Q8IX30
Q99075	Q9P212
Q9H0F7	Q9Y6Q5
O95716	Q58EX7
Q6IQ22	Q8TEU7
P17658	Q8TDN1
Q12923	Q99952
O00268	Q15370
Q8NFH8	Q92529
O75084	P25103
P17252	P52564
O94856	P54764
P16233	Q53H76
Q495A1	Q9HBE1
P16144	Q96P48
P08134	Q13905
O14827	Q5HYI8
P20337	Q8IV61
Q92565	Q92730
O14827	Q96AX2
Q92565	Q96E17
O14827	Q9H082
Q07890	Q9HBH0
Q92730	Q9NZL6
Q13905	Q9ULC3
Q7Z442	Q96PQ0
O60543	P41743
P50148	P62491
O43915	P55290
Q9HC29	Q9NYK1
P84095	Q9UJU6
P02746	Q8IUK8
O43463	Q15633
Q99835	Q9Y6A5
P49759	Q13554
O96017	Q8TDC3
P52294	Q96DC7
O60610	Q6T310
Q76FK4	Q8NFH5
Q8NFH5	Q9P2K5
Q96BD8	Q9BZD4
P20719	P24821
P07996	Q9HC29
O94885	Q15811
Q8TE67	Q96KQ4
Q8WUN7	Q96PU4
Q8IYU4	Q9BSE4
Q96KQ4	Q9H6S3
Q96PC5	Q9NRC9
Q8N2Y8	Q9UHR4
Q96MF2	Q9UHR4
O14966	Q13795
O95716	Q13795
O95755	Q13795
P11234	Q13795
P20337	Q13795
P51149	Q13795
P51153	Q13795
P57729	Q13795
P61026	Q13795
P61106	Q13795
Q13795	Q14088
Q13795	Q14964
Q13795	Q15286
Q13795	Q5JT25
Q13795	Q969Q5
Q13795	Q96AX2
Q92928	Q9H0F7
Q13795	Q9H0N0
Q13795	Q9NP72
Q969Q5	Q9UBK7
Q13795	Q9ULC3
O75899	Q08828
Q08828	Q14416
P33981	Q6PCD5
P22362	P48061
P20936	P62314
Q96LT9	Q9BZB8
P62995	Q9H361
P51153	Q8TER5
P07949	Q9UN74
O15357	P08138
Q13489	Q8IX30
P07947	Q96PC5
P01130	P08709
P15018	P42701
O95096	P56915
P29460	Q99650
P04626	Q9HCK4
O95185	Q9Y6N7
P62826	Q9NSC5
O14807	P40616
P51157	P59190
Q13148	Q13243
Q14139	Q16763
Q15382	Q8IXI1
Q3MIN7	Q8TAI7
O75886	Q92968
P54727	Q92995
P26367	Q969G2
P15153	Q96HU8
Q13043	Q96RU8
Q92963	Q99490
O14966	Q99578
O15085	Q9BYX2
P14866	Q9BZB8
O14966	Q9H0U4
P51157	Q9NRW1
O14966	Q9NYS0
Q3MIN7	Q9NYS0
O14807	Q9UPQ3
Q92963	Q9UPQ3
O14807	Q9Y272
P01112	Q9Y272
Q96S79	Q9Y272
Q9NYS0	Q9Y272
Q92968	Q9Y5K6
Q99578	Q9Y689
Q13627	Q16512
P36897	P51617
O15350	P78367
P15291	Q16394
P23246	Q92945
P35453	Q8WU20
O14933	P60604
O94983	Q04864
O14965	Q07002
P45985	Q08881
P62253	Q8N2K1
O94779	Q92752
Q06546	Q9NZC4
O14965	Q9UPZ9
P41743	Q9Y2U5
Q02224	Q2TAC6
Q96Q89	Q9H1H9
P04233	P06748
P01023	P11049
O00622	P35318
P15018	P35318
P23415	Q13224
P12644	Q5XXA6
P38398	Q6UVJ0
Q63HQ2	Q8TB73
P21333	Q96ED9
Q7Z3E1	Q96S65
Q8IWV2	Q99608
O95754	Q9NQC3
P28223	Q9NQC3
P42229	Q9Y5Q3
Q13177	Q7Z444
O43281	Q9NZM3
O60504	Q9UHR4
P18089	P28222
P00533	P35453
O14842	P46663
P08709	Q8IUA0
Q15011	Q9P0U3
P07203	P32119
P28222	P35462
O95977	P18825
P16581	P21854
P12319	P31994
P04626	Q96RR4
Q01974	Q96RU8
Q9H1E5	Q9Y320
P01011	P29508
P05543	P29508
P05120	P29622
P08697	P29622
O75830	P30740
O75830	Q86WD7
P30740	Q86WD7
Q9NR33	Q9NRG0
O15068	Q8N8L6
P02778	P13667
O75084	Q9UP38
O00139	Q9BVG8
Q15077	Q86VZ1
O75015	Q8NET5
Q04206	Q06547
P35580	Q13402
P36897	Q15811
P00746	Q8NET5
O00213	Q96A58
P17252	P42772
P42771	Q13554
P00750	P14780
Q9NYS0	Q9NZL6
Q15628	Q9NYY1
P30279	P51955
O00194	Q92538
Q5TH69	Q96D21
O60260	Q99767
P05455	Q9H074
Q12834	Q9UHD8
Q8TAI7	Q9Y6D5
P00533	P12755
P21333	Q13107
O60674	P14635
P23497	Q8IUD6
Q8TAB3	Q9ULB4
Q9NPG4	Q9UQQ2
P00746	P06239
Q15615	Q8WZ92
Q99942	Q9UBN7
P29459	Q9UDY8
Q5VST9	Q96Q42
P42773	Q9UEE5
P51659	Q92506
P61769	Q13651
O43293	Q16566
O43293	Q9C098
P53355	Q9H4B4
P15735	Q9P286
P09919	P10586
P60953	Q13017
P51159	Q92737
Q9UGV2	Q9ULP0
A6NHL2	Q2TAC6
A6NHL2	Q9NQT8
Q86VH2	Q9UJT1
Q7L0Q8	Q9Y6D5
O15085	P49757
P62877	Q15819
P51157	Q96BM9
Q8N4G2	Q9BPW5
P27361	Q9H2G2
Q9BWF3	Q9NZI8
P41182	Q96T88
O14980	Q6T310
P20929	Q8N2Y8
O76041	Q8TE67
O60504	Q8TEC5
O15034	Q96B97
O76041	Q9H6S3
Q9NSI8	Q9Y5K6
P55040	Q13464
O95365	Q99592
P14859	Q9UKI9
P00734	Q9UIV8
P32004	Q99819
P12755	P49815
Q02763	Q8N8U9
P78504	Q92835
Q14160	Q9UPN3
P04233	Q9BQ51
Q13464	Q8TAS1
P31152	Q7KZI7
O15034	Q2TAK8
O43307	Q96DZ5
P41250	Q9NSD9
P54646	Q05513
P15056	Q9H2X6
P01138	P10323
A6NMY6	P20073
O75916	Q2M5E4
P04000	Q9H1Y3
P04001	Q9H1Y3
O60469	Q9NY43
O00443	Q9P212
A6NI72	P43405
P19883	Q2VWA4
P31749	P78368
A6NDE4	P14866
P0C7P1	P14866
A6NDE4	Q13247
P0C7P1	Q13247
P0DJD3	P14866
P0DJD4	P14866
P0DJD3	Q13247
P0DJD4	Q13247
P14866	Q15415
P52198	P84095
P60953	Q96L33
P52198	Q9HBH0
O60229	Q8WXF7
Q15057	Q96M96
O60861	Q9NRC6
O15020	P22059
P61587	Q8N392
Q13671	Q8WXH6
P01111	P78527
O60469	P78310
O76003	Q9NS18
P55212	Q9BZF9
P50226	Q9GZX3
Q15465	Q15633
Q09472	Q99835
O76064	P0DP23
O76064	P0DP24
O76064	P0DP25
O60258	P21579
O14492	Q9NSE2
Q96J02	Q9UNE7
P08069	Q9Y283
P08754	P47712
Q8IZU9	Q96N03
P00747	Q9H3U7
O43318	O60880
P46531	P48742
P05976	P35228
P29475	Q5T2W1
Q05513	Q86YM7
P43034	Q8N5V2
P16234	Q9P2D1
O15020	P45379
Q92529	Q96P47
Q92870	Q9UHB6
P61923	Q9UL26
O43541	P07996
P09417	Q06136
O43711	Q99684
Q06547	Q8TAK5
Q14145	Q8WXH5
Q13387	Q9NYS0
P01597	P41217
P01597	Q8N9C0
A6NGN9	Q8WZ42
Q8IUL8	Q8WZ42
Q8N9C0	Q8WZ42
Q8WZ42	Q96BF3
P15692	P47712
P20719	P42229
P43699	P51805
Q5VWG9	Q9NS56
O95382	P33981
P10911	Q15438
Q15438	Q6ZV73
Q92888	Q99418
Q6ZMV9	Q9H4B7
Q6ZV73	Q9UIA0
Q9NZN5	Q9UIA0
O95096	P35712
P41145	P51693
Q6PGQ7	Q8IX90
O15287	Q8NG31
Q6PGQ7	Q96R06
O95229	Q9BT25
P49454	Q9BT25
P51587	Q9BT25
Q5FBB7	Q9BT25
Q96R06	Q9BT25
P08887	Q9GZY6
P25929	Q9Y5N1
P41145	Q9Y5N1
Q12879	Q9Y5N1
Q15784	Q9Y5N1
Q9P2S2	Q9Y5N1
Q9Y4C0	Q9Y5N1
Q13574	Q8WZA2
P13501	Q9NY15
O15075	Q9Y5P4
P00750	Q12929
O00482	P23497
P14859	P48742
O00212	P62820
A6NEQ0	P98175
Q01826	Q12837
O60506	Q15427
P28360	Q15911
P43699	Q6NT76
P11234	Q9H0T7
Q9BQ04	Q9NQ94
P31943	Q9NW64
Q9BZC1	Q9NW64
Q8TEC5	Q9H3Y6
Q8TF42	Q9H3Y6
Q8IXB1	Q96JJ7
Q8IXZ3	Q9NW07
Q9BY11	Q9UQ16
P10301	Q9NRD0
P01111	Q9UIA0
O95239	Q9UJT1
P56377	Q9Y5R8
Q5JWF2	Q9HB21
O14641	P57105
P78314	Q14D04
Q53GL0	Q6IQ23
Q13094	Q6S5L8
P06731	Q6UXG3
Q6XZF7	Q71RG4
Q6ZMT1	Q7Z6J0
P43026	Q86Y78
P14210	Q8IUA0
Q14D04	Q8NDX1
Q5TCZ1	Q8TEC5
A1IGU5	Q8TEJ3
O14931	Q96BF3
P10966	Q96BF3
P13591	Q96DU3
Q7Z6J0	Q96MF2
Q8IW93	Q96MF2
O95976	Q9BRK3
Q8TEJ3	Q9BSE4
Q7Z2W4	Q9NR21
Q7Z3E1	Q9NR21
Q96NZ8	Q9NRS4
Q6ZMT1	Q9NZM3
P62253	Q9UNZ2
P14151	P16885
P36894	Q14623
Q13233	Q13554
P51813	Q5VZ18
P62330	Q9Y490
O60674	Q04759
Q04759	Q13873
Q13418	Q9H422
Q9NYJ7	Q9UBP5
P01133	P14317
P30939	P48039
P09564	Q14213
Q13017	Q14344
O60496	Q58EX7
P20701	Q7Z6A9
O60496	Q92888
O14492	Q9H7P9
Q14653	Q9HC29
O60245	Q9HCK4
Q9HCP0	Q9NRM7
O15211	Q9P212
Q9HCK4	Q9UJ99
Q8TD84	Q9UN66
Q05925	Q9UQB8
P11309	Q8ND76
P10398	Q15040
O14641	Q5EBL8
P20930	Q6XPR3
Q76G19	Q86UL8
Q15700	Q8IVF2
O60543	Q8TEC5
Q8NDT2	Q92804
P36897	Q99811
Q15700	Q9Y4G8
O43353	Q9Y6N7
O60383	P0DN86
O60383	P0DN87
O60565	Q6KF10
O60565	Q7Z4P5
O00292	P12643
Q7LDG7	Q9NZM3
O00292	Q9UK05
P19883	Q15465
Q01892	Q8TAU0
P07550	P34969
Q8TEW0	Q9Y5S2
P29317	Q12965
P37173	Q12965
O60487	P13688
P17948	Q13046
P17948	Q16557
Q5T7B8	Q86VH2
Q8N441	Q96I82
Q9BY67	Q9Y5G0
Q14517	Q9Y6N7
P42679	Q96NX5
P25103	P32239
Q86UR5	Q9H426
P09958	Q9UPN9
P15311	Q02410
P33527	Q09428
P14317	Q14155
O43566	Q6XZF7
Q13443	Q14511
Q15788	Q9Y5X4
O15105	Q6P9H4
Q96PH1	Q9NRD9
Q5T2T1	Q96L92
O60663	O95076
O43283	P11362
P09326	P29965
P31314	P48742
P11309	P53350
O95716	P55040
P60763	P61204
P55040	P61225
P60763	P84077
P63000	P84077
O43307	Q13625
O14770	Q15319
O15524	Q15811
P31270	Q15911
P16109	Q6UW15
O14966	Q8N4Z0
O95755	Q8N4Z0
O43316	Q8NFW5
P55040	Q969Q5
Q05516	Q96IK5
Q05516	Q99592
Q06546	Q99607
P31276	Q99697
P23246	Q9BZB8
A2RU54	Q9H2C1
P52945	Q9H2C1
Q92826	Q9H2C1
Q9BZE3	Q9H2C1
P40425	Q9H4S2
Q14966	Q9H6T0
O95096	Q9H9S0
Q8IUN9	Q9UBG0
Q9H2X3	Q9UBG0
O43316	Q9UBR4
Q13148	Q9UHX1
Q14863	Q9Y2V3
Q9NQT8	Q9Y5X1
P15153	Q9Y689
P63000	Q9Y689
O94813	Q8N967
Q06587	Q96PX1
O14793	Q9H4F8
P07766	P26842
P13611	Q13253
O00203	O43747
P22694	Q15208
P55042	Q96HU8
P55042	Q99490
P00748	P04004
O00602	O43827
O00213	Q86UL8
P17301	Q9NZS2
Q14155	Q9UKN7
P55317	Q16254
Q7L804	Q9ULC3
Q13153	Q9UJU6
P02458	Q01974
Q16773	Q8NHS2
Q16760	Q8TEW0
P03952	P78423
Q09472	Q6ZUT3
O75962	Q8TER5
P08134	P31751
Q8N4Z0	Q9H4E5
P51812	Q9ULC3
O15075	P61204
P42679	Q9Y5P4
Q99665	Q9Y639
P35968	P46934
Q5JSP0	Q9UQ16
P49703	Q8WZA2
Q8WUD1	Q8WZA2
Q13637	Q9HCE6
P62736	Q9Y614
P36897	Q9H2X6
Q15011	Q15052
Q9P289	Q9UBS0
Q9BSE4	Q9UQB8
P16885	P51813
Q7Z6I6	Q92502
Q01844	Q96PK6
Q00535	Q9BY11
Q5JSP0	Q8TDF6
P15498	Q99607
O95837	P49798
P08567	Q9Y243
P06239	P17927
P17927	P43405
P12644	Q9Y4D7
O14965	O76039
O43781	P46734
O95835	P50750
O43781	Q00536
O15021	Q13043
O95835	Q13164
O43781	Q13627
P34947	Q13976
P06729	Q14896
O43781	Q16513
Q13043	Q5VT25
Q15208	Q7Z2Y5
P11801	Q86SG6
Q16512	Q8N568
O95835	Q8NE63
Q16832	Q8WTQ7
P16333	Q92796
P11464	Q96D42
Q00889	Q96D42
Q13046	Q96D42
Q16557	Q96D42
Q8NE63	Q96GD4
Q14896	Q9HBG7
O43781	Q9UBS0
Q96D42	Q9UQ72
P51451	Q9UQF2
Q8N5S9	Q9Y463
Q13464	Q9Y6E0
Q15835	Q9Y6E0
Q8NE63	Q9Y6E0
Q8WTQ7	Q9Y6E0
P11801	Q9Y6M4
O95977	P30556
P24530	P32247
P14416	P48039
P20916	Q92823
P37288	Q9NSD7
Q02790	Q9NWM8
O00391	Q9H7Z7
P16333	P63146
P31751	P55273
O14544	O60504
O14544	P15498
O43763	P17482
P23760	P31249
O15522	P49640
P23760	P78367
O60422	Q01826
P48742	Q12837
P14651	Q15911
O00459	Q7Z6J0
O43763	Q9BZM3
P54821	Q9H9S0
Q08043	Q9HBI1
O14544	Q9UKW4
O43763	Q9UMQ3
P23760	Q9UPW6
P61077	Q9Y385
Q9HCJ2	Q9HCK4
P30041	Q14554
Q06830	Q14554
Q6A555	Q96CM4
P51797	Q12791
Q14289	Q8TDC3
A6NEQ0	Q5SZQ8
Q15056	Q86V81
Q01081	Q9BQ04
P31942	Q9H0Z9
P52735	P62330
P53667	Q8WZ42
P17081	Q12829
Q6UWE0	Q9UMS4
P42126	Q08426
P15692	P17936
P28335	Q02763
Q13683	Q9UKW4
P20339	Q13888
P04233	P07204
O15438	Q96J65
P16333	Q5ZPR3
P02751	P19256
P19256	P24821
P24821	P51805
P51805	Q5ZPR3
Q5ZPR3	Q9NYQ6
P36405	P36406
P05129	Q13574
P43034	P53708
P36406	P53365
P53365	Q8IYK8
Q58EX7	Q969Q4
Q13595	Q9H361
P47224	Q9NX57
P47224	Q9NZQ0
P54727	Q9BSE4
O94779	P10586
P00797	P20142
O60500	P22105
O94779	P22105
P14543	P78324
P42679	Q12866
Q12866	Q13470
Q6UXE8	Q7KYR7
Q8TC27	Q8TE60
Q8TD84	Q92859
Q96GW7	Q9BXN2
Q12860	Q9HCK4
Q6IQ22	Q9NR31
Q99062	Q9P218
Q92752	Q9P232
Q96E17	Q9Y6B6
P01023	P42226
O15266	P17482
O15266	P28358
P28335	P30989
O15266	P31277
P08173	P37288
P17948	P54762
O15266	P78367
P30530	Q01974
P29460	Q5VST9
O43316	Q99811
P16871	Q9BWV1
Q8N4Z0	Q9NX57
P54762	Q9UQ52
P16871	Q9UQP3
A6NHN0	P29965
A6NHN0	P50591
O14562	Q5T124
P52735	Q6S5L8
A6NHN0	Q6UW01
A6NHN0	Q8IUK8
Q5VWW1	Q8IUK8
O14562	Q96PU4
O15350	Q9BYB0
O94885	Q9BYB0
P29323	Q9BYB0
P54753	Q9BYB0
P54760	Q9BYB0
P54764	Q9BYB0
P78364	Q9BYB0
Q15375	Q9BYB0
Q7Z6G8	Q9BYB0
Q86XP1	Q9BYB0
Q8WXE0	Q9BYB0
Q96NU1	Q9BYB0
Q9BYB0	Q9P1V8
Q9BYB0	Q9UN30
P55290	Q9Y5E2
P55290	Q9Y5E4
P26583	Q16512
O75746	Q8TC92
P52198	Q7Z6B7
P19875	Q99731
P10145	Q9NRJ3
P78556	Q9NRJ3
P08754	Q13402
P60568	Q9NPH9
P29074	Q9UHD9
Q15848	Q92835
Q13046	Q9UQ72
Q9H2H8	Q9Y3C6
Q13501	Q15080
P01112	Q8WUD1
P08567	P63241
Q05655	Q9HCM4
A2RTX5	Q9NP81
P02751	P80162
Q8NAA4	Q9C0C7
O15105	Q9HCU4
O60890	Q9H0F7
O60229	P42680
Q15052	Q99469
P01593	Q495A1
O75888	O95727
O75116	P14635
P15056	P62993
O60674	Q5JRA6
O95365	Q9UQC2
P35968	Q13753
Q13233	Q9C0K7
Q9C0K7	Q9H2X6
O60504	O75791
Q15080	Q5VST9
Q15080	Q8N5V2
P00748	P02760
P04899	P49802
Q13009	Q15027
P08567	Q6ZUT3
Q16629	Q86U06
P26378	Q86U42
P57735	Q8IXI2
P57735	Q8IYK8
O75791	Q8WYP3
Q13075	Q96CA5
P20338	Q96HU8
P20339	Q96HU8
P57735	Q96HU8
P57735	Q96S79
Q92793	Q9BXF3
Q8IYK8	Q9NP90
Q96HU8	Q9NP90
Q8N6W0	Q9NW64
Q9H361	Q9NW64
Q15311	Q9NX57
P57735	Q9NYS0
O95716	Q9Y272
Q99453	Q9Y261
O95835	Q01082
O60543	P54725
P08253	Q9UHI8
P08069	P43034
P06340	Q9Y4K3
P0C0S8	P49848
O95140	P43034
P55316	Q9H2X0
P15813	P43405
P98161	Q14623
Q7Z6J4	Q92974
Q13637	Q96KP1
O43581	P01584
O60383	O75093
O75093	O95393
P78504	Q01196
P30518	P33032
P18825	P35346
P34981	P35348
P21918	P51685
P25024	P51685
P46095	P51685
P51679	Q15077
O00468	Q63HQ2
Q8TDS5	Q96P69
Q8N6P7	Q9HCN6
P68400	Q9HCP0
P24530	Q9NPB9
P25024	Q9NPB9
P51679	Q9NPB9
P51685	Q9NPC1
Q86SJ6	Q9UIB8
O43581	Q8IYI6
O15350	Q5XKR4
Q93009	Q9H0E7
P51795	P58743
P00519	P35240
P52952	Q96A47
P60484	Q99956
P78337	Q9UBX0
O00425	Q9P2K8
Q92968	Q9Y4H2
Q15080	Q96HU1
Q5VT25	Q8WTQ7
O75077	O75078
P22694	Q9HBY8
Q8WXC3	Q99584
P11229	P25025
P33681	Q13410
A0FGR9	Q6DN14
Q6P1M9	Q6PI77
A0FGR9	Q8IV01
Q4ZHG4	Q8NHL6
O75022	Q9H7M9
Q8NHL6	Q9H7M9
Q96LC7	Q9H7M9
Q7Z6M3	Q9Y279
Q4V328	Q9Y4F3
O75914	P54756
P54756	Q8IWQ3
P54756	Q8TDC3
O00499	Q86WN1
O00481	Q8TDQ0
Q8TDQ0	Q9NQ25
O43240	P00734
O00187	P08218
O60235	P08218
P00736	P08218
P00740	P08218
P00747	P08218
P03952	P08218
P06870	P08246
P00734	P08861
P03952	P08861
P00740	P14210
P00742	P14210
P06870	P20160
P03952	P20231
P00736	P24158
P00742	P24158
P20718	P24158
P06870	P48740
P08861	P48740
P03952	P57727
P04070	P57727
P20160	P57727
P05981	P98073
P06870	Q2L4Q9
P08218	Q2L4Q9
P06870	Q5K4E3
P00742	Q6PEW0
P03951	Q86WS5
P48740	Q86WS5
O15393	Q8IYP2
P08311	Q8IYP2
P04070	Q99895
P08709	Q99895
P20718	Q9GZN4
P48740	Q9GZN4
P51124	Q9GZN4
Q2L4Q9	Q9GZN4
P24158	Q9H2R5
P51124	Q9H2R5
P08217	Q9H3S3
Q04756	Q9H3S3
Q16651	Q9H3S3
Q2L4Q9	Q9H3S3
Q02779	Q9H3Y6
P03951	Q9NRS4
P51124	Q9NRS4
P00749	Q9UBX7
Q9NRS4	Q9UBX7
Q9H3S3	Q9UI38
Q9NRS4	Q9UI38
P00749	Q9UKR0
P51124	Q9UKR0
P57727	Q9UKR0
Q6PEW0	Q9UKR0
Q9H3S3	Q9UKR0
P08218	Q9UL52
P48740	Q9UNI1
Q9UBX7	Q9UNI1
Q8IYP2	Q9Y5K2
Q9UNI1	Q9Y5Q5
P08218	Q9Y5Y6
Q9UNI1	Q9Y5Y6
P04070	Q9Y6M0
P08217	Q9Y6M0
Q5K4E3	Q9Y6M0
P23588	P52298
Q13574	Q53H12
Q01105	Q9UBC3
P01903	Q29980
P02778	P07203
O60259	P02751
P56177	Q9H161
P21757	P41159
O75592	P54762
P25103	Q8IYL9
Q06418	Q13554
P36896	Q9UQM7
P11277	Q16623
Q01081	Q96RS0
Q13153	Q92928
P04637	P05362
Q712K3	Q96B02
P38405	Q9H0F7
Q06187	Q9P212
P01023	P16871
P22413	Q05655
O00305	Q00013
P19474	Q6Q0C0
Q6Q0C0	Q8IUD6
Q6Q0C0	Q8TDB6
O15169	P61960
P05455	Q01130
Q712K3	Q8N6D2
P54725	Q9NZ43
P05455	Q9Y5S9
Q02410	Q9Y6R0
O60343	O60347
O60343	Q0IIM8
P56715	Q9UF11
P22301	Q9UHD0
O14931	Q9UL17
O60347	Q9ULP9
Q9Y2K6	Q9Y6I4
P00747	Q9BYV2
O14543	Q8N653
P15498	Q8N8L6
O60610	Q9H7X7
P15309	Q9NPH0
Q9H7X7	Q9NQU5
P07948	P17612
P49674	Q96RU7
Q13464	Q96RU8
Q86VI3	Q9BW83
O75962	P07949
P01732	P24071
P10966	P24071
O00591	P47870
P34972	P50391
P41240	P54753
P41240	P54760
O76039	P68400
P28476	Q07001
P50395	Q14088
P14543	Q14517
P10398	Q15349
Q01082	Q5VST9
O95976	Q7Z6A9
O14733	Q8IWQ3
Q15020	Q8NDT2
Q16512	Q99570
Q8NEV4	Q99570
Q8WXA8	Q99928
Q8NE63	Q9HAZ1
O95976	Q9NP99
O60285	Q9P0L2
Q8IWQ3	Q9P0L2
Q8TDC3	Q9P0L2
Q92630	Q9UKE5
Q8WXH5	Q9UKW4
P48167	Q9UN88
P51956	Q9UPZ9
Q9UKE5	Q9Y463
O75962	Q14289
P31751	Q16584
Q8NDT2	Q92945
P49841	Q9NRM7
P05362	P42226
P53350	Q9HCE7
Q13422	Q9P1W8
Q92734	Q9Y239
P49862	Q7RTY7
P16298	Q00005
P63244	Q16576
P07996	P35240
O60260	P28356
O95696	Q03164
P04070	Q99075
O15169	Q9H6I2
P21802	Q7Z2Y5
O14924	Q5SYB0
P43243	Q76FK4
O14924	Q8NEN9
P27986	Q8TEC5
Q5SYB0	Q8TEW0
P08758	P20073
Q16512	Q8IXI2
Q8N961	Q8WXH5
Q14C86	Q92928
P52735	Q9HA38
O75962	Q9UBK7
O75962	Q9UNT1
Q15811	Q9UNT1
P04233	Q9NR97
Q9NQ87	Q9UM47
O43566	P46379
Q15811	Q8N157
P54725	Q8N7F7
Q6PCB0	Q8ND94
Q96AQ7	Q96LJ8
Q14247	Q9P2A4
O15182	Q15691
P24941	Q9H4E5
P05771	Q9NYS0
Q8IWV2	Q9Y4C0
P00746	P02760
P68036	Q15011
P11940	Q6NXG1
Q15427	Q6NXG1
Q6NXG1	Q86U42
Q6NXG1	Q9H361
O95057	Q7Z444
P11234	Q7Z444
Q5JT25	Q96BM9
Q7Z444	Q9H0F7
Q5JT25	Q9NVJ2
Q9H093	Q9P286
Q96PC3	Q9Y6B7
P20853	P51589
Q8NB66	Q9ULW5
Q9ULW5	Q9UPW8
O43781	P51955
Q86SG6	Q96GD4
Q9C098	Q9Y6E0
P0DMS8	P21730
P0DMS9	P21730
P04201	P51679
Q00888	Q15223
Q08708	Q5ZPR3
P98160	Q63HQ2
P20701	Q86YT9
Q6GYQ0	Q96Q42
P10911	Q7Z6J4
Q7Z6J4	Q92888
Q8WYA1	Q9NS40
P98172	Q9BUD6
O60469	P12757
O15105	Q07157
P49757	Q07157
Q8NG66	Q9H2X6
P56539	Q9UNN5
O43307	Q9H0R8
Q99962	Q9H0R8
P51159	Q5JS13
P17081	Q86X27
P08134	Q8IZJ4
P61586	Q8IZJ4
P40617	Q8NDX1
Q8IYK8	Q92538
Q5JS13	Q96E17
Q09161	Q96I25
Q8NDX1	Q99578
Q8N4G2	Q9Y6D5
P61960	Q13404
Q5JT25	Q86YR7
Q86YR7	Q9H0N0
Q5JT25	Q9HCE6
O00292	P05111
P07333	P08922
P11362	P14616
O00292	P22003
P22607	P29320
P22455	P29376
P21860	P35590
P14616	P54756
P08069	P54760
P14616	Q01973
P54753	Q01973
P35590	Q04912
P29353	Q16760
O15146	Q16832
Q01973	Q5JZY3
P61812	Q9NR23
P78310	Q13796
Q08752	Q96BP3
Q96BP3	Q9UNP9
Q4VX76	Q86UR5
Q92973	Q96E17
Q86WK6	Q9Y4C0
Q14839	Q92794
O95977	P31391
P09629	P32242
P06493	P53778
P50222	P56177
P32242	Q8N693
Q14790	Q99466
Q00444	Q9UIW0
Q7Z3Z0	Q9UKW6
O14793	Q96PD4
P14635	Q92918
Q06945	Q9H2W2
Q06187	Q99558
Q99558	Q9P0L2
O75081	P05111
P08174	Q9HB21
O43242	Q9NYG5
O43559	P21802
O60469	Q15797
P04141	Q9GZX6
P08833	Q9UKG1
P49841	Q13164
P20340	Q8N5S9
O14980	Q9H0N0
P01023	Q29983
Q96Q42	Q9H7P9
Q9NRD5	Q9Y566
Q13009	Q9UQ16
Q13546	Q8WXC3
P16234	Q04912
A8MPY1	Q15825
Q08629	Q8N475
Q7Z4K8	Q92729
Q17RD7	Q9BSW7
P98175	Q9H0G5
Q96K62	Q9NVX7
A0FGR9	Q9Y2J0
Q5R372	Q9P2M4
Q8IV04	Q9P2M4
P02790	P04233
Q93009	Q9HAC8
P04626	P27987
P16234	P35453
P10586	P55212
P08069	Q99801
P35348	Q9Y271
O95359	Q9Y618
P43405	Q14184
P04626	P24593
P14616	P51617
O00238	Q92752
Q9H2X0	Q9UKW4
P36897	Q9Y6N7
Q9Y2H1	Q9Y6R4
P60953	Q9H0F7
P15924	P35713
P63146	Q9BZS1
Q86Y13	Q96EP1
P04440	P08637
P14151	P16112
P13727	P26717
A6NMZ7	P56199
P55196	Q12959
Q03052	Q9NY43
P10301	Q96HU8
P08134	Q96L33
Q96L33	Q9H4E5
P01008	Q96P63
P20936	Q15375
O95716	Q13905
P01116	Q5JS13
O95716	Q8IV61
O95716	Q92565
Q8IZJ4	Q96L33
P61026	Q14088
Q15286	Q15771
Q92963	Q96A58
P62070	Q96D21
P29323	Q12837
O60542	O60609
O14641	Q9NY99
P37173	Q8WZ42
O60674	Q96RR4
O60361	P35670
P22392	P35670
O60361	Q04656
P15531	Q04656
P22392	Q04656
P32004	Q7Z3B1
P02747	Q99062
O75019	Q9UIB8
Q14982	Q9UQ52
P25942	P43403
O14807	P61019
O00762	P25787
P02746	Q92692
Q13546	Q6P5Z2
P16389	Q8TAE7
Q09470	Q8TAE7
Q07889	Q969H4
P22059	Q9Y5P4
O00482	P14921
P78552	Q9Y279
P01040	P07996
O94953	Q2TAK8
O75604	Q9UHD9
Q13705	Q9Y6R4
P55042	Q86VW2
P07202	P11678
P01138	Q92823
Q86Y01	Q9UM47
Q96P48	Q99490
O14939	P30041
A1L4K1	O15197
Q07108	Q13241
P68543	Q15811
O15393	Q6MZW2
P98073	Q6MZW2
Q14D04	Q6WCQ1
P05452	Q8IX05
P07307	Q8IX05
P19256	Q8TDQ0
