O00273	Q9GZV5
Q15545	Q9H0E3
Q16630	Q8N0X7
Q16666	Q9UBK9
Q2NL82	Q9NR30
Q5SW79	Q9Y4G8
Q5VTD9	Q9BQY4
Q66LE6	Q9Y6E0
Q6P597	Q96NE9
Q6PL18	Q9Y6K9
Q7Z6Z7	Q96A56
Q86UR1	Q9NZQ3
Q86Z02	Q9UNL4
Q8IZD9	Q9H1R2
Q8NAC3	Q9NRM6
Q8NE01	Q8WV24
O00231	P61088
O00255	P33993
Q8TAQ2	Q8TD26
Q92538	Q9Y2W1
Q92585	Q9Y6B2
Q92988	Q9UPX8
Q96CX2	Q9H1R3
Q96D09	Q9GZN7
Q96GX1	Q9NQN1
Q96JB5	Q99615
Q96RT6	Q9Y6X6
Q9BYV9	Q9Y2D1
Q9BZF9	Q9NYL9
O00750	Q96RL7
Q9H313	Q9UPA5
Q9H5Z6	Q9Y4K3
Q9NSC2	Q9UBE0
Q9NWU2	Q9Y463
Q9UHB7	Q9Y5X4
O14490	P08247
O14492	Q13905
O14497	P24928
O14512	Q8N4C8
O14530	P54136
O14745	P19784
O14976	P49841
O15016	P15036
O15027	P0DP23
O15027	P0DP24
O15027	P0DP25
O15273	P11177
O15294	Q16816
O43175	P61619
O43184	P05997
O43294	P26678
O43295	Q86U86
O43524	Q96L91
O43676	P21796
O43684	P14635
O43918	Q7L2E3
O60241	P09471
O60333	Q92974
O60496	P06702
O60568	Q13724
O60934	Q13616
O75044	P00558
O75095	Q9HAU0
O75167	P30260
O75293	Q15004
O75319	P40925
O75334	Q9UJC3
O75340	P49815
O75509	P61812
O75578	Q8NCG5
O75586	Q14181
O75643	Q9H211
O75688	Q12809
O76074	Q9UBN4
O94805	O95665
O94830	Q14156
O94875	Q14315
O94973	Q92835
O95425	Q9UBS8
O95477	P04180
O95478	Q9BVP2
O95502	P17600
O95544	Q92974
O95602	P28482
O95630	Q9GZT8
O95750	P09038
O95782	P61247
O95931	P61764
O95997	Q9BXJ9
P00519	Q99665
P00533	P05109
P01100	Q2LD37
P01127	P46109
P01732	P55072
P02746	Q15582
P02792	P35579
P04049	Q96NE9
P04179	P06737
P05230	Q8WU20
P05556	Q9Y3F4
P06400	P28370
P06400	Q13287
P06400	Q9Y265
P06702	P17813
P07101	Q93045
P07237	P42224
P07585	Q08722
P07951	Q96EB6
P08237	P62841
P08238	Q13330
P08567	P09486
P08670	P62736
P09382	P39023
P10415	P31152
P11473	P42229
P11926	Q13257
P11926	Q99832
P12235	Q12933
P12757	P27361
P12814	P16885
P12830	Q9Y4H2
P13232	P23458
P13611	P54852
P13612	Q06187
P13671	P98082
P14136	Q96NW7
P14859	P35269
P14923	P68371
P16104	Q05586
P17542	Q13503
P17706	Q9Y490
P17987	Q14493
P18054	P36956
P18085	P35606
P18583	Q86X27
P18846	Q9HAW4
P19105	Q69YQ0
P19784	P52630
P20226	Q96L73
P21802	Q9UL51
P23468	Q15262
P26651	Q16828
P27338	Q9Y2C2
P29074	Q9BY71
P29083	Q9Y265
P31350	P51948
P31948	Q96G23
P33764	Q96FQ6
P35222	Q9UPT6
P35268	P48047
P36955	Q0D2I5
P38646	Q9H3Z4
P40121	P54852
P41235	Q14526
P41970	Q9P1A6
P42336	P52306
P43246	P53999
P43403	Q14247
P46459	Q9UQM7
P46776	Q12905
P46934	P49336
P48058	Q13255
P48552	Q08999
P49327	Q9ULX6
P49366	Q96MA1
P49411	Q9UK41
P49450	Q9UK53
P49757	Q92585
P49757	Q9UHY8
P49796	Q15569
P49902	Q15633
P50993	Q96BF6
P52292	Q12888
P55199	Q8NHY2
P59768	Q02156
P61968	Q01094
P0DP23	Q9Y4H2
P0DP24	Q9Y4H2
P0DP25	Q9Y4H2
P62195	Q969Q1
P63104	Q16625
P67809	Q9H2X6
P78345	Q9ULD4
P84022	Q8N163
Q01105	Q9Y6D6
Q01362	Q15642
Q03001	Q70YC5
Q03518	Q8IU81
Q05195	Q9Y4K3
Q07352	Q12778
Q09472	Q14155
Q13087	Q9BYB0
Q13133	Q96RS0
Q13233	Q8WXI2
Q13257	Q96SB4
Q13352	Q9UNS2
Q13470	Q16288
Q13491	Q9UI15
Q13765	Q92851
A8MTJ3	P81274
Q15025	Q15653
Q15072	Q8IYH5
Q15303	Q96EY1
Q15398	Q8N0S6
Q15759	Q8IZL9
Q33E94	Q99623
Q5JY77	Q9ULD2
Q6P2Q9	Q99801
Q7Z2E3	Q92793
Q7Z7G1	Q9ULZ2
Q8IX90	Q96B01
O00148	P20248
O00291	P10144
Q8TDN4	Q96KB5
Q92793	Q96KQ4
Q92831	Q96J02
O00410	P35527
Q96JZ2	Q9ULZ2
O00626	Q92925
Q9H8S9	Q9NZI8
Q9NPI1	Q9UNP9
Q9NYB0	Q9Y4E6
Q9UM54	Q9Y281
Q9Y4B5	Q9Y580
O14512	Q9BYB0
O14649	O95544
O14965	Q9BVA1
O14975	P09110
O14983	Q15006
O15117	Q96JQ5
O15160	O15235
O15287	Q13315
O15379	Q9UGL1
O43187	P01583
O43295	Q99996
O60234	Q9H3U5
O60264	P48729
O60500	Q16620
O60716	Q9Y6N8
O60921	Q15004
O75592	Q05513
O75934	Q9NXG2
O95352	P46060
O95551	Q16531
O95571	P52815
O95704	Q9Y5Z0
O95944	Q9Y4P9
O96028	P10606
P00374	P49789
P00736	P00738
P04049	P29590
P05067	P35869
P05412	Q9BUB5
P06734	P20963
P07197	P55345
P07996	P35443
P08311	P10153
P10244	P40763
P10412	P42285
P11387	Q9UK53
P11388	Q9Y2L1
P11831	Q05193
P13866	Q7Z7G1
P14222	P55957
P14316	Q13887
P15336	P55209
P15336	Q10587
P15531	P31350
P15822	Q9UKY1
P18583	Q7L804
P19174	Q8N5H7
P19438	P35998
P20248	Q8TDH9
P20273	P40238
P20700	P55197
P20823	P36402
P21333	P55210
P21673	P35080
P23458	Q86YV5
P23511	Q01543
P24468	Q14686
P25205	Q7Z6Z7
P25963	Q92585
P26447	Q86SG5
P27449	Q13263
P27918	Q99062
P28799	Q99435
P29353	Q16829
P29374	Q96EP1
P29597	Q86YV5
P30050	P31943
P31749	Q9UHY1
P31995	Q13087
P32004	Q8WX93
P32927	P52566
P33176	Q7Z460
P35221	Q9UM54
P36873	Q9UIG0
P40426	P52945
P41091	P50914
P42680	Q9BWU1
P42704	Q5SW79
P43243	Q9Y266
P45973	Q92800
P46109	Q9NZM3
P46439	Q9NRM0
P46527	Q13131
P48023	Q96NX5
P48643	Q9NY27
P49137	Q14814
P49802	Q9BZQ4
P51452	Q9HBH9
P51959	Q99856
P52630	Q9UJU2
P52701	Q8N6R0
P52907	P62987
P52907	Q15233
P52907	Q6Q0C0
P55196	Q06124
P60228	P61326
P60604	Q9UBS8
P61006	Q00610
P62258	Q92973
P62258	Q96S59
P62263	Q7Z2W4
P62753	Q8TEQ6
P62826	Q9UQF2
P62899	Q9BUJ2
P63104	Q9NTZ6
P63218	Q01518
P78371	Q8IX90
P78559	Q14596
Q00534	Q92966
Q00839	Q07869
Q06187	Q63HR2
Q12866	Q9NZQ3
Q13043	Q9P035
Q13144	Q96G01
Q13310	Q9H0B6
Q13435	Q9BYX7
Q13554	Q9P2S2
Q14192	Q2M3C7
Q14790	Q99828
Q15042	Q9BQS8
Q15172	Q99832
Q15172	Q9Y6E0
Q15257	Q96EY1
Q15418	Q6ZRS2
Q15418	Q9UQL6
Q15596	Q9NQT5
Q16254	Q92560
Q16827	Q7KZ85
Q5VZM2	Q9BPZ7
Q6VMQ6	Q96JB5
Q7L5N1	Q99619
Q86SG5	Q96FQ6
Q8IVH8	Q9Y5K6
Q8N9B5	Q9Y6B2
Q8NAC3	Q9BQ50
O00255	P04150
O00268	P46013
Q8WYJ6	Q99728
Q92636	Q9UM54
Q92793	Q96BA8
Q96D09	Q9H0D6
Q96KB5	Q9BVP2
Q96RL7	Q9BXM0
Q99623	Q9Y232
Q9BZD4	Q9UH17
O00512	O14686
O00567	P25789
O00571	O43719
Q9H254	Q9UBB9
Q9H8V3	Q9NZQ3
Q9NS56	Q9Y4K3
Q9NZV5	Q9P1A6
Q9UKW4	Q9ULW0
O14733	Q96EB6
O14777	Q96FF9
O14957	O43257
O14965	Q07021
O14980	Q9BUJ2
O15056	Q09013
O15111	P46199
O15524	P17612
O15551	O60635
O43318	P17677
O43592	P49411
O43681	Q9Y265
O60493	Q9ULH1
O60496	P98082
O60516	Q9BUB5
O60583	Q15131
O60762	P22307
O75293	Q9UIF7
O75340	P46734
O75506	P07900
O75528	P19544
O94906	O95347
O94989	O95813
O95544	P62995
O95551	Q6AI08
O96018	P29353
O96019	P61158
P00519	P15407
P00519	P62140
P01040	P19793
P01106	P60510
P01116	Q99933
P02511	Q13625
P02787	P48357
P04049	P10912
P04150	Q99728
P04626	Q12852
P05388	P19105
P05771	P32248
P06276	P22303
P06681	P30273
P07225	P08697
P08588	P27037
P08588	Q9UM54
P08631	Q9UKW4
P08670	P61769
P08670	Q9NYL2
P09211	P09382
P0C0S5	P84103
P10451	P26885
P10721	P25445
P10809	P61962
P10914	P55957
P10914	Q68CP9
P11233	P46940
P11473	P41240
P11831	P23409
P11831	P26367
P11940	Q9Y2W2
P12956	P19878
P12980	Q02363
P13501	Q06643
P14921	Q9Y692
P15056	Q92565
P15170	Q9Y2U5
P16144	P17302
P16871	P28068
P17987	P62310
P18564	P53004
P19022	Q9ULB4
P19623	Q92685
P19793	P52657
P20700	Q9NSP4
P21333	Q9BXF6
P22681	Q8WWW8
P22736	Q9Y478
P22749	P56202
P23443	P43146
P23528	Q9UNQ0
P24723	P52429
P26367	P43694
P27694	Q8NHY5
P27708	Q9BUQ8
P28370	Q96ST3
P29350	Q13387
P29466	Q15306
P30101	Q13813
P30273	Q8IX05
P30307	P63279
P31995	Q9H1R2
P32456	Q16666
P33981	P40938
P33993	Q00839
P35268	P62861
P36941	Q03135
P38398	P49840
P38398	Q96P70
P40306	P42224
P40425	Q13233
P41252	P55084
P43115	Q00887
P43699	Q07954
P46777	Q01105
P46940	P49674
P48426	Q8WV28
P49768	P51587
P50613	Q9NYF8
P51532	P61968
P51587	Q15326
P51608	Q9ULJ6
P52657	Q01094
P53618	Q07021
P53671	Q14451
P53805	Q96S96
P55040	Q6ICG6
P55899	Q13571
P56282	Q96ST3
P60709	P68371
P61962	Q02241
P62277	Q92616
P62316	Q9H3K6
P62508	Q15596
P62899	P84090
P63279	Q14790
P67775	Q9Y6X2
Q00597	Q14573
Q01101	Q13177
Q01201	Q9H173
Q01484	Q8TD19
Q02241	Q9H900
Q03001	Q8WY54
Q05469	Q13936
Q05586	Q9UHC6
Q07869	Q16665
Q08050	Q9UBC0
A7MCY6	Q96CV9
Q09470	Q9UPX8
Q12852	Q12913
Q13190	Q9H0U4
Q13309	Q9NY61
Q13415	Q14181
Q13503	Q13616
Q13523	Q8IUE6
Q13616	Q96EE3
Q13620	Q9Y5A7
Q13885	Q6VMQ6
Q14008	Q8IZD9
Q14204	Q92616
Q14511	Q2M1Z3
Q14677	Q9UBY0
Q15078	Q86UL8
Q15287	Q9HAP2
Q15464	Q9Y2W1
Q15653	Q9UNL4
Q15654	Q9UGJ0
Q15811	Q9NZL6
Q16621	Q86UE4
Q16658	Q86W92
Q16665	Q9UHL9
Q2LD37	Q9Y2T1
Q2M2I8	Q9P286
Q66K89	Q8TDN4
Q6ICG6	Q8WYL5
Q7Z591	Q9Y5V3
Q86X29	Q9Y2W1
Q8IWT3	Q9BVP2
Q8IWU2	Q9UKA4
Q8IZD9	Q9NZM4
Q8N5C8	Q99615
O00273	Q07352
Q8WY54	Q92845
Q92831	Q9UPW6
Q96A65	Q9Y2T3
Q96JI7	Q9UK97
Q96LA8	Q9H2X6
Q96MT8	Q9NTI5
Q96PU5	Q9HC98
Q99590	Q9Y252
Q99614	Q9UKT9
Q99729	Q9ULW0
Q9BWQ8	Q9Y2J0
Q9BZH6	Q9NX00
Q9C019	Q9UKR3
O00512	P19022
Q9H1J1	Q9H9D4
Q9UQC2	Q9Y2U5
O14649	Q92552
O14936	Q13813
O14965	P08047
O15068	Q96L34
O15360	Q08999
O15371	P06753
O15379	P43487
O43255	Q13526
O43426	Q7L190
O43516	P50570
O43524	Q9UI36
O43639	Q8N5H7
O43707	Q9P2M7
O60229	P18505
O60234	Q08881
O60333	Q9UGV2
O60346	P41279
O60573	Q9H5Z6
O60603	Q9UQQ2
O60641	P11142
O60763	P07948
O60763	P62945
O60907	Q13573
O75369	P21860
O75369	P22681
O75369	P47928
O75791	P29323
O75807	Q8N7H5
O75914	Q13087
O75962	Q96A65
O76027	Q07654
O95072	Q29RF7
O95147	P45983
O95347	P49321
O95831	P05783
O96017	Q14209
P00338	P46778
P00558	Q8N4L8
P01111	P30086
P02768	Q9UQM7
P03950	Q99700
P04049	Q13794
P04150	Q9HBH9
P04271	P10415
P04626	Q5VZ18
P04637	P28066
P05129	Q16623
P05387	P23588
P05937	P0DP23
P05937	P0DP24
P05937	P0DP25
P05937	Q5VYK3
P06400	Q8N5Y2
P06702	P34981
P07197	P29374
P08581	Q9BRG2
P08631	P54760
P09001	Q99643
P09619	Q0D2I5
P09651	Q99683
P0C0S5	P31943
P10589	P24928
P11182	Q05639
P11277	Q92889
P11308	Q96L73
P11473	Q06609
P11498	P60660
P11766	P56589
P12236	P47914
P12814	Q9UQQ2
P12956	Q9UHI6
P13671	P78345
P13805	Q99460
P15509	P42338
P15923	P19387
P16284	Q9Y4D7
P17542	Q9Y6B2
P17658	Q96RP8
P17858	P47756
P18075	P53667
P19174	Q92629
P19419	P30307
P20226	P38646
P20700	P68431
P21554	P21918
P22087	Q01085
P22087	Q06710
P22455	P38646
P23284	P33947
P23511	P61088
P23511	Q99814
P23528	Q00341
P24347	Q8IUX7
P24588	P62937
P24928	P50402
P27708	Q12906
P28066	Q9ULC4
P30101	P55212
P30153	Q7Z6Z7
P30291	Q15653
P31947	Q9Y6M1
P31995	Q9UMN6
P32121	Q96LT9
P32248	Q6PIZ9
P33240	Q96DH6
P33991	Q08999
P36941	P42574
P37231	P49716
P37268	Q14534
P39748	Q96FF9
P40763	Q9BUZ4
P41970	Q9H8V3
P42229	P68400
P42566	Q16513
P43243	P50502
P46109	Q12851
P46781	P61962
P47712	Q96L91
P48050	Q9C0A0
P48643	Q00839
P48729	Q13885
P49411	Q00653
P49411	Q92993
P49715	Q99741
P49848	Q8IW41
P52735	Q99102
P52943	Q9BX70
P54132	Q7Z2E3
P55081	Q9UBF8
P55210	Q12778
P59046	Q9BUZ4
P61247	P62330
P62277	Q12789
P62314	Q01085
P63098	Q7Z465
Q00978	Q15646
Q04695	Q2TAY7
Q12955	Q9C040
Q13129	Q8IZJ4
Q13427	Q6P597
Q13546	Q9HAV0
Q16555	Q3T906
Q16666	Q8IY34
Q4J6C6	Q96P16
Q6NUN0	Q9GZP7
Q7L014	Q9Y6M4
Q7L590	Q9NRZ9
Q8N573	Q8TDY2
O00273	P16104
Q92750	Q96LB8
Q92831	Q9H2F5
Q92837	Q96BR1
Q92974	Q9NYF8
Q96BH1	Q9C035
O00410	Q9UBT2
Q9BRK0	Q9UPU3
Q9NTI2	Q9Y328
Q9NWQ8	Q9Y4G6
Q9ULW6	Q9Y4E6
O14558	Q92974
O15091	P05067
O15524	P28482
O43791	Q99558
O60282	O95197
O60733	P50607
O75494	Q86X29
O75925	Q9UHK0
O94808	Q9UKU9
O94985	Q8N8S7
P01614	P04264
P04150	Q08881
P07355	Q9UQQ2
P09874	Q96GM8
P09972	P42262
P11473	Q15291
P12272	Q562R1
P13611	P24844
P17600	Q13015
P18847	Q92831
P20265	Q15573
P20742	Q07954
P26998	Q03426
P27361	Q13435
P27361	Q9UDY2
P30291	Q13043
P30556	Q08499
P35232	Q9UKL0
P41279	Q00987
P42679	P60033
P42771	Q13115
P43243	P62244
P46439	Q13554
P46776	Q01780
P48729	Q00535
P49454	P52333
P51617	Q13233
P51955	Q15418
P52701	P84022
P55036	Q03135
P62899	Q14103
Q05397	Q13257
Q05682	Q12929
Q12931	Q92851
Q13547	Q149N8
Q14088	Q9H8W4
Q14739	Q9UIS9
Q14764	Q5TCQ9
Q15276	Q7Z3U7
Q15853	Q9GZX5
Q5TCX8	Q9UPT6
O00294	Q15746
O00303	P05198
Q92608	Q9UQC2
Q96CF2	Q99961
Q9BVC4	Q9UNE7
O14713	P29353
O14757	P08069
O15031	P14210
O15360	P45973
O43294	Q92859
O43318	Q9GZV5
O43439	O75095
O60282	Q02241
O75145	P25098
O75582	Q07820
O75592	Q9UPU9
O75815	P03372
O94776	Q15418
O95232	Q9UKI8
O95665	Q9H2J7
P00533	P23229
P01112	P14618
P04439	Q92985
P04628	P17600
P06307	Q9NWB1
P07355	P63267
P07910	Q14444
P09923	Q01523
P10242	P36894
P10275	Q86Z02
P10809	P55212
P17542	Q99967
P17812	Q99618
P18065	Q9ULG1
P18085	Q04695
P18124	Q9H3K6
P22102	Q9H9B4
P22362	Q99731
P26358	P50748
P26436	Q9BX51
P31150	Q14203
P31749	Q99497
P33993	P63208
P35398	Q96HA8
P42768	Q9Y2A7
P46783	Q92616
P46937	Q9UPU9
P47775	Q9NZP6
P49427	Q13127
P52292	Q00839
P52943	P54920
P55081	Q6ICG6
P56537	Q9NYA1
P60709	Q9UQF2
P62750	Q15628
P63000	Q96SB3
Q01538	Q9Y6W6
Q01826	Q9P0W2
Q03431	Q9H2S1
Q03701	Q14966
Q06124	Q96LA6
Q06418	Q9H6Q3
A7E2V4	O43251
Q13114	Q15291
Q14204	Q99996
Q15041	Q9UQ13
Q5TAQ9	Q99759
Q6P1J9	Q99697
O00257	P35232
Q96GX9	Q9C000
Q99459	Q9H254
O00592	P60484
O00625	Q13547
Q9H8W4	Q9H9D4
Q9UBB9	Q9UPN3
Q9UBS5	Q9Y6D9
Q9Y230	Q9Y5B9
O14818	Q9UKT4
O15027	P62879
O15269	O60613
O43379	P30542
O43464	P52564
O43623	P35222
O60216	Q15006
O75379	Q92769
O75528	Q9UM63
O75689	Q07021
O75943	Q8IZP0
O95741	Q9UQM7
O95789	Q9UHB7
O96004	Q02535
P02787	Q9H008
P05114	Q14749
P05231	Q99767
P05556	Q9Y2I1
P05976	P15880
P07858	Q9P0V8
P0DMV8	Q9H0K1
P0DMV9	Q9H0K1
P10914	Q14314
P11309	P31749
P12236	P61962
P12544	P32248
P14151	P61073
P14859	P16104
P16619	P32248
P17948	Q9Y4H2
P18146	Q14978
P20265	Q15572
P22303	Q92870
P22681	Q9UIF9
P23508	P32942
P25713	Q9NZU7
P29597	P35590
P31358	Q9NSI8
P31943	Q9H307
P35222	Q9BRG2
P35346	Q96S37
P35527	P41252
P41743	P62995
P42704	Q9UBT2
P42858	Q8IVF7
P47775	Q16655
P51610	Q9UBW7
P52735	Q16827
P53007	P58107
P55060	Q9BXH1
P78347	Q14687
P78527	Q05086
Q05086	Q9C035
A8MQT2	Q02156
Q13554	Q16478
Q13576	Q16584
Q14500	Q9P1A6
Q15784	Q9UK39
Q15811	Q8IV36
O00299	P21673
Q96PY6	Q9P0N9
Q9H9V4	Q9Y3X0
Q9NWU2	Q9UM82
Q9NYL9	Q9UBK9
O14920	Q7L7X3
O14974	Q9UL15
O15027	Q9BV36
O43242	O75477
O60503	P40145
O60603	O75674
O60869	Q5QJE6
O75044	Q96S59
O75167	P78345
O75493	Q70YC5
O75578	Q9Y6N8
O75592	P49760
O75618	Q13765
O75794	Q13283
O95990	Q9HBZ2
P00736	Q8N682
P02452	P26006
P04049	P12830
P04150	P35579
P04899	P21333
P06400	Q9BUJ2
P06493	P48730
P07437	P61964
P07900	Q9NRH2
P08697	P22891
P09497	Q9BXF6
P10636	Q13315
P11274	Q9NWQ8
P11712	Q9GZK3
P12004	Q13363
P12111	P48061
P15170	Q13868
P17252	P42574
P17948	Q05209
P18507	Q86V97
P18848	P62875
P19438	Q9UBT2
P19474	P28062
P22087	P52815
P24928	Q15831
P25963	P61088
P31358	Q96AZ6
P31751	Q9H422
P31946	P62714
P36873	Q8NEZ4
P38936	Q96EP1
P42285	Q06830
P42704	Q9UJF2
P50750	P63279
P50993	Q14515
P51124	Q8WX93
P51398	P62140
P51451	P54762
P51808	Q9H0R8
P51809	Q8IYU8
P51813	Q07912
P51858	Q92733
P52198	P52566
P52292	Q13287
P52292	Q93009
P52294	Q96CS3
P52333	Q86YV5
P52435	Q16514
P52907	Q13163
P52907	Q9H853
P53350	Q9Y6Q9
P53355	Q9Y6Y8
P53634	Q8NHL6
P53778	Q14203
P53779	Q05193
P54132	Q15047
P54198	P60604
P54253	Q13310
P54762	Q13424
P55040	Q9Y2U5
P55957	Q14116
P56192	Q3ZCM7
P56192	Q9Y5Q9
P61088	Q96CG3
P61244	Q15029
P61289	Q92905
P61764	Q16555
P61962	Q07020
P62070	Q6TCH7
P0DP23	Q9HBZ2
P0DP24	Q9HBZ2
P0DP25	Q9HBZ2
P62263	Q92922
P62760	Q01814
P62877	Q8WU17
P62877	Q9Y2D1
P62913	Q96DY7
P62913	Q9UM63
P62937	P62945
P62993	Q14206
P63244	Q9NX02
P68400	Q12888
P68400	Q15047
P78356	Q12931
P78371	Q96BD8
P78527	Q8WTS6
P83916	Q03164
P84022	Q9UPY8
P84077	Q15311
Q00653	Q01094
Q00839	Q96L91
Q01064	Q08493
Q01094	Q02224
Q01105	Q15545
Q01826	Q16514
Q02156	Q9BZL6
Q02952	Q99996
Q03111	Q92794
Q03164	Q9NS37
Q03405	Q13444
Q04695	Q06124
Q04724	Q9Y618
Q06710	Q7Z2E3
Q07343	Q9GZM8
Q07864	Q9Y4A5
Q08345	Q8WWW8
Q08629	Q9BXN1
Q08881	Q99731
A7KAX9	Q86UP2
Q08999	Q13111
Q09472	Q6ZVT0
Q09472	Q8N6R0
Q09472	Q92753
Q09472	Q9NY57
Q10567	Q13367
Q12769	Q3V6T2
Q12769	Q8IYX8
Q12933	Q15831
Q12972	Q14687
Q13077	Q13418
Q13131	Q9UBN7
Q13291	Q86WV1
Q13435	Q9Y657
Q13480	Q9UPY6
Q13490	Q96J02
Q13535	Q9UDY8
Q13555	Q14289
Q13595	Q16513
Q13625	Q96A56
Q13875	Q9NY35
Q14204	Q8NF91
Q14315	Q5XKL5
Q14515	Q5JY77
Q14686	Q96GM5
Q14687	Q96JN2
Q14832	Q9Y4E6
Q14966	Q9HAU5
Q14982	Q9UBS5
Q14999	Q8N2W9
Q15047	Q9UNP9
Q15080	Q9BXJ9
Q15303	Q6ZV89
Q15303	Q99963
Q15464	Q9UIF9
Q15532	Q99733
Q15759	Q9HAS3
Q16270	Q9BUF5
Q16513	Q6ZVD8
Q16555	Q9UPW5
Q2M1P5	Q9Y4A5
Q32P44	Q9Y2W1
Q5PRF9	Q9P0K1
Q63HM2	Q9NV70
Q66K89	Q96BD5
Q6P9H5	Q8IYM9
Q6PCD5	Q96FW1
Q7Z7E8	Q99759
Q86VZ6	Q8N2H9
Q86W92	Q9NSK0
Q8IWT3	Q96KB5
Q8IX12	Q9UHD2
Q8IYB3	Q96NE9
O00141	Q01201
O00148	P55884
O00165	Q9NXW2
Q8IZD9	Q8WXS3
Q8N0X7	Q93008
Q8N4L8	Q96D09
O00193	Q9Y252
O00206	Q8WV28
O00213	O75170
O00220	P04629
Q8TDY2	Q9H3D4
Q92538	Q9BYX7
Q92692	Q9P1Y5
Q92785	Q9Y2G2
Q92831	Q9BVI0
Q93009	Q99759
Q969V6	Q9UQM7
O00329	P08631
O00418	Q92793
Q96FZ7	Q9UQN3
Q96G01	Q9GZN7
Q96KQ7	Q9BPX3
Q96RR4	Q9H2S1
Q99259	Q9H8V3
Q99417	Q9NRZ9
Q99969	Q9NRA1
Q9BYB0	Q9H9L3
O00487	Q01813
O00506	Q9NZ01
O00716	Q16533
O00716	Q9NY61
O00750	Q9H0H5
Q9H2X6	Q9UM63
Q9H6Q3	Q9UNE7
Q9H6R7	Q9H6T3
Q9NQ35	Q9UPP5
Q9NS23	Q9UQ13
Q9NS64	Q9UJU6
Q9NWF9	Q9Y572
Q9UHD2	Q9UKB1
O14492	Q96EY1
O14503	O95571
O14558	P11940
O14641	Q01970
O14654	P15882
O14727	P19525
O14745	P51793
O14746	P84103
O14829	Q13936
O14901	P51955
O14976	P84022
O14980	P22415
O15111	Q15052
O15151	P42685
O15164	P51948
O15259	Q7Z7B0
O15360	O96006
O15442	Q12769
O15492	P15311
O43143	Q13557
O43172	Q9HCS7
O43251	P53990
O43255	P61978
O43278	P78545
O43283	P19838
O43294	P35568
O43303	O95259
O43318	Q8IZP2
O43318	Q96CG3
O43524	P15884
O43524	Q13330
O43557	Q05195
O43639	Q9UQ88
O43708	Q8IZD9
O43708	Q9BXM0
O43736	Q13625
O43761	Q9NS85
O43914	P05106
O43918	P78406
O60239	Q96A65
O60239	Q9BZD4
O60268	O60641
O60282	Q9BV47
O60284	O94811
O60496	P18031
O60496	Q96RT1
O60516	P18206
O60573	Q96LL4
O60583	Q9UQ80
O60603	Q15080
O60674	Q16665
O60763	O95347
O60784	Q14919
O60813	P78369
O60880	P78352
O60907	O75469
O60936	P51398
O75056	P29466
O75083	P02787
O75317	Q8TAT6
O75323	P13807
O75369	Q13087
O75390	O95816
O75436	Q9H3P7
O75643	Q9NR30
O75791	Q9H4P4
O75899	Q9UL42
O75943	P24941
O75973	Q9UK32
O76064	P03372
O76064	P10827
O76064	P22736
O94763	Q14966
O94776	P05549
O94776	Q9H0E3
O94782	Q99590
O94782	Q9Y5J1
O94806	P27348
O94887	P11274
O94906	Q9BQG0
O95067	P02545
O95070	P62136
O95070	Q969H8
O95071	Q8WUM0
O95155	Q71U36
O95232	Q14593
O95373	P05783
O95373	Q9H992
O95379	Q16617
O95433	P50502
O95602	P31946
O95613	P30301
O95711	P06729
O95741	Q9UK22
O95819	Q13797
O95931	Q9H1K1
O96005	P48634
O96017	Q9Y6Q9
P00533	P35354
P00533	Q18PE1
P00740	P19823
P01040	P06737
P01111	P31327
P01308	P13688
P02545	P78396
P02545	Q96MU7
P02549	Q9NRI5
P03372	Q9Y2N7
P04083	P13611
P04406	P42025
P04626	Q70E73
P05107	P16070
P05107	Q99638
P05109	P35908
P05161	P37088
P05387	P25398
P05388	P52429
P05412	P06703
P05787	Q9Y5F0
P06213	P54829
P06400	P84243
P06729	P16671
P06730	P45983
P06730	Q92793
P06734	P16885
P06748	Q9Y6D6
P07197	P47869
P07333	P10809
P07437	P46777
P07948	P16471
P08100	P28329
P08247	Q8IVH8
P08263	P21731
P08631	Q04637
P08670	P11279
P08700	P29353
P08779	P34931
P09211	Q16621
P09382	P09619
P09488	Q9Y4K3
P09871	Q03692
P09884	Q01094
P09923	P49758
P09936	P24864
P10276	P42229
P10301	P14618
P10398	P45984
P10412	P62910
P10412	Q9H0K1
P10586	P24385
P10588	P55055
P10589	P24385
P10606	P18859
P10809	P43405
P10809	Q9NYF8
P10827	Q15562
P10827	Q16531
P11055	P26447
P11309	P30307
P11362	P38646
P11388	P49915
P11388	Q9UJU2
P11712	Q99518
P11831	P50616
P11940	Q8IZH2
P11940	Q9Y6K9
P12036	Q14192
P12757	Q9UL54
P12830	Q8IWU2
P12931	P67809
P12931	Q15910
P13591	Q08881
P13671	P31994
P13807	Q8WVZ9
P13861	Q00987
P14373	P46782
P14778	Q8N5C8
P14921	Q9UQ80
P15036	Q13342
P15169	P47989
P15923	P16333
P15923	Q16514
P15924	P49368
P16083	P46782
P16104	P31749
P16104	Q66K89
P17252	Q9C075
P17676	Q9ULX9
P17812	P53350
P17844	P46776
P17844	Q96BP3
P17931	P18754
P17947	Q9H2X6
P18124	Q9UQE7
P18507	Q9Y4P1
P18848	Q00653
P19075	P27701
P19105	Q12882
P19174	P49454
P19388	Q96H20
P19419	Q8IVD9
P19438	Q13885
P19544	Q9H160
