Q14117	Q92828
P00568	Q96G03
Q8NF50	Q9NQY0
P09467	Q96I24
Q15464	Q969H4
Q00975	Q15464
O76080	Q8TDI8
Q13509	Q5VV63
O43424	Q9HB21
Q8IYM1	Q9BRK4
P55075	P56177
Q8NE35	Q9BV79
P26038	Q9BZE4
P46779	P56192
O76015	Q9C075
O15205	P49720
O43242	Q9UM13
Q07021	Q49A26
P10632	P36537
O75943	Q9NY12
Q99633	Q9NY12
O43143	P49411
O43143	Q9NRL2
Q5XPI4	Q969H0
O75955	Q6Q788
P55081	Q14139
P20160	P21741
Q6IA17	Q96BI1
P35247	Q8IVL6
Q01130	Q9NR22
P43354	Q9NZN8
P45974	Q9Y4X5
P41238	Q8WW27
O00628	O43933
O00628	Q96KJ9
Q99750	Q9NTJ3
P61006	Q96KP1
P0DP23	P14406
P0DP24	P14406
P0DP25	P14406
O60547	Q9Y5P6
Q5VZF2	Q96IP4
Q13190	Q16706
Q9ULB1	Q9Y5E6
P0DPB5	P83731
P0DPB6	P83731
P23396	P51114
O43818	Q9BWU1
P24534	P53618
Q13200	Q13724
P53365	Q9Y3E7
Q02363	Q13950
P02008	Q16629
Q5HYA8	Q8TCU4
P23246	Q14137
P23246	Q12874
P02008	Q05519
Q05519	Q9NR30
Q15003	Q9UNY4
Q7Z7A1	Q8IYI6
Q12834	Q7L7X3
O75379	P60880
O75379	P53367
Q9UJW0	Q9UKA1
Q9BVA0	Q9UKA1
O60437	O95171
Q01105	Q9P206
P30154	Q15257
Q53GS7	Q9Y235
P62495	Q8N729
Q9BPZ3	Q9BU89
P16615	P18146
P16860	Q2NL98
O75608	Q9NQS7
O15027	P78383
O15078	O95237
Q15361	Q29RF7
O43504	P81274
Q01831	Q9NP87
Q9BWU1	Q9UI43
O15119	Q9Y4C8
O15550	Q8N693
Q6QNY0	Q9UL26
O95793	Q96RP9
O95863	Q9Y446
O60353	P04628
Q08211	Q9BZI7
Q15361	Q9NPD3
P61964	Q15361
Q03001	Q8NDY6
P01584	Q86UD1
O14929	P35269
P35269	P42568
Q8TDL5	Q99988
P0DP57	P55000
P0DP58	P55000
P14854	Q9P0U1
O76013	P23945
P20393	Q9Y3R0
P15515	P81605
P34932	P35658
Q99835	Q9Y496
P61165	P63162
O94788	Q96NR8
O94788	P07327
Q8WX93	Q9Y613
O95990	P14415
O43896	P35580
O75410	Q96IF1
P35226	Q9H6Z9
Q15052	Q9Y6C2
Q13042	Q969S2
Q9NZI2	Q9UPW8
P02008	Q96CJ1
P02008	Q9UKT5
O43447	P02008
P02008	P49760
P02008	Q9NR00
P00738	Q9BWX5
P47813	Q16186
P15538	P37058
O15116	Q14498
O75955	Q9H1K0
Q13136	Q16650
P48742	Q03828
Q92526	Q9BZX2
Q99729	Q9C035
O75153	P50914
P18583	Q9UKK6
Q8IYB3	Q96QU8
Q70YC5	Q9NVJ2
Q13239	Q9BYZ8
Q8NB66	Q99747
P26436	Q12905
P05814	P17927
P08590	Q9Y2G4
P52803	Q8TDZ2
Q00987	Q9UMR2
Q6P3W7	Q8IWJ2
O15522	P20290
O96019	Q92688
P09132	Q96TA2
O94827	Q5BJF6
P56962	Q9BWS9
P49760	Q96RS0
Q8TBF4	Q9NQU5
Q00403	Q8WYB5
O95149	Q53EZ4
P08118	Q04118
Q70YC5	Q96BM9
P02708	Q13702
P31943	Q9GZL7
P05496	Q9H2U2
Q02224	Q8IYM1
Q02224	Q9NRL2
Q9HBI0	Q9HBI1
Q9HBH0	Q9NR81
Q92922	Q99081
Q15543	Q99081
P12271	P46597
O95453	Q13112
Q71F23	Q8N4N8
Q14106	Q9H6U6
O14732	O15165
P21918	P38405
O76070	Q99961
O14880	P28161
Q7Z7E8	Q9BWL3
A8K2U0	P20930
P68133	Q9NZV5
P43378	Q8N9I0
P19022	Q93052
P55145	Q8TDF5
P27986	Q15631
O75094	Q15738
O94905	Q13277
Q15526	Q8IYB8
P80188	Q08629
P00367	P35638
Q03393	Q9NWU1
O95298	Q9Y606
O95298	Q969P6
P20813	P52895
O14715	Q8TC26
O15016	Q8WXD5
O43424	Q9HB19
O43424	Q8N2Q7
P23582	P33402
P55895	Q96SD1
Q12866	Q9C0C4
O14646	P55209
O00634	O95025
O94826	P21796
Q38SD2	Q63ZY3
P78559	Q969S2
Q13118	Q13349
O15379	Q9UFF9
Q9UPT5	Q9Y3R0
P55263	P62081
O14576	Q9BW19
P11171	P49674
P68032	Q9NQS3
Q13112	Q16778
Q07869	Q96A54
Q15477	Q9NPI6
Q86XP3	Q9UK58
O43157	Q9GZM8
O43663	Q49MG5
Q8WYK0	Q96DR4
Q13330	Q9UEE5
Q01826	Q9HAJ7
Q9P0L1	Q9UKY1
