Q9NWQ8	Q9Y3L3
Q9NY72	Q9Y6N8
Q9UKA4	Q9Y6D5
Q9UKG1	Q9UKJ5
Q9Y371	Q9Y5X1
O14686	P98161
O14782	Q5SW79
O14828	P04083
O14901	Q9H869
O14939	Q9UQ16
O14980	P40425
O14980	P54709
O15162	Q9UQQ2
O15371	Q9P2A4
O15482	O43304
O43255	Q05397
O43294	P42224
O43294	P43320
O43482	Q96E14
O43639	Q9NZM3
O43739	P26998
O43741	Q9UQ35
O43929	O75943
O60307	O94850
O60381	P55345
O60613	P09622
O60762	P62995
O60885	Q05397
O60890	Q13009
O75044	P31947
O75044	Q92538
O75052	P63167
O75326	P42684
O75717	Q9NS87
O94776	P00533
O94826	P04637
O95071	P10914
O95071	Q96HN2
O95196	Q9Y4J8
O95347	Q9NSG2
O95347	Q9Y496
O95551	Q13257
O95665	P05014
O95819	P24821
O95931	P25101
O95996	P10586
O96028	Q15021
P01100	P49407
P01860	Q8IX12
P02765	P63208
P02766	P25815
P02778	P32248
P04406	P25963
P04626	Q8WX92
P04908	P53675
P05107	Q6P9H5
P05129	Q01959
P05556	Q7Z4I7
P06400	Q9BY66
P07949	Q02750
P07996	P60033
P08238	Q9UQ13
P09327	Q14289
P09496	Q05655
P09622	P53618
P10301	P31947
P11021	Q8N3C0
P11142	Q8TAQ2
P11215	P20023
P11274	Q7KZI7
P11309	Q00653
P11474	Q15418
P11474	Q9Y6K9
P12081	Q01484
P12882	Q9Y5B9
P12931	P62249
P12956	Q9Y253
P13639	P25398
P14316	Q9UJU2
P14625	Q9Y239
P14625	Q9Y2Y4
P14635	Q9Y266
P14867	Q9BWQ8
P14868	Q9Y230
P15172	P25208
P15514	Q13596
P15884	P19484
P16150	Q969Y2
P17480	Q14686
P17542	Q7Z3K3
P17655	Q16288
P17706	P42684
P17947	P19474
P18847	P18887
P19022	P36402
P20823	P33151
P20823	Q6ZRS2
P21291	P27338
P21333	Q6IA86
P21579	Q96DZ5
P21860	Q9UJ41
P23396	Q13501
P23443	Q13362
P23458	Q9NZR2
P23497	P84243
P23511	P28482
P23771	Q14686
P25098	Q9C0H9
P25963	Q16548
P26358	Q03188
P26368	Q96HA1
P26998	P50281
P27986	Q6WCQ1
P28347	Q8WUI4
P28370	Q96BD5
P29466	Q04206
P30304	P98177
P34931	P68366
P35244	Q9UJW9
P35268	Q2NL82
P37275	Q9Y6B2
P41227	Q14764
P41240	P48634
P41597	Q9NRJ3
P41732	Q16352
P41970	Q9H9L3
P42224	Q13625
P46108	Q99828
P48023	P52198
P49023	P84085
P49137	Q9H1I8
P49427	Q9NRD1
P49841	Q96KB5
P50281	Q01201
P50454	P98160
P51692	Q92585
P53680	Q96B97
P0DP23	P61764
P0DP24	P61764
P0DP25	P61764
P62244	Q9UBQ5
P62899	Q00987
P78369	Q16288
P78527	Q13233
P84022	Q15306
Q01094	Q9H0E9
Q02153	Q04917
Q03518	Q9UMX0
Q04206	Q14160
Q04759	Q13224
Q05209	Q8NFZ5
Q05481	Q9UNH7
Q05655	Q16620
Q07352	Q9BUB5
Q07666	Q9H2X6
Q08209	Q9UQ16
Q12769	Q14195
Q12778	Q9GZQ8
Q13310	Q5PRF9
Q13765	Q15121
Q13887	Q53T94
Q13905	Q99578
Q13950	Q92786
Q15003	Q9H211
Q15006	Q8TBC4
Q15596	Q16666
Q16659	Q9UQ13
Q3V6T2	Q9H254
Q4VCS5	Q96JB8
Q5T4S7	Q9H7D7
Q6P597	Q9Y6A4
Q6R327	Q8TDY2
Q6ZN16	Q8TD08
Q71F56	Q9Y483
Q7KZI7	Q8IVT5
Q86X29	Q8N9M5
Q8IY63	Q96J02
Q8N108	Q9Y5X4
Q8N126	Q8NFZ8
Q8N2Q7	Q9P0K1
Q8N5D0	Q9UBW8
Q8NFP9	Q9ULW6
Q8WYH8	Q9UBN7
Q92769	Q9Y2W1
Q92974	Q99417
Q96AC1	Q9Y693
O00422	Q01826
O00471	P10809
O00478	Q9HB58
Q96KB5	Q9Y698
Q96RK0	Q9UBD0
Q96RU3	Q9UIQ6
Q9BTW9	Q9NTJ3
Q9BY60	Q9GZQ8
O00541	Q9BV68
Q9UNN5	Q9Y2X8
O14519	Q13416
O14649	Q9HAP2
O14727	O43521
O14745	P63208
O14818	Q5JR59
O14829	O43303
O14965	P42224
O15085	Q9H9L3
O15111	P60709
O15327	O95994
O15350	Q06187
O15350	Q96KB5
O15553	P06729
O15553	Q9UNN5
O43172	O43390
O43318	Q13557
O43379	Q9BPW8
O43396	Q14493
O43463	Q9UJW3
O43491	P49761
O43592	Q8TD19
O43768	Q86TP1
O60216	Q16891
O60333	Q07866
O60477	O75899
O60504	Q04637
O60684	Q15545
A6NCE7	Q9BY60
O75530	P48552
O75582	Q96AE4
O75618	Q13501
