P06239	Q9Y2U5
P06241	Q13501
P06400	P51610
P06400	Q02078
P06400	Q9NQS7
P06493	P53355
P06493	Q96T88
P06493	Q9Y265
P06730	P14672
P06756	P07948
P07355	Q6P3W7
P07550	P08588
P07585	Q14956
P07814	P21333
P07947	P54760
P07948	P29323
P07948	P35916
P08123	Q68BL8
P08238	P52907
P08238	Q9P0K7
P08247	Q8NC96
P08575	P32248
P08581	P42685
P08631	Q14451
P08865	Q12791
P09001	P25787
P09341	P10720
P09496	P63010
P09669	P56378
P09769	P19793
P09874	P55212
P09874	P62913
P09884	Q00722
P0C0S5	Q12834
P10275	P12004
P10275	Q9NVC6
P10809	Q9NRV9
P10915	P31946
P10916	P35609
P11021	P47756
P11279	Q8NHP8
P11309	Q9P287
P11686	Q9C019
A6NGQ2	Q9H808
P11940	P46779
P12004	Q9P287
P12830	Q02413
P12956	P15172
P12956	Q13156
P13010	Q14207
P13473	P14672
P13631	Q01196
P13674	P14672
P13747	Q9HB58
P14316	Q3LFD5
P14317	Q07108
P14616	Q99952
P14672	P50897
P14672	Q7Z4N8
P14672	Q99627
P14672	Q9H361
P14672	Q9NUP9
P14672	Q9P2B2
P14867	P84074
P15941	Q14289
P17677	Q99784
P17706	Q00978
P17858	Q16543
P19235	P42768
P19338	P25705
P19338	P43246
P19387	Q8NA72
P19438	P63104
P19438	Q9H1Y0
P19793	P24468
P20226	P63261
P20248	Q96FF9
P20702	P43405
P21397	Q9H190
P21860	Q14315
A6NHL2	P49407
P22681	Q14185
P22694	Q9Y467
P22891	P24593
P23246	P67809
P23258	Q12791
P23528	Q6PKG0
P23919	Q9ULW0
P24941	Q16531
P25963	P48023
P25963	Q15139
P26678	Q14515
P27448	P31749
P27635	P51571
P27708	Q9ULX6
P28482	P53350
P28562	P78543
P28702	Q13547
P28749	Q12788
P29317	Q9UQC2
P29323	P42680
P29323	P43405
P29350	Q9UPX8
P29353	P48357
P29401	Q12791
P29597	Q13588
P29728	Q9UII4
P30085	Q12791
P30101	Q12791
P30153	P46060
P30291	Q9H4L5
P30304	P49427
P31314	Q99832
P31751	Q9Y2V2
P31946	Q13224
P31946	Q9ULQ0
P33993	Q92922
P34931	P62269
P35232	P48552
P35232	Q96GM5
P35555	Q9BQJ4
P36873	P55060
P36873	Q16543
P36888	P42679
P36888	Q13882
P38159	Q16629
P38646	Q92734
P40763	Q12913
P40937	P42166
P40938	Q9HCU8
P40939	P62277
P41182	P41212
P41279	Q12852
P41970	Q02535
P42224	Q08380
P42224	Q15646
P42224	Q9UQV4
P46109	Q15811
P46527	Q96B36
P46734	P51617
P46782	Q07021
P46821	Q9BPW8
P46940	Q99683
P48357	Q05397
P48643	Q00610
P48730	Q93009
P49407	Q02750
P49796	Q16890
P49841	Q9H3D4
P50549	Q09470
P50570	Q13443
P51398	Q9Y6Q9
P51572	P55072
P52907	P56192
P52907	Q16665
P53355	Q02750
P53779	Q6P3W7
P53779	Q9H3D4
P54136	P62269
P54652	Q9BVA1
P55008	Q92637
P55196	Q13177
P55209	Q13185
P55287	Q99608
P56524	Q13233
P56524	Q8TAQ2
P56545	Q63HQ2
P58215	Q9UHF1
P60174	Q12791
P60201	Q9NZH0
P60866	Q12791
P62140	Q13535
P62244	Q8NFZ5
P62851	P62945
P62873	Q99615
P63104	Q9NUC0
P63165	Q99816
P63252	Q12879
P63261	Q13451
P78352	Q9H115
P78357	Q8IZD9
P98077	Q92625
P98082	Q9Y2H0
P98160	Q08397
Q00536	Q14978
Q00537	Q9UDY2
Q00889	Q16288
Q00975	Q9BQG1
Q01196	Q04206
Q01196	Q05516
Q02156	Q9Y3B3
Q02818	Q96J94
Q04206	Q15717
Q05048	Q96RL1
Q05195	Q92830
Q05513	Q96RU7
Q05639	Q92734
Q05655	Q96B97
Q06455	Q8TAQ2
Q06609	Q9H3D4
Q07011	Q15628
Q07352	Q96B36
Q07889	Q14511
Q07954	Q99523
A8MPY1	Q13501
Q09028	Q9BQG0
Q12791	Q99497
Q13002	Q63HQ2
Q13309	Q9UPN9
Q13464	Q15208
Q13547	Q99558
Q13569	Q9P0U3
Q13772	Q15466
Q13813	Q14790
Q14191	Q66K89
Q14192	Q15349
Q14257	Q8TEL6
Q14451	Q9NRF2
Q14722	Q9NP59
Q14738	Q9NRL3
Q14832	Q9UQ16
Q14978	Q6PKG0
Q15398	Q96FF9
Q15464	Q8WV28
Q15466	Q9UQR1
Q15637	Q96MU7
