P63165	Q15459
O14979	Q86U06
O14979	Q8WXF0
P09874	Q13480
O94813	Q9Y2I1
Q9UKW4	Q9Y572
Q8WUF5	Q96B97
O43295	O60229
O43295	P20936
O75044	P42680
O75044	Q6UXY1
Q08881	Q7Z6B7
Q8IWW6	Q9NRY4
Q7Z6B7	Q9UJU6
P09382	Q05315
P42331	Q2M1Z3
O14559	Q6ZW31
P51805	Q9NZP8
P10398	Q504T8
P61956	Q8IYU4
Q96S82	Q9BZL1
Q8WVY7	Q9HAC8
O75914	P07949
O75911	P51659
P07949	Q16566
Q8N3Y7	Q96K12
Q7Z5L0	Q9P0G3
Q9NXC2	Q9UQ10
P04070	P49810
P20160	P52429
O15273	Q15465
P35240	Q5JRA6
P01375	Q6DN14
Q9H6I2	Q9UBP5
P14921	P17252
P51172	Q9NY37
P57796	Q9H347
Q13283	Q9H0Z9
O95661	Q9UJ41
Q15382	Q9UJ41
P01130	P27169
O95633	Q13705
O43683	Q9H0E7
P22301	Q9Y4H2
Q9Y616	Q9Y6N7
P09382	P20827
P37173	Q92692
P06241	Q96QU1
P16581	Q99665
P10451	Q9UJW9
O15392	P01112
P07910	Q92945
Q96P20	Q99836
Q12852	Q9H2X6
P47712	Q9HCE7
Q9H3D4	Q9Y2V3
O95750	Q9Y4H2
P37173	P41240
O76071	Q09028
P27037	Q14318
Q13153	Q8IZL9
P24941	Q96RU8
Q9H9B1	Q9HAU4
P51451	Q9HAZ1
P17612	Q9UEE5
P62873	Q9Y297
O14795	P11234
O00762	Q15813
Q13501	Q96IK0
Q06330	Q9H9B1
O14931	P02751
P17948	P32004
O60469	P54760
P57087	Q01974
P78310	Q9P1W8
P15151	Q9UIB8
O60500	P29322
O00459	P61586
Q3SXY8	Q96P48
Q969Q4	Q96P48
P15018	Q99715
Q16763	Q9BYG4
Q9H3T3	Q9NS98
P23467	Q9P232
P23467	Q9UQ52
P01137	P26842
P29274	P29279
P24593	P42224
Q14774	Q70J99
P63010	Q99698
P26583	Q99942
P10600	Q9H2W2
Q14511	Q15811
Q8WU20	Q9GZV9
O60469	P14859
P07358	P20023
P28827	Q03014
Q13751	Q14289
Q6UWB1	Q9NR97
Q14114	Q9UHC6
Q92692	Q9Y2C9
P16284	Q9Y493
O14936	Q96KB5
Q13546	Q9UHY1
O95067	P36897
Q04656	Q7L1T6
P15336	P51116
P23468	P54760
P78310	P98160
P30530	Q15772
P30530	Q5VST9
O15084	Q8IZ07
A6NCL7	Q8N9B4
Q86XN8	Q9NS91
O15072	Q9UKQ2
Q8NBE8	Q9Y2M5
O00187	O60880
P24385	P54646
P01772	Q9UKJ0
P13726	P28827
P68133	Q99439
P01597	P06731
O75054	Q08ET2
A6NHN0	Q13201
A4FU49	Q13501
P01597	Q14002
O75054	Q14943
O75054	Q00889
P01732	Q00889
P01597	Q00889
P40200	Q00889
O00241	Q2WEN9
O75054	Q2WEN9
P01732	Q2WEN9
P01597	Q2WEN9
P10966	Q2WEN9
P14543	Q2WEN9
P40200	Q2WEN9
P57087	Q2WEN9
P78410	Q2WEN9
Q00887	Q2WEN9
Q00889	Q495A1
Q2WEN9	Q495A1
O00241	Q496F6
O15389	Q496F6
O43699	Q496F6
O95944	Q496F6
P11464	Q496F6
P13611	Q496F6
P13688	Q496F6
P31997	Q496F6
P40199	Q496F6
P43630	Q496F6
P50895	Q496F6
P78324	Q496F6
Q00887	Q496F6
Q00888	Q496F6
Q00889	Q496F6
Q08ET2	Q496F6
Q13046	Q496F6
Q14002	Q496F6
Q14943	Q496F6
Q16557	Q496F6
