P04626	Q14511
P04626	Q86WV1
P04626	Q92918
P04626	Q99683
P04626	Q9UPT6
P04629	P17706
P04637	P10636
P04637	P19838
P04637	P23921
P04637	P30305
P04637	P33993
P04637	P36507
P04637	P0DP23
P04637	P0DP24
P04637	P0DP25
P04637	Q00577
P04637	Q04917
P04637	Q6P1X5
P04637	Q99558
P04637	Q99683
P04637	Q9UHD2
P04792	P31947
P04792	Q15653
P04818	P31350
P04818	Q15645
P04899	P11488
P04899	P63104
P04908	P0C0S8
P05015	Q9NYV7
P05067	P13591
P05067	P16870
P05067	P32121
P05067	P45984
P05106	P06241
P05106	P56945
P05106	Q16288
P05107	P26006
P05107	Q13683
P05107	Q14242
P05107	Q16581
P05107	Q8N423
P05107	Q96JQ5
P05107	Q9NPF8
P05107	Q9P0V8
P05141	P31943
P05141	P55209
P05141	P78527
P05141	Q00610
P05141	Q00653
P05141	Q93038
P05141	Q96EY1
P05141	Q9BVA1
P05141	Q9UM54
P05155	P08670
P05155	P22352
P05155	P22692
P05155	Q01628
P05156	P09871
P05161	P48551
P05161	P55265
P05231	P09341
P05386	P35268
P05387	P26373
P05388	P22087
P05408	P60880
P05412	P19875
P05412	P32121
P05412	Q15418
P05412	Q92985
P05412	Q99967
P05556	Q9NVD7
P05783	P15056
P05783	P28482
P05783	P55317
P05976	Q9UKX2
P05997	P09382
P05997	P43235
P06028	Q9NZD4
P06127	P16410
P06127	Q6PIZ9
P06213	P09769
P06213	P10912
P06213	P20138
P06213	P54762
P06213	Q06187
P06213	Q13191
P06213	Q16288
P06213	Q68CZ2
P06213	Q99683
P06239	P07332
P06239	P12318
P06239	P17948
P06239	P19235
P06239	P31146
P06239	P36507
P06239	P61978
P06239	Q02556
P06239	Q05513
P06239	Q8WV28
P06239	Q9HCN6
P06239	Q9Y5K6
P06241	P32121
P06241	P42229
P06241	Q9UKW4
P06241	Q9Y2R2
P06396	P23588
P06396	P51911
P06400	P12931
P06400	P16220
P06400	P17980
P06400	P33991
P06400	P35998
P06400	P42224
P06400	P62333
P06400	Q7L2E3
P06454	P38936
P06493	P11387
P06493	P42224
P06493	P45983
P06493	P49321
P06493	P61981
P06493	P62258
P06493	Q16763
P06493	Q9BTX1
P06702	P61626
P06702	Q00987
P06729	P14151
P06729	P16410
P06729	P20036
P06729	P28068
P06732	P68133
P06748	P13010
P06748	P62244
P06748	P62899
P06748	Q16576
P06753	P60660
P06753	Q02221
P06756	P23229
P07196	P09936
P07196	P51693
P07196	P60201
P07196	Q16352
P07196	Q7L1I2
P07196	Q99784
P07196	Q9C040
P07197	P53779
P07204	P12259
P07237	P61619
P07332	P07948
P07332	P08631
P07332	P16591
P07332	P62993
P07332	Q07912
P07333	P17947
P07333	P36888
P07333	Q9UQQ2
P07437	P17858
P07437	P18124
P07437	P19338
P07437	P21580
P07437	P40227
P07437	P41252
P07437	P46940
P07437	P62263
P07437	P62937
P07437	Q08211
P07437	Q14257
P07437	Q14790
P07437	Q14974
P07437	Q8N163
P07437	Q8N5C8
P07437	Q9H0H5
P07437	Q9Y6Q6
P07585	P15884
P07585	P55083
P07585	Q03135
P07585	Q13361
P07585	Q14767
P07814	P11021
P07814	Q00839
P07814	Q08211
P07814	P0DPH7
P07814	P0DPH8
P07900	P08670
P07900	P17844
P07900	P23246
P07900	P35580
P07900	P41252
P07900	P43243
P07900	P49368
P07900	P62829
P07900	Q05639
P07900	Q07021
P07900	Q09472
P07900	Q13489
P07900	Q14790
P07900	Q3ZCQ8
P07900	Q92793
P07900	Q9Y6Q9
P07910	P51991
P07910	Q15185
P07942	P08123
P07947	P16885
P07947	P35568
P07947	P42229
P07947	P52735
P07947	Q9NRF2
P07948	P08069
P07948	P08567
P07948	P08962
P07948	P17706
P07948	P18433
P07948	P35968
P07948	P63104
P07948	Q9BV40
P07948	Q9UJU6
P07948	Q9UM73
P07949	Q14289
P07949	Q15303
P07951	P29536
P07988	P35247
P08047	P10914
P08047	P11387
P08047	P20749
P08047	P50750
P08047	Q13263
P08047	Q15596
P08047	Q15797
P08047	Q9H160
P08047	Q9H2X6
P08069	P09769
P08069	P15498
P08069	Q13191
P08069	Q13627
P0DMV9	P10275
P0DMV8	P25963
P0DMV9	P25963
P0DMV8	Q00653
P0DMV9	Q00653
P08123	P39060
P08123	Q01995
P08123	Q07092
P08123	Q14112
P08123	Q92626
P08238	P19438
P08238	P23396
P08238	P25685
P08238	Q00839
P08238	Q04864
P08238	Q04917
P08238	Q8N5C8
P08238	Q8TEL6
P08238	Q9Y4K3
P08246	P24158
P08247	P61764
P08247	Q13387
P08253	P08254
P08253	P13611
P08263	Q8TCN5
P08493	Q12841
P08567	P09326
P08567	P10124
P08567	P13796
P08571	P19397
P08572	Q05682
P08572	Q12841
P08574	P48201
P08575	P15153
P08575	P49863
P08575	Q8IYL9
P08575	Q96JQ5
P08575	Q9Y228
P08581	P10912
P08581	P14923
P08581	P17948
P08581	P51692
P08603	P43235
P08621	Q02040
P08631	P13796
P08631	P20292
P08631	P34910
P08631	P41218
P08631	Q05209
P08631	Q14247
P08670	P12814
P08670	P23396
P08670	P27708
P08670	P29466
P08670	P34931
P08670	P35579
P08670	P35580
P08670	P42677
P08670	P49810
