Q3KPI0	Q96RW7
Q8N0Z9	Q9BY67
Q8TEW6	Q9H329
Q95460	Q9H7M9
Q6UXN2	Q9NPF7
P11362	Q9NR99
O95271	Q9ULH0
Q18PE1	Q9Y2L6
O14593	P19438
Q14690	Q8WYQ5
Q7L591	Q9UJU6
P18031	Q9UNH5
P00747	P42771
P0C2W1	Q13049
Q00535	Q9UNN5
P63244	Q6PCD5
Q7Z4S6	Q8IZQ1
A6NE02	Q8NBE8
O75717	Q8NFH4
Q86UV7	Q8TDB6
Q15061	Q8WUA4
Q86XN8	Q96DX4
Q5VTH9	Q96MR6
Q86UV7	Q96T88
Q96D59	Q9H2S5
Q8NBE8	Q9HCK0
O15062	Q9P203
Q8N680	Q9P203
Q7Z6G8	Q9ULH0
Q86XL3	Q9ULH0
Q8IZ07	Q9ULT8
P06340	P19838
O95999	P14222
O00231	P14635
O00160	P16333
O14543	P31277
P08253	P35968
P04233	P52333
P61006	Q14677
P20929	Q5TCZ1
A1X283	Q8TE68
Q15399	Q92692
P07996	Q96P20
Q5TCZ1	Q99469
Q13263	Q99835
Q9HC29	Q9NPY3
Q16584	Q9Y6Q6
O43708	O60760
O75144	O95750
O43566	P12757
P01116	P16520
P10586	P42081
P41743	P60763
P22455	Q02643
P02751	Q07157
P05231	Q14896
P14635	Q76MJ5
P20248	Q76MJ5
O75460	Q7RTN6
O14965	Q8WWL7
Q02750	Q8WWL7
P61812	Q8WYQ5
P35226	Q969T4
Q969T4	Q96PM5
P61081	Q96PU5
P02751	Q96T37
P22674	Q9H2G2
P16471	Q9P0W0
P05019	Q9UBB5
P63146	Q9UBF6
P43146	Q9UHD0
Q92673	Q9UJ41
Q9H074	Q9UPN6
P61160	P62736
O95361	O95696
P36404	Q05084
P43034	P61019
O15075	Q15369
Q7L7X3	Q9BYP7
Q7L7X3	Q9H4A3
P36897	Q9NSY1
P43034	Q9NYY3
Q13555	Q9Y2K2
A6NDA9	O94813
O60667	P0CG04
O75054	P0CG04
O95971	P0CG04
O75678	P01857
O75678	P01860
O75678	P01861
A6NKQ9	P12018
A6NKQ9	Q14896
P01584	Q496F6
P06331	Q496F6
P79483	Q5VST9
P10321	Q6ISS4
P01889	Q6ISS4
P12018	Q6NT52
Q14896	Q6NT52
P03986	Q6UX41
P01911	Q6UXN2
P79483	Q6UXN2
Q30154	Q6UXN2
P0CG04	Q71H61
P79483	Q86TB3
P01911	Q8IUL8
P79483	Q8WZ42
A6NEL2	Q92585
P01850	Q96BF3
P01857	Q96BF3
P01859	Q96BF3
P01860	Q96BF3
P01861	Q96BF3
P06331	Q96BF3
P79483	Q96BF3
P01860	Q96IQ7
P0CG04	Q96N03
P01850	Q96N03
P01861	Q96N03
A6NEL2	Q99728
P0CG04	Q9BRK3
P03986	Q9BRK3
P06331	Q9BRK3
P01861	Q9H7M9
P06331	Q9H7M9
Q5SQ80	Q9H9B1
Q5TYW2	Q9H9B1
P0CG04	Q9NZC2
P0CG04	Q9UKI3
P01857	Q9UKI3
P01859	Q9UKI3
P01860	Q9UKI3
Q5VST9	Q96AX9
P0C0L5	P29122
P26441	Q92729
P13501	Q01196
P20396	Q9P2D1
P10966	P32927
P32927	Q6UWB1
Q13322	Q8NHQ8
Q13018	Q92752
O15062	Q96RE7
P08567	P61204
P46531	Q8WVL7
Q9H8T0	Q9Y639
P08311	Q02556
O14944	Q9Y337
O60282	Q15058
O75317	Q70CQ2
Q8NB66	Q99578
Q15818	Q9P2S2
O15528	P05093
P09429	P35241
P50148	Q9HB21
P46934	Q9NY15
O15212	O95835
P07948	P09629
P07948	P31268
P41002	P53667
P28068	Q01201
Q13432	Q86UR5
P36896	Q8ND76
Q149N8	Q8TAQ2
Q7KZI7	Q8WWN9
Q16763	Q9UBN7
P62380	P63146
P21359	P49815
O94887	Q12967
P05362	Q14213
O75791	Q12774
P17612	Q5TCX8
O43463	Q8TDN6
Q8TAI7	Q9H2X6
Q9NYL2	Q9UPN3
O00626	P02751
P29322	Q15465
P29460	Q9H0Q3
P09172	P21810
P53365	P55290
Q96KQ4	Q9Y2J2
Q14451	Q9HA38
Q13425	Q9NRD5
O75752	O95461
A0PJZ3	P15291
O14944	P42768
P05997	Q9Y4K3
O60687	P00750
P00750	P16333
P29374	Q15047
Q02750	Q9H2K8
Q07889	Q7Z6J4
O94813	P48745
P00533	Q8WWN8
Q01201	Q9Y279
Q15256	Q9Y5P4
Q8IXI1	Q9H1R3
O14543	Q8IY92
P54753	Q9UN30
P54764	Q9UN30
P13236	Q9UPN3
P53667	Q9Y258
P57075	Q8IZP0
O75962	Q9UKS6
P42684	Q9UKS6
Q14847	Q9UKS6
Q8N5V2	Q9UKS6
O75886	Q9Y5K6
P08069	Q3C1V8
P11362	Q3C1V8
P10589	Q9NY43
P24468	Q9NY43
P41231	Q9NY43
Q14790	Q6NXT1
P42574	Q99728
P18077	P29692
P40305	Q13501
P14780	Q92626
P37023	Q92824
Q86VI3	Q969Q5
O75061	Q96IZ2
P35240	P43146
P36402	P48431
O14896	Q16787
P24593	Q8N2S1
O14793	Q9BX66
O95405	Q9H2X0
P24593	Q9NZV1
Q92888	Q9UQB8
