O00533	Q12860
O00560	Q03135
O00574	P26842
Q9H0B6	Q9Y4H2
Q9H0H5	Q9Y2A7
Q9H1I8	Q9NR30
Q9H853	Q9UIA9
Q9HB21	Q9ULV3
Q9NPF8	Q9NY15
Q9NR96	Q9Y616
Q9NRI5	Q9UK53
Q9NRM0	Q9NZP6
Q9NRX5	Q9Y639
Q9NX02	Q9Y6Q9
Q9NXG2	Q9UPY3
Q9NXR7	Q9UER7
Q9P0V8	Q9Y6Y9
Q9UBC3	Q9UMN6
Q9UI15	Q9ULP0
Q9UKG1	Q9UM07
O14490	P04626
O14508	O75791
O14512	Q8IYM1
O14543	P05231
O14543	Q8NI17
O14576	Q16799
O14640	P49815
O14733	P62805
O14746	Q92993
O14757	Q15648
O14777	Q15021
O14817	O75578
O14867	Q9Y6K9
O14920	O14964
O14920	Q9UGN5
O14939	P04626
O15085	Q13425
O15105	P51668
O15111	Q00526
O15111	Q9Y2Z0
O15151	Q16254
O15151	Q8TEW0
O15164	Q9ULK4
O15169	P06493
O15212	P47929
O15234	Q96A72
O15350	P33993
O15350	P45984
O15360	Q13547
O15371	P35268
O15397	Q3ZCQ8
O15514	P15173
O15516	P81133
O15519	Q32MZ4
O15525	Q16520
O43150	O43561
O43318	O60264
O43353	Q7L5N1
O43463	Q00688
O43505	O60282
O43524	P19022
O43524	P48730
O43609	P09619
O43610	P53680
O43610	Q8IWN7
O43680	Q14192
O43749	P0DML2
O43749	P0DML3
O43749	Q9UK39
O43809	Q01130
O43819	Q9BZF9
O43819	Q9NUG6
O43929	P56282
O60216	P07910
O60216	Q08945
O60264	Q71UI9
O60282	O75711
O60282	Q9UPY6
O60359	Q08495
O60504	Q9BX66
O60674	Q9BXW9
O60841	Q13427
O60925	P47929
O75293	O95067
O75369	Q7Z7B0
O75376	Q969R5
O75380	P06744
O75385	Q8TD19
O75419	O75792
O75444	Q16665
O75446	Q03112
O75533	P27348
O75578	P08514
O75586	P41235
O75608	Q7L2H7
O75643	P21580
O75832	O96017
O75943	P01106
O75962	Q9NR81
O94832	Q13813
O94874	Q9H3P7
O94874	Q9NRX5
O95071	Q8IWV7
O95232	P05455
O95297	Q05655
O95429	Q04206
O95429	Q92636
O95551	P30876
O95670	Q9UPR5
O95831	Q01082
O95863	P51532
O95925	Q99963
O95999	P19419
O96011	Q7Z412
O96013	Q9Y2K2
O96017	Q16254
O96020	Q01094
P00367	Q16543
P00519	P23469
P01009	P19957
P0DML2	P41235
P0DML3	P41235
P01308	P22681
P01375	Q9UNG2
P01860	P04843
P01860	Q5VYK3
P01860	Q9UIA9
P01903	P13236
P02461	P17301
P02511	P68133
P02724	P16452
P02760	P19827
P02778	P05141
P02792	P63261
P03372	Q96B36
P04049	Q16611
P04049	Q9BXC9
P04066	P61916
P04150	P08670
P04150	Q13950
P04150	Q96PM5
P04156	Q13491
P04234	P25774
P04350	P04792
P04350	Q6WCQ1
P04350	Q86VP1
P04626	P84095
P04628	Q9H6X2
P04731	P13640
P04792	Q9Y6K9
P04839	Q13651
P05067	Q13489
P05106	P05129
P05106	P41240
P05141	Q08211
P05187	Q9BQ50
P05412	P46734
P05455	P62847
P05455	Q9H992
P05549	Q9H3D4
P05783	P84103
P06239	P36956
P06239	Q5TCZ1
P06239	Q7Z6A9
P06400	Q15543
P06400	Q8NEZ4
P06400	Q9UKL0
P06493	P62308
P06730	Q99558
P06734	P13591
P06748	P68363
P06748	Q00526
P07195	P50990
P07196	Q16143
P07333	Q13444
P07437	P33991
P07585	P21860
P07711	P21673
P07900	Q96DB2
P07910	P58107
P07942	P12110
P07947	Q96B97
P07948	Q14244
P08047	P18615
P08047	Q9Y5B9
P08069	P40238
P08138	Q9UDY8
P08514	P12931
P08575	P63244
P08575	Q03135
P08579	P52272
P08581	P28827
P08581	Q9NRY4
P08670	P62330
P08708	Q00325
P08754	Q9UHB6
P09001	Q8IWA4
P09038	P16109
P09038	Q16623
P09327	P24855
P09471	Q99962
P09471	Q9BVA1
P09486	Q9BUF5
P09564	P84095
P09564	Q9H4M9
P09769	Q16617
P09874	P19438
P09874	Q9NVI1
P0C0L4	Q9NZP8
P10124	P31358
P10145	Q9UHD2
P10242	P12830
P10242	Q12834
P10242	Q13469
P10244	Q15468
P10415	P16298
P10415	P35222
P10415	Q00597
P10415	Q9BY84
P10586	P51636
P10721	P12814
P10828	P83916
P11049	Q14242
P11215	P16109
P11309	Q06330
P11387	Q13526
P11387	Q9UBC3
P11473	Q9HD15
P11474	P55055
P11509	Q9UIB8
P11831	P18846
P11831	Q03181
P12268	P15880
P12268	P62851
P12318	Q01362
P12524	Q8N163
P12755	P17676
P12830	P42684
P12931	P29590
P13010	P27348
P13236	P51679
P13349	Q15475
P13569	Q92597
P14317	P35408
P14317	P42680
P14317	Q6PIZ9
P14317	Q99704
P14635	Q14738
P14778	Q05397
P14859	P42858
P14921	P41240
P14921	Q99497
P15169	P49901
P15172	P22736
P15336	P17181
P15498	P49715
P15529	P17927
P15586	P98082
P15927	P46736
P15954	Q16594
P16070	Q9H204
P16220	Q14966
P16220	Q9UQR1
P16333	Q9NRF2
P16519	Q99784
P17096	Q16667
P17252	P35228
P17275	P46734
P17693	P41226
P17858	Q15750
P17947	P29466
P17987	P55209
P18084	Q9UKX5
P18433	P25445
P18433	Q9Y4H2
P18545	P49418
P18583	Q8IUD2
P19105	Q7Z434
P19338	Q9H2X6
P19793	P55347
P19878	P41743
P20138	P29597
P20273	Q07890
P20273	Q14315
P20333	Q9NUV9
P20749	Q15025
P21127	Q09472
P21291	P41271
P21333	Q15653
P21860	Q07954
P21860	Q9UF33
P21918	Q9UK32
P22415	Q15672
P23396	P27824
P23396	Q9HAV4
P23396	Q9UKB1
P23443	Q01130
P23458	Q63HR2
P23458	Q9Y4G6
P23469	Q16828
P23508	Q99683
P23528	Q9HC77
P23763	Q15836
P24311	Q9NQ50
P24534	Q16623
P24593	Q96IY4
P24941	P35250
P24941	Q9UJU2
P25025	P32246
P25054	Q14103
P25490	P37231
P25490	P49459
P25705	P33176
P25963	Q96CS3
P25963	Q9NS56
P26358	Q8IZT6
P26367	Q9P1Z2
P26373	Q96L21
P26373	Q9BVA1
P26436	Q14410
P26998	Q92752
P26998	Q9H3Q1
P27105	Q03135
P27361	P62993
P27695	Q92793
P27797	P78352
P27986	Q9UF33
P28065	P31146
P28482	P49069
P28749	Q9Y618
P29074	Q13002
P29374	Q01094
P29374	Q9UBN7
P30279	Q9P287
P30281	Q15717
P30307	Q9UKT4
P30511	Q07325
P30530	Q13444
P30793	P42224
P30876	P50750
P31152	Q16644
P31644	Q05586
P31689	P62906
P31946	Q9Y2W1
P31947	P50613
P32780	Q15573
P35249	Q9UGP5
P0DP24	P35268
P0DP25	P35268
P35354	P38936
