O75618	Q01844
Q01844	Q9NZI7
Q01844	Q96MM3
O60281	Q01844
Q01844	Q8WVL7
Q01844	Q8IXJ6
Q01844	Q9H6R6
Q01844	Q9HCS7
Q01844	Q9H9E1
Q01844	Q9H1D9
Q01844	Q8N5B7
Q01844	Q13216
Q01844	Q96T76
Q01844	Q969F2
Q01844	Q9NWX5
Q01844	Q9BXJ9
Q01844	Q9P0K7
Q01844	Q96G23
O15226	Q01844
Q01844	Q969K4
Q01844	Q9UHF7
P28370	Q01844
Q01844	Q13610
Q01844	Q9H808
O00287	Q01844
Q01844	Q969S8
Q01844	Q9NR48
Q01844	Q9UJW8
Q01844	Q9H7M6
Q01844	Q9Y2X0
P54277	Q01844
Q01844	Q5SXM2
P30876	Q01844
O43167	Q01844
Q01844	Q8N141
P17481	Q99504
O43711	Q99504
Q15910	Q96RK1
O75593	P48443
O75593	P52655
P32314	Q16621
O43711	P32314
O60281	Q9BWX5
Q9BWX5	Q9Y2X0
Q92753	Q9BWX5
P15923	Q99684
P31267	Q99576
P17481	Q99576
P15923	Q99576
P04150	P17481
P04150	Q8IXT2
P56915	Q9UL17
Q00978	Q9H4S2
P32780	Q16621
O43711	P32780
P20823	Q9C056
Q9C056	Q9UHV2
O15405	Q9C056
P14317	Q16621
P81877	Q9C009
Q9BWW4	Q9C009
O43711	Q16665
P31629	Q96RK1
P49639	P55771
P49639	Q96G23
P31260	Q15370
O43593	P31270
O60281	P31270
P31270	P36954
P31270	Q12766
O43364	O60281
O43364	P16989
O43364	Q9H6R6
O43364	Q8WXK4
O43364	Q13216
O43364	Q969W1
O43364	Q9P0K7
O43364	Q96G23
O43364	Q9H808
O43364	Q14498
Q00056	Q16621
P31267	P36954
P31267	Q96KN3
P26367	P31269
P31269	P36954
P31269	Q9UNN4
P31269	Q6IE81
P14653	Q96G23
P14653	Q96EB6
P17483	Q16621
P17481	Q00978
P17481	P51692
P17481	Q9Y2G7
P17481	Q92985
P17481	Q9Y576
P17481	P36954
P17481	Q9UNN4
P17481	Q96KN3
P26367	P31275
P31275	P40424
P31275	P40426
O14593	P31275
P31275	Q6IE81
P09017	Q9UJQ4
P36954	Q00444
Q86U70	Q9GZZ0
O60281	P28358
P35452	Q14863
P35452	Q15287
O60281	P35452
P35452	P36954
P35452	Q9UNN4
P35452	Q15543
P35452	Q9H0M0
O60248	P35453
P31249	Q96G23
P31249	Q9H808
O75534	P31249
O60281	P28356
P28356	P36954
O43593	O43593
O43593	Q92753
P15923	Q12926
O43711	P41134
P15923	Q9Y6K9
Q99816	Q9Y6K9
Q92585	Q9Y6K9
O43711	Q15306
P35712	Q00978
Q00978	Q9H2W2
Q15542	Q9Y5Q3
Q86U70	Q9H2C1
O00488	Q86U70
Q86U70	Q9Y534
Q13148	Q86U70
Q86U70	Q9NWS9
O43679	P48742
O43679	P50458
O43679	Q9H2C1
O43679	O60663
O43679	Q9Y3Y4
O43679	Q96A47
O43679	Q8TE12
O43679	Q9NWS9
P50458	P81877
P50458	Q969V6
P50458	Q9UKD1
Q9NQ69	Q9Y3Y4
Q9NQ69	Q9NWS9
O60663	Q9NWS9
Q13485	Q9H334
Q96T76	Q9ULX9
O60675	Q92570
Q14566	Q8IXT2
Q14566	Q9UKD1
P50222	Q9UBS8
O75928	P19838
P42224	P55197
P55197	Q9H5J0
O14770	P15923
Q8WYK2	Q99687
Q14872	Q92570
Q14872	Q9UBS8
Q14872	Q96G23
O60264	P50539
O60281	P10242
P10244	Q9UKS7
P10244	P16383
O15534	Q9Y6Q9
P57082	Q9Y6Q9
Q8IXJ6	Q9Y6Q9
Q9H1D9	Q9Y6Q9
Q13216	Q9Y6Q9
P29083	Q9Y6Q9
Q96G23	Q9Y6Q9
Q9H808	Q9Y6Q9
P16383	Q9Y6Q9
Q13562	Q9H2W2
Q13416	Q16621
Q16621	Q9BQG0
O15534	Q16621
Q16621	Q92785
P41229	Q16621
Q16621	Q9BY66
O95863	Q16621
P63272	Q16621
Q01085	Q16621
Q16621	Q99816
Q16621	Q9NZI7
Q16621	Q7Z7L9
O60281	Q16621
P50479	Q16621
O43660	Q16621
Q15650	Q16621
Q16621	Q8WVL7
Q16621	Q9UBS8
Q16621	Q969G3
Q16621	Q8IXJ6
Q16621	Q9Y576
Q16621	Q9H6R6
P29084	Q16621
O15514	Q16621
Q16621	Q9P2Y4
Q16621	Q8WXK4
Q13216	Q16621
Q16621	Q96T76
P29083	Q16621
Q16621	Q9BYU1
Q16621	Q9Y534
Q13503	Q16621
Q16621	Q9H808
Q16621	Q9NR48
O94953	Q16621
O75534	Q16621
P30876	Q16621
Q16621	Q92610
Q16621	Q8N187
Q16621	Q9NRM2
Q16621	Q9NWT6
P16383	Q16621
P08651	Q8NHY6
P19838	Q8N554
P19838	Q9UKD1
O14978	Q8TAU0
Q13416	Q9H2G9
P32243	Q8IXT2
P32243	Q9H5J0
P26367	Q969S8
Q06710	Q6IE81
P55771	Q9UL17
O00488	P40424
O43711	P40425
O43680	P40426
O15534	O15534
O15534	O43711
O15534	Q9H334
O15055	P52655
O15055	Q9H334
O15055	Q9Y2X0
O75151	P15923
O75151	Q92585
O75151	Q9H334
O15405	O75151
Q96RK1	Q9UMS5
O60248	O75364
P29590	Q9Y5A6
P29084	P29590
P29083	P29590
P29590	Q9Y2X0
O95602	P14859
P14859	Q9NQX1
Q12837	Q14863
P40763	Q14863
O43711	P28749
O43711	Q9UBG7
Q04864	Q9BWG4
P36956	Q04206
Q04206	Q15326
Q04206	Q9P0U4
Q04206	Q96G23
P55201	Q04206
Q04206	Q7Z3H0
P48378	Q9NPC7
O14593	Q9UIW0
Q13461	Q15287
Q9H9Y6	Q9UKD1
O95602	P15923
P48443	Q96IZ0
P29084	Q07666
O15405	P35712
Q12772	Q6ZMY9
Q12772	Q8IXT2
P15923	Q53T94
P17542	Q8TAP4
Q16559	Q8TAP4
O43711	Q96SF7
P20823	P52655
O60765	P81877
O60765	Q8IZQ8
P05549	Q9BWG4
O60281	P15923
P15923	P50479
P15923	Q15650
P15923	Q9NRJ5
P15923	Q969G3
P15923	Q9H6R6
P15923	Q33E94
P15923	Q13216
P15923	Q9P0K7
P15923	Q96G23
P15923	Q9BYU1
P15923	Q9H334
P15923	Q96MV8
P15923	Q9H808
P15923	Q9Y6Y0
P15923	Q9Y2X0
P15923	Q9NRM2
P15923	Q53LP3
P15923	Q6IE81
Q15561	Q9UL17
Q10587	Q10587
Q10587	Q96HZ4
O43294	O43711
Q9UNS1	Q9UNS1
P43699	Q14541
P21580	P81877
P21580	Q9BWW4
P21580	Q9Y2X0
O60281	P04637
O15350	Q9Y2X0
Q9NZI7	Q9Y692
Q9H5J0	Q9NZI7
Q9NZI7	Q9UKD1
P17861	Q9UKD1
Q7Z7L9	Q969F2
Q7Z7L9	Q8N8E2
P28698	Q7Z7L9
Q9NTW7	Q9NTW7
P52655	Q9NTW7
Q9NTW7	Q9Y2X0
P15036	Q96G23
P29084	Q15038
P52655	Q9UIW0
Q9UIW0	Q9UKD1
P52655	Q9UK53
P62508	Q16534
Q9H5J0	Q9NVU0
O15060	Q9NVU0
O60281	Q6ZMY9
Q6ZMY9	Q96RK0
Q6ZMY9	Q96G23
Q6ZMY9	Q8WXK1
Q6ZMY9	Q9H808
Q6ZMY9	Q9Y6Y0
