Q14494	Q9ULX9
P61586	Q9H7P9
P60953	Q99819
P61586	Q99819
P07948	Q99062
P43405	Q99062
O14613	P17081
P17081	Q9UKI2
P32927	Q13257
P11362	Q12982
P07333	P07948
P22736	Q9Y618
P42768	Q9H4E5
Q13153	Q9H4E5
P20936	Q13283
P08069	P20936
P06127	P22681
P06127	P20936
P08631	Q14644
P08631	P20936
P01112	P20936
Q92673	Q9UJY5
Q92673	Q9UJY4
Q99523	Q9UJY5
Q13490	Q13490
Q13489	Q13489
Q10567	Q9H1H9
O43747	Q9H1H9
Q9BXS5	Q9H1H9
P62195	Q99460
P62191	P62195
P62195	P62333
P20226	P35998
P35998	Q00403
P32780	P35998
P35269	P35998
P11498	P40926
P11498	P17174
P40926	P40926
P17931	Q08380
P19438	Q06643
P01374	P07911
P28676	P28676
P63244	Q14644
P20936	P63244
P14598	P17600
O00499	P17600
P17600	P49418
P12931	P17600
P17600	P27986
P17600	P46108
P20936	Q14289
P04626	Q14289
P09619	P27986
P09619	P20936
P06213	P20936
P19086	P47736
P08754	P49802
P19086	P49802
P62495	Q8IYD1
P15170	P62495
P11940	Q8IYD1
P11940	P15170
P08069	P63096
O43566	P04899
O14924	P04899
O43665	P63096
Q05513	Q9BYG5
Q05513	Q9BYG4
Q14344	Q9NPQ8
P50148	Q9NPQ8
P08754	Q9NPQ8
P04899	Q9NPQ8
P09471	Q9NPQ8
P63096	Q9NPQ8
P63000	Q9BYG5
P63000	Q9BYG4
P60953	Q9BYG4
P60953	P98174
P08754	P21453
P21453	P63096
P09471	P35372
P09471	P41143
P60953	Q86VW2
P63000	Q86VW2
P63092	Q9Y5W8
Q5JWF2	Q9Y5W8
O95467	Q9Y5W8
P84996	Q9Y5W8
P32241	P50148
P32241	P63092
P32241	Q5JWF2
O95467	P32241
P32241	P84996
P63092	P63092
P63092	Q5JWF2
O95467	P63092
P63092	P84996
Q5JWF2	Q5JWF2
O95467	Q5JWF2
P84996	Q5JWF2
O95467	O95467
O95467	P84996
P84996	P84996
P60953	Q13393
P60953	Q15811
O00401	Q15811
P33402	Q02153
O15068	P61586
P33402	Q12959
P33402	Q15700
P33402	Q92796
P33402	P78352
Q16667	Q96HJ5
P12544	Q01105
P24941	Q96HJ5
P12004	P24941
P39687	Q01105
P26583	Q01105
P12544	P26583
P00739	P29965
P02647	P29965
P07948	P24941
P11142	Q9UNE7
P34932	Q9UNE7
P25685	Q9UNE7
P0DMV8	Q9UNE7
P24723	P24941
P0DMV8	P46379
O95817	P19174
O95817	P0DMV8
P0DMV8	P48436
O75884	P06400
O75884	P28749
O75884	Q08999
P0DMV8	P50750
P0DMV8	P50502
P21675	P28749
P21675	Q08999
P07900	P12931
P06400	P20226
P07900	P35869
P28749	Q92994
Q08999	Q92994
P07900	Q07869
O00170	Q07869
P07900	Q13451
P35232	Q08999
P28749	P35232
P07900	Q03113
P06400	Q13107
P28749	Q13107
Q08999	Q13107
P01106	P28749
P17480	Q03188
O95433	P07900
P07900	Q719I0
P07900	Q15185
P04626	P07900
P13010	Q00613
P78527	Q00613
P11142	Q00613
P12956	Q00613
O75506	P34932
O75506	Q00613
P37198	Q03933
P20309	P48729
P02776	P13611
P13611	P48061
P13500	P13611
P13611	P80075
P13611	P78556
P13501	P13611
O00585	P13611
P69892	P69892
P08631	P12314
P14210	P14210
P23352	P34741
P01215	P0DN86
O75462	Q9UBD9
O43639	P48059
O43639	Q13418
P49006	Q13561
P0DP23	Q13561
O43914	Q9NP99
P23588	P23588
P23588	Q14152
P11387	P63279
O14733	Q9Y2U5
P45985	Q9Y2U5
P45985	Q13233
P45983	Q9Y2U5
P54259	Q86UL8
P54259	Q96J02
O00308	P54259
P54259	Q9H0M0
P54259	Q96QZ7
P61163	Q9UJW0
P0DPB3	P0DPB3
P0DPB3	P35240
O95208	Q00610
Q13127	Q9UKL0
P13796	P28676
P06239	Q13501
P06239	P06729
P06239	P20936
P04049	P06239
P06239	P43405
P01730	P43405
P01730	P43403
P18206	Q00610
P02751	P98095
P14543	P98095
P07996	Q02388
P02458	P98161
P29353	Q08345
P35968	P39060
P49757	Q8IUQ4
P03372	Q93074
P03372	Q15648
O60244	P03372
P03372	Q9ULK4
O75448	P03372
P03372	Q9Y2X0
O75586	P03372
P03372	Q9H944
P03372	Q9BTT4
Q92731	Q93074
Q15648	Q92731
O60244	Q92731
Q92731	Q9ULK4
O75448	Q92731
Q92731	Q9Y2X0
Q92731	Q9NVC6
O43513	Q92731
O75586	Q92731
Q92731	Q9H944
Q13503	Q92731
Q92731	Q9BTT4
P03372	Q9NVC6
O43513	P03372
P03372	Q13503
Q86VP1	Q9Y4K3
P03372	Q9UHV7
P03372	P24863
P24863	Q92731
P03372	P49336
P49336	Q92731
O43513	P49336
P49336	Q9H944
O15085	Q14344
O15085	Q03113
Q9UGI0	Q9Y4K3
Q6GQQ9	Q9Y4K3
P46109	Q92608
P15498	Q92608
P11940	Q04637
O43432	P11940
Q16533	Q92966
O00203	P59780
O14617	P59780
P59780	Q9Y2T2
Q13418	Q7Z4I7
P62308	Q16637
P62306	Q16637
O75821	P55884
O14920	Q15653
O15371	O75821
O15111	Q15653
O75821	O75821
O15372	O75821
O14920	O14920
O15530	Q13418
P46109	Q13480
O15525	Q16621
O15525	O15525
O14745	P35499
P30419	Q9NPB3
P30419	Q9NZU7
P34947	Q9NZU7
P63000	Q07960
P11274	P63000
P11274	P60953
P11274	P61586
P63000	Q13177
P06239	Q12959
P22001	Q12959
P06127	P43403
Q15796	Q9UJU2
P84022	Q9UJU2
Q13485	Q9UJU2
P20333	Q9BWF2
P28908	Q9BWF2
P00519	P12956
P15382	Q12809
P68133	Q14019
P10646	P35030
P00742	P10646
P08519	P98164
P04085	P98160
P01127	P98160
P06729	P19397
P04049	P29376
P19174	P29376
P27986	P29376
P22681	P29376
P18031	P42229
P18031	P51692
P04629	P18031
P18031	Q16620
P18031	Q16288
P18031	P29376
P08575	P15813
P20963	P43403
Q13136	Q13136
O75334	Q13136
Q86W92	Q86W92
O75334	O75334
O75145	P10586
O75334	P10586
O75334	Q13332
O75145	Q13332
P29350	P40189
P29350	P42702
P12980	P25963
P25800	Q16559
P12980	P25800
P25791	Q16559
P12980	P25791
P10415	Q12983
P10415	Q12981
Q07817	Q12981
P09874	P61247
P09874	P10415
P34932	Q99933
P10415	Q99933
O60238	P10415
P29350	P51692
O60674	P40763
P08700	P11274
P07996	P08253
P08253	P35442
P07996	P14780
P14780	P35442
P43246	P43246
P43246	Q9UQ84
P20585	Q9UQ84
P40692	Q9UQ84
P54278	Q9UQ84
O95243	P40692
P43146	P56270
P43146	Q8IUQ4
P43146	Q9UKG1
P01042	Q9NPY3
P17927	P20023
P01562	P20023
Q13153	Q13153
P15529	P26038
P12931	P15529
P15529	P78352
P07947	P15529
P11215	P51617
P05362	P11215
P11215	Q9BX67
O60260	P0DMV8
O60260	Q9UNE7
P23142	P48745
P23142	P29279
P17302	Q03135
P29033	Q03135
P08034	Q03135
P43405	Q13191
P46109	Q13191
P78545	Q9ULK4
P46060	P46060
Q86U42	Q92973
P13569	P13569
Q14493	Q8WTR7
Q8WTR7	Q969L4
O14775	P49758
Q01196	Q99607
Q01196	Q15723
P17676	Q01196
Q01196	Q04724
Q04724	Q13761
P35222	Q04724
Q04724	Q9UJU2
P01112	P09382
P08575	P09382
P09382	P16150
P09382	P09564
P01730	P09382
P09382	Q08380
P01137	Q14766
P17252	P20700
P20700	P42166
P20700	P42167
P42166	Q03252
P42167	Q03252
P02545	P17252
O14656	P02545
P02545	Q5JTV8
O14920	Q13233
P61088	Q13404
O15111	P61088
P13569	Q9H3Z4
O60260	P31689
O60260	P11142
O60260	P25685
O15354	Q9UNE7
O15354	P0DMV8
O15354	P31689
O15354	P11142
O15354	P25685
P61088	Q9Y4K3
Q13404	Q9Y4K3
P61088	Q12933
Q12933	Q13404
O60260	P25786
O14980	P55265
O60260	Q9Y6H5
Q12933	Q9NYJ8
Q15750	Q9Y4K3
O75928	Q99497
Q08379	Q9H0U4
P51617	P51617
O43318	Q99558
O43318	O95163
O14933	O60260
O00161	O43752
O43318	Q99683
Q99558	Q9Y4K3
P58753	P58753
P58753	Q99836
Q99836	Q99836
O43187	P58753
O75909	P50750
P00747	P02751
P00750	P02751
P00750	P25391
P00747	P25391
P05787	Q02156
P05783	Q02156
P05787	P28482
P05787	Q16539
P05783	Q15628
Q04695	Q14CN4
P05787	Q04695
P05783	Q14CN4
P05783	P05787
Q12815	Q12815
Q12815	Q12816
P05787	Q12815
P08727	Q9H307
P05787	Q9H307
P05783	Q9H307
P20151	P35237
P20592	P20592
P05113	P05113
Q13163	Q13164
Q13163	Q13163
Q13164	Q13164
O60583	P50750
O00327	Q99814
O00327	Q16665
Q99683	Q9UER7
Q15788	Q9UBK2
Q92793	Q9UBK2
O43639	P35568
O14514	Q96QZ7
O14514	O94812
O94805	Q13363
O14920	O43318
O43439	Q01196
O43164	Q9Y5V3
Q8NG27	Q9Y5V3
P35548	Q13950
P02511	P25788
P18846	Q06546
O60869	Q13285
P16220	Q9Y2W7
P15336	P17096
P05412	P17096
P10914	P17096
P01100	P15336
P05412	P18848
P11802	P15172
P50613	Q16543
Q00534	Q16543
O15392	P11802
Q00535	Q16623
P29373	P30281
P10276	P30281
P30281	P42575
P14635	P30307
P06493	P30307
P78396	Q12834
P61970	P61970
O15265	P62191
O15265	Q13200
O15265	P51665
O15265	P62195
O15265	P35998
O15265	P62333
P30154	Q14738
P30154	Q13362
P30154	Q15173
P30154	Q16537
P24941	Q99459
O95490	Q9Y566
O60241	Q9Y566
Q9UBZ9	Q9UI95
Q9UI95	Q9UI95
P19793	Q13573
Q05516	Q14192
P06401	Q9Y618
P06401	Q9Y6Q9
P0DML3	P24928
O43914	P43631
O43914	P43403
P14635	P24522
O75293	P06493
O75293	P14635
O95257	P06493
O95257	P14635
P06493	P41002
P14635	P41002
P06493	P27816
P24864	P78371
O43187	P14778
O14543	Q14289
O60674	P06213
O60674	Q92783
P52333	Q92783
P29353	P40189
P18031	P29597
O60674	P18031
O60674	O75886
O75886	P52333
O75886	P29597
P10912	P23458
P10912	P29597
P04049	P23458
P14598	P24394
P01584	P14778
P21980	P51178
P14778	P18510
O95271	Q9UIQ6
P29466	P31944
P31944	P42575
P31944	P49662
P31944	Q14790
P31944	Q92851
P06213	P15498
P06213	Q14451
P06213	P29353
Q01105	Q15573
P39687	Q15573
Q09472	Q16695
P62805	Q09472
P62805	Q15573
P62805	Q01105
P39687	P62805
Q15573	Q16695
Q01105	Q16695
P39687	Q16695
Q16695	Q92831
P62805	Q92831
Q16695	Q9Y6Q9
P62805	Q9Y6Q9
Q16695	Q92793
P62805	Q92793
O60506	P06213
P06213	Q14449
P06213	P18031
O14543	P08069
P06213	Q9BX66
P00519	Q9BX66
P19838	Q02556
P14316	P19838
P19838	Q00978
Q02556	Q04206
P14316	Q04206
Q00978	Q04206
P14316	Q02556
P80511	P80511
Q16552	Q16552
Q86Z02	Q9UER7
Q02809	Q02809
O00469	O00469
O60568	O60568
Q13564	Q8TBC4
O43896	Q16825
O96013	P18084
P18084	Q13352
P29597	Q9Y4H2
O75971	Q5SXM2
Q16533	Q5SXM2
O75971	Q16533
P25205	Q13416
O14787	Q9UBU9
O14787	P62826
P62826	Q9UBU9
O75533	Q99459
Q13435	Q99459
Q15459	Q99459
Q15427	Q99459
P62314	Q99459
P62316	Q99459
P62318	Q99459
P09012	Q99459
Q01130	Q99459
Q8IYB3	Q99459
Q12905	Q99459
P09661	Q99459
Q07955	Q99459
P38159	Q99459
P23246	Q99459
P11388	Q99459
O15297	Q99459
P78527	Q99459
P62136	Q99459
Q99459	Q9P013
Q99459	Q9UMS4
P30050	Q99459
P62249	Q99459
P62851	Q99459
P11142	Q99459
Q7L1Q6	Q99459
Q14204	Q99459
Q92616	Q99459
Q99459	Q9UPN6
A8K8P3	Q99459
P26373	Q99459
O75934	Q99459
P31749	P35568
P35568	Q9Y4H2
P17480	P35568
P17480	Q9Y4H2
O14618	O14618
P08069	P18031
P08069	P63244
Q14573	Q14643
Q06330	Q96T58
P20591	Q9UER7
P20591	P63165
O75925	P20591
P20591	P23497
P20591	P54132
P12980	P15923
P15923	Q16644
O43914	O95944
P07948	P24071
P19793	Q15788
O15105	P46937
O43541	P46937
O00422	P08151
P01137	P62942
P29353	P31994
P31994	Q06124
O43561	P12314
O43561	P12318
P29350	Q8NHL6
P29350	Q8N423
P05121	P24593
P04004	P24593
P01344	P22692
P17936	P19793
P17936	P35858
P24593	P35858
P05019	P24593
P01344	P24593
O60674	P14784
P13598	P26038
P16070	P26038
P63104	Q14934
P31946	P55851
P55851	P63104
P27348	P55851
P31946	P55916
P55916	P63104
P27348	P55916
P42858	Q13363
P21926	P50454
P17252	P19397
P17252	P21926
O75444	P35452
P35452	Q9Y5Q3
O60675	P35452
P35452	Q9ULX9
O15525	P35452
P09629	P25963
P31269	Q13485
P10321	Q03519
P84074	Q13075
O00141	P42336
O00141	P67775
O15530	P45983
Q9NP71	Q9UH92
Q9UH92	Q9UH92
Q99583	Q9UH92
Q05195	Q9UH92
O00626	P27487
O75486	Q9Y4A5
O75486	Q9Y6J9
O75486	O75529
O75486	O75528
O75486	Q96BN2
O75486	Q15393
O75486	O94864
O75486	Q16594
O75486	Q16514
Q16594	Q9Y4A5
Q16594	Q9Y6J9
O75529	Q16594
O75528	Q16594
Q15393	Q16594
Q16594	Q92830
O94864	Q16594
Q12962	Q16594
Q16514	Q16594
P21675	Q16594
Q16594	Q6P1X5
O00268	Q16594
P49848	Q16594
Q15545	Q16594
Q16594	Q96BN2
O75486	Q16531
O75486	Q92466
Q16531	Q92830
O15105	O43541
O43541	Q15797
O43541	Q15796
O43541	Q13485
P20290	P30876
Q16513	Q16513
O95149	P62826
O14980	O95149
O95149	Q14974
Q15029	Q6P2Q9
P50750	P50750
O00267	P50750
O00267	P50613
O00267	O60563
O00267	P51946
P98170	Q9UHV2
Q96GD4	Q99728
O75410	Q99728
P51587	Q96GD4
P55072	Q9BZV1
Q00688	Q00987
P04637	Q00688
P18847	P18848
Q13133	Q99728
O14828	P46934
O00308	O14828
O14828	P46937
O14828	Q99816
O14828	O14964
Q96PU5	Q96PU5
Q7Z569	Q9UNH5
O60260	Q16342
Q86VP1	Q9Y3C5
P42224	Q9Y3C5
P21580	Q9Y3C5
Q13546	Q9Y3C5
P21580	Q13546
Q13546	Q86VP1
Q13546	Q96J02
Q96J02	Q9Y3C5
Q93009	Q9HAW4
P46527	P62837
P46527	P63146
P46527	P49427
Q13526	Q15796
P84022	Q13526
Q13228	Q8TEY7
Q9NVW2	Q9NVW2
P03372	Q9NVW2
O00151	Q9NVW2
O00151	O00151
O00151	P03372
P03372	Q86U70
P61073	Q96J02
P54578	P61073
P08684	Q9UKV5
P08684	Q9UNE7
Q96BY2	Q9HCM9
Q00987	Q8N488
P04637	Q8N488
P00533	P04626
P04626	P21860
P21580	Q14790
P51668	Q9NS56
Q96PM5	Q96PM5
Q9H0M0	Q9NQC3
P40337	Q92963
O14964	P05067
O14964	Q06481
O14964	P16615
O14964	Q15041
O14964	P35613
O14964	Q9NPL8
O14964	Q76B58
O14964	Q96GC9
O14964	Q9UH99
O14964	O43865
O14936	O14964
O14964	Q9UDY2
O14964	P11142
O14964	Q02779
O14964	P61764
O14964	Q12765
O14964	Q14194
O14964	Q13561
O14964	P14136
O14964	Q96L34
O14964	Q96I34
O14964	O94955
O14964	Q13885
O14964	P62508
O14964	Q9H0C8
O14964	Q15435
O14964	Q15404
O14964	P22314
O14964	P53396
O14964	P35520
O14964	Q16698
O14964	P31153
O14964	Q6UB35
O14964	Q9H0X9
O14964	Q8IV08
O14964	P08237
O14964	O14979
O14964	P61247
O14964	Q15393
O14964	Q96EY7
O14964	Q9NR11
O14964	Q5EB52
O14964	O75069
O14964	P05023
O14964	Q12931
O14964	Q9UJY4
O14964	P07437
Q00987	Q7LG56
Q13315	Q7LG56
P49768	Q9Y4K3
P04049	P98170
P04049	Q13490
P04049	Q13489
P04049	Q9UNE7
P98170	Q9UNE7
O95863	Q9GZU7
O14595	O95863
O15194	O95863
Q12834	Q9UJX2
Q12834	Q12834
Q12834	Q9UM13
Q12834	Q9NYG5
Q12834	Q9H1A4
Q12834	Q9UJX3
P35222	Q92831
P40763	Q16665
P17844	Q96FW1
P63244	Q96FW1
P06748	Q96FW1
Q96FW1	Q99848
P38919	Q96FW1
Q8TDD1	Q96FW1
Q96FW1	Q9BUQ8
P12004	Q96FW1
Q96FW1	Q9H0A0
Q96FW1	Q9GZR7
P35637	Q96FW1
O14543	Q15233
P61254	Q00987
Q16082	Q9Y4K3
Q12933	Q16082
Q14258	Q9UL19
P63092	Q00987
Q00987	Q5JWF2
O95467	Q00987
P84996	Q00987
P19438	Q13489
Q13490	Q16186
P06748	P31749
Q9HAU4	Q9HCE7
P67809	Q7Z6E9
Q7Z6E9	Q8NAP3
P60033	Q7Z6E9
P14921	Q7Z6E9
P62263	Q7Z6E9
P58658	Q7Z6E9
Q7Z4B0	Q7Z6E9
Q7Z6E9	Q96DE5
O75427	Q7Z6E9
P17612	Q9HC16
O15503	Q96CS3
O15503	P55072
P55072	Q96CS3
Q96CS3	Q9UKV5
Q13616	Q96GG9
Q13617	Q96GG9
Q13618	Q96GG9
Q86VP6	Q96GG9
P61081	Q96GG9
Q93034	Q96GG9
P62877	Q96GG9
P62877	Q13309
Q5T447	Q9UNK0
Q12778	Q8NHY2
P35222	Q6IE81
P62877	Q93034
P98170	Q8N668
P78368	P84022
P38936	Q13619
P38936	Q16531
P38936	Q9NZJ0
P98177	Q13526
P42345	Q969H0
P62837	Q13489
P49281	Q9BT67
P49281	Q9NV92
P42771	Q9UNL4
Q8N726	Q9UNL4
O75843	P46934
Q01196	Q9Y4K3
Q14192	Q9Y4K3
Q01196	Q14192
P10242	Q969H0
Q969H0	Q9H2X6
Q9H2X6	Q9Y297
P57775	Q9UBE8
Q969U6	Q9UBE8
Q13309	Q9UBE8
Q13616	Q9UBE8
Q13616	Q9H2X6
P98170	Q9Y2U5
O43318	P36897
P36897	Q9Y4K3
P36897	Q16539
P21675	P68400
O00238	Q9Y4K3
P32121	P46934
P32121	Q96J02
P46934	P49407
P49407	Q96J02
P09601	Q92890
P09601	Q13200
Q13950	Q9UNE7
O60260	Q9H4P4
P18848	Q9NRI5
O15372	Q9NRI5
P27037	Q86UL8
P06576	Q5TC12
P49768	P49768
P49768	Q96TA2
P19474	Q13107
P16144	Q03001
O60437	Q9UMD9
P04632	P31785
P35221	Q96KN1
P01135	Q969F2
Q969F2	Q96BH1
P18858	P49959
Q9BXX0	Q9Y6C2
Q92731	Q9HBH9
Q01844	Q01851
P25445	Q8TES7
Q9BZG8	Q9Y5S9
P54826	P80370
P28799	P80370
O95985	Q9UBX5
O95985	P28799
P41271	P46379
P61006	Q96CV9
P15923	Q15672
Q96J02	Q96J02
Q16621	Q96J02
P10275	Q969W9
P04637	Q13155
Q96EU7	Q9NS00
P17931	Q96EU7
P0CG48	Q96B97
O00237	Q9BUN8
O00237	P55072
Q8IU81	Q8WYK2
P17544	Q8WYK2
P17535	Q8WYK2
P05412	Q8WYK2
P15336	Q8IU81
Q12933	Q9HAU4
P20333	Q9HAU4
O60260	P19174
P04637	P09936
P98177	Q00987
Q13501	Q9H492
Q53GL0	Q9HCE7
Q99717	Q9HCE7
Q53GL0	Q99717
P29965	Q8TEB7
O00189	Q9UPM8
O00189	Q9Y6B7
Q9UPM8	Q9Y587
P25963	P51668
Q6PFW1	Q9NQC7
Q9NQC7	Q9UHD2
Q14164	Q9NQC7
Q14653	Q6PFW1
Q14653	Q9UHD2
Q14164	Q14653
O95786	Q9NQC7
O95786	Q14653
P60510	Q9Y4K3
O00206	P60510
O60493	Q14694
P37088	Q14694
O60493	P37088
P62745	Q99819
O60229	P63000
P02647	P02654
P02647	P0DJI9
P02647	Q8NCW5
P12004	Q15004
P20338	Q9Y6G9
P20339	Q96AX2
P20340	Q9Y3P9
P15918	P52292
P05386	P05386
P25490	P62937
P00519	Q96IW2
P00519	Q5VZ18
P12931	P29320
P12931	P54764
P07947	P29323
P06241	P29320
P19174	P29323
P37173	Q04771
O60437	P05787
O60437	P08670
P17301	P47224
P08648	P47224
P23229	P47224
O00499	P23229
P60903	Q00536
P63104	Q00536
Q00536	Q04917
P27348	Q00536
O95477	Q13425
O95477	Q16851
O95477	P21912
O95477	Q06278
O95477	Q6P2Q9
P20226	Q8IZX4
Q04724	Q04724
Q04724	Q04725
Q04725	Q04725
Q04725	Q14469
Q13045	Q9Y608
Q09161	Q12982
Q09161	Q12983
Q09161	Q12981
P16333	Q9NZQ3
P11021	Q9NRR5
P01236	Q9NRR5
Q9NRR5	Q9Y680
P07858	Q9NRR5
P10451	Q9NRR5
P53618	Q9H013
Q9H013	Q9NYB9
O43747	Q96CW1
O43747	P53680
Q10567	Q96CW1
Q10567	Q9BXS5
Q6UVK1	Q9Y3R0
Q93034	Q9NYG5
P08069	Q00987
P08069	P22681
P08069	Q15075
Q13049	Q9NYB9
Q86Y01	Q96J02
Q13564	Q14669
Q9Y4K3	Q9Y4K3
Q9Y4K3	Q9Y6K9
P0CG48	P54252
Q13619	Q16531
Q13619	Q92466
Q13620	Q16531
Q13620	Q92466
Q13619	Q13620
O14965	Q96EP1
Q13257	Q96EP1
P07900	P36897
P07900	P37173
P07900	Q07157
P55072	Q8TAT6
P42771	Q9UER7
Q8N726	Q9UER7
Q00987	Q9UER7
P46934	Q9C0H2
P46934	Q9BSA4
P04792	Q14103
P34932	Q14103
P11142	Q14103
Q04637	Q14103
Q14103	Q14103
P16471	Q92664
O60678	P15880
Q13618	Q9NXV2
Q9NXV2	Q9NXV2
Q13490	Q13546
Q13489	Q13546
O43318	Q13546
Q9NS23	Q9UER7
P19793	Q9Y618
Q16527	Q9H8E8
O43521	Q16548
P52565	P84095
P14373	P60228
O43294	P04792
P54619	Q13131
P54619	P54646
Q9UGI9	Q9Y478
O43741	Q9UGI9
Q93038	Q93038
Q9UBS5	Q9Y2D1
P18848	Q9UBS5
O75899	P18848
Q96S59	Q9NWU2
Q96S59	Q99549
Q96S59	Q9UL63
Q9NZN9	Q9Y5A7
Q9BYV9	Q9HBE1
O14867	Q9HBE1
Q06124	Q06124
P21333	Q7Z7B0
P62873	P63211
P62879	P63211
O14610	P62879
O14610	Q9HAV0
O14610	P62873
P62873	P63215
P62879	P63215
P16520	P63215
P63215	Q9HAV0
P50150	P62879
P16520	P50150
P50150	Q9HAV0
P62873	P63218
P62879	P63218
P16520	P63218
P63218	Q9HAV0
O60262	P62873
O60262	P62879
O60262	P16520
O60262	Q9HAV0
Q13868	Q9NPD3
Q13868	Q15024
Q9NQT4	Q9NQT5
Q9NPD3	Q9NPD3
Q15024	Q9NPD3
Q96B26	Q9NQT4
Q9NPD3	Q9Y3B2
P49841	Q8N4C6
P19387	Q8TD31
P10275	P51532
P10275	Q92922
Q14686	Q9NNW7
Q14686	Q9Y618
P03372	Q15629
Q15596	Q9NNW7
P10276	Q15596
P10276	P12931
P01112	P62304
P43146	Q05397
Q05397	Q92859
O15519	P04637
O15519	Q96J02
P04637	Q96J02
O96017	P30304
P17181	Q96CW1
P11177	Q969Q1
Q16654	Q969Q1
P14618	Q969Q1
P13929	Q969Q1
P11217	Q969Q1
O95997	Q9Y297
P68104	Q8N961
P49427	Q9Y2D1
P35222	Q12923
Q16620	Q9Y4K3
P04629	Q9Y4K3
P10275	Q6AZZ1
Q6AZZ1	Q92993
P00374	Q00987
P00374	P04637
P12004	Q9HAW4
Q9HAW4	Q9UNS1
P12004	Q9UNS1
Q12904	Q9HAU4
O14964	P14784
P51965	P54253
Q13618	Q8N961
P62877	Q8N961
P04053	Q8N961
P04053	Q13618
Q00987	Q9BVP2
P41212	Q8N531
P41212	P63208
Q13618	Q14145
O76081	P09471
Q06190	Q99741
Q06190	Q15257
P07900	P36888
Q00987	Q8IX12
P04637	Q8IX12
Q16531	Q969U6
Q13619	Q969U6
Q92574	Q969U6
P49815	Q969U6
P53350	Q6PGQ7
Q6PGQ7	Q9Y297
Q13616	Q6PGQ7
P63208	Q6PGQ7
O60907	Q13363
O60907	Q9BZK7
P21802	P27986
O75460	Q86TM6
P49841	Q01094
O95409	Q86T96
Q15034	Q8IVU3
Q5GLZ8	Q8IVU3
Q8IVU3	Q9UHD9
Q15034	Q9UHD9
P22392	Q15034
Q15034	Q9UMX0
P22392	Q9UII4
P22392	Q8IVU3
P51617	Q9Y6K9
Q15303	Q96J02
O75832	Q00987
P35240	Q9Y4B6
P35240	Q16531
P35240	Q13619
P35240	Q92963
O43318	Q9NQC7
P11279	P21580
Q02241	Q9NR09
P40818	Q02241
P40818	Q9NR09
P51617	Q8N2H9
Q8N2H9	Q9Y4K3
O43318	Q8N2H9
O43255	Q92667
P28562	Q13309
P28562	P61024
P22681	Q06124
O43293	P61077
P12004	Q14527
P61088	Q14527
Q14527	Q15819
Q14527	Q9NS91
P01871	Q9UBV2
P0DSE1	Q9UBV2
P0DTU3	Q9UBV2
P0DSE1	Q86TM6
P0DTU3	Q86TM6
P01871	Q86TM6
Q68DV7	Q9ULX6
P61289	Q00987
P04637	P61289
P22681	P51668
O14964	P00533
P46934	P60484
P0CG48	Q16186
Q00534	Q9Y3I1
Q92530	Q9Y3I1
Q15011	Q9UMX0
Q15011	Q9UHD9
Q15011	Q9NRR5
P15336	Q8WYK2
P22736	Q16665
P22736	P40337
P05161	Q15019
P0CG48	Q9BYM8
Q9BYM8	Q9BYM8
P05771	Q9BYM8
Q13618	Q53G59
Q53G59	Q92963
Q9NYJ8	Q9Y6R0
Q13546	Q9NYJ8
Q53EL6	Q9Y297
P31749	Q9UNE7
P10636	Q9UNE7
P31749	Q7KZI7
P46934	P46934
P05161	P46934
O95999	Q9Y6K9
Q8IYD8	Q8IYD8
O15360	Q8IYD8
Q0VG06	Q8IYD8
Q8IYD8	Q9HB96
Q8IYD8	Q9NW38
Q8IYD8	Q9BTP7
P24928	P40337
P24928	Q96KS0
P24928	Q9GZT9
Q8IUQ4	Q9NWT6
P23443	P62877
Q96RU7	Q9Y2D1
P67870	Q96RU7
P02751	Q96RU7
P28799	Q96RU7
P01889	Q96RU7
Q8N2S1	Q96RU7
O60318	Q96RU7
Q8IUQ4	Q96RU7
P52758	Q96RU7
P25788	Q96RU7
Q96RU7	Q9BWF3
P08865	Q96RU7
O95411	Q96RU7
P22681	Q9C004
Q92993	Q9BXW9
Q92993	Q96PM5
O60285	Q93008
Q93008	Q96L34
O60260	P10636
O60260	P34932
O75943	P35251
P35251	Q8WVB6
P35250	P35251
P35249	P35251
P35251	P40937
P28482	P33076
P06493	P33076
P27361	P33076
P14625	Q13490
O00560	Q9Y4K3
P04637	P34932
P04637	Q9UNE7
P06732	Q969Q1
P13569	Q9UKV5
Q9BUN8	Q9UKV5
Q9GZP9	Q9UKV5
Q96Q80	Q9UKV5
Q99942	Q9UKV5
P43364	P43364
O43307	Q9HCE7
Q14CW9	Q9Y4A5
O15265	Q14CW9
Q14CW9	Q92830
Q14CW9	Q9UPT9
O75486	Q14CW9
Q12962	Q14CW9
Q9UPT9	Q9Y4A5
O15265	Q9UPT9
Q92830	Q9UPT9
O75486	Q9UPT9
Q12962	Q9UPT9
O15265	Q9Y4A5
O15265	Q92830
O15265	O75486
O15265	Q12962
Q9NPA8	Q9Y4A5
Q92830	Q9NPA8
Q12962	Q9NPA8
Q9NPA8	Q9UPT9
Q14CW9	Q9NPA8
O75529	Q14CW9
O75376	Q86Y13
Q13547	Q86Y13
Q16778	Q86Y13
P04406	Q05397
P09874	Q05397
P04637	Q05397
Q00987	Q05397
P55072	Q92890
P55072	Q9BUN8
