O75144	Q5TFQ8
Q7KZF4	Q9BVT8
O00571	Q9H0S4
O00148	Q9Y2R4
P35968	P49023
P01308	P0DP23
P01308	P0DP24
P01308	P0DP25
P35968	Q13207
Q12873	Q86VY4
Q29980	Q8IYM9
Q29983	Q8IYM9
P04637	Q8N441
Q5SZK8	Q9UN70
P01112	P54646
O60447	Q92609
P01112	Q9H2X6
P21860	P37023
A6NI72	Q9UDY8
Q7Z6Z7	Q9ULD4
Q15771	Q8TC07
P03973	P51124
P40424	Q14774
P01024	Q9NRY4
Q14919	Q9Y294
P11234	Q92737
P49703	Q96D21
Q06187	Q6UXY1
Q6UXY1	Q99469
Q96RF0	Q9Y5K6
O94779	Q15746
O15394	Q99062
P14060	Q8NBQ5
O00233	O43581
O95405	Q9NS61
P00746	Q9UEW3
P19878	Q9UHG0
P08922	Q07912
P22455	Q12866
O75962	Q13470
P04629	Q15772
O96013	Q16512
O43566	Q58EX7
Q13470	Q5JZY3
P01033	Q8WXS8
P00750	Q8WYQ5
Q2QGD7	Q9UKS7
O60307	Q9UL54
O60449	Q9Y5Y7
O75420	Q02643
O95456	Q08495
O15020	Q8NER5
P46531	Q9Y4C8
O15530	O60260
P05771	P20340
O95294	P20936
P28482	P55042
O14807	Q14012
P27361	Q96A58
P08709	P10145
O60939	P78324
Q07444	Q12918
Q15375	Q58EX2
Q13018	Q8NC01
P19256	Q93033
Q07444	Q96GW7
O15197	Q9P232
P36406	Q9Y6B6
Q02388	Q05707
P61088	Q8N2K1
O00506	Q96GD4
Q8N2K1	Q9NPD8
P40259	Q9NZC2
P42224	Q15109
Q13796	Q9BRQ0
P08588	P30518
P01137	Q13761
P13611	Q15465
P24821	Q8WU20
P51965	Q9UKV5
O00213	P28827
P30279	Q13233
Q9C026	Q9H0E7
P60520	Q9NRW1
P00519	Q8IW93
P54274	Q9BT67
P01127	P08887
P43694	P51671
P12757	Q9Y478
O60260	O75689
O94804	P09769
O95976	P25942
P20138	P25942
O94804	P51812
O60285	Q12851
P54762	Q13705
O94804	Q15418
Q15349	Q2M2I8
Q04759	Q5TCX8
O43566	Q6ZV73
P09326	Q8N423
P27361	Q8N4C8
O43566	Q8WXI2
Q2M2I8	Q9UK32
