P19532	Q9H8Y1
P19532	Q13547
P16403	P19532
P10412	P19532
P19532	Q00839
P19532	P22626
P19532	P31946
P19532	P31947
P19532	Q9Y2X3
P19532	Q9NR30
O60506	P19532
O43681	P19532
P16401	P19532
P19532	Q99497
P18077	P19532
P19532	Q9NSC2
P19532	P31943
P06753	P19532
P19532	P62829
P19532	Q9UHB6
P19532	Q0VGL1
P19532	Q16864
O75348	P19532
P19532	Q9C005
P19532	P21283
O76021	P19532
P19532	Q6IAA8
P19532	Q9Y3Y2
P19532	Q14919
P19532	P29692
P19532	Q9NP66
P19532	Q8NC51
P19532	Q9NVP1
P19532	P28838
P19532	Q7Z5Y7
O00567	P19532
P19532	Q9H5V7
P19532	P26641
P19532	Q08752
P19532	P36578
P19532	P27694
P19532	Q7L523
O43504	P19532
P19532	Q9P2Y4
P19532	Q8N2Z9
P19532	P80723
P19532	Q14865
P19532	P23246
P19532	Q15084
P19532	Q8IW19
P19532	P42285
P19532	Q96HS1
P19532	Q9BVA1
P19532	Q9BY77
P19532	Q9Y5K8
P19532	Q96Q42
P19532	Q8N122
P19532	Q9H9A7
O94880	P19532
P19532	Q16891
P19532	P52272
P19532	Q01546
P19532	Q71UI9
P19532	Q9H9B1
P19532	Q8NCY6
P19532	Q02539
P19532	Q02952
P19532	Q9Y2Q5
O60264	P19532
P19532	P52597
P19532	Q9UJQ4
P19532	P61247
P06744	P19532
P19532	P24534
Q06330	Q8IZ40
O60341	Q14469
O94985	Q12840
O14980	P54253
P04843	P54253
P41252	P54253
P54253	Q5JTH9
P54253	P54577
P33240	P54253
P54253	Q15652
P12270	P54253
P51812	P54253
P54253	P55060
P54253	Q99798
P54253	P68133
P12235	P54253
P05141	P54253
P05023	P54253
P16615	P54253
P36542	P54253
P47756	P54253
P54253	P78371
P49368	P54253
P50991	P54253
P54253	Q99832
P50990	P54253
P53621	P54253
P54253	Q14194
P54253	Q16555
O43143	P54253
P54253	Q08211
P54253	Q9H4M9
P54253	Q9NUU7
P09104	P54253
P51114	P54253
P22102	P54253
P51570	P54253
P54253	P63092
P54253	Q5JWF2
O95467	P54253
P54253	P84996
O00178	P54253
P51610	P54253
P19367	P54253
P52789	P54253
P34931	P54253
P54253	P54652
P38646	P54253
P54253	Q13418
P54253	P60228
P54253	Q92945
P13645	P54253
P09382	P54253
P18858	P54253
P49736	P54253
P54253	Q14566
P54253	P55196
P46459	P54253
P13674	P54253
O15460	P54253
P17858	P54253
P35232	P54253
P54253	Q99453
P10644	P54253
P49792	P54253
P46779	P54253
P54253	Q02878
P54253	P62263
P51532	P54253
P54253	Q71RC2
P54253	Q04637
P54253	Q7L014
P37802	P54253
P54253	Q9UHB9
O95433	P54253
P54253	Q13263
O75717	P54253
P42166	P54253
P42167	P54253
P29144	P54253
O43242	P54253
P04350	P54253
P10599	P54253
P54253	P62987
P11172	P54253
P26640	P54253
P45880	P54253
P54253	Q9Y277
P54253	Q96KR1
P49915	P54253
A5YKK6	P54253
P54253	Q96L21
P54253	Q92973
O15405	P54253
O94900	P54253
P46776	P54253
O15523	P54253
P54253	Q9H0E3
P48735	P54253
P54253	Q7Z5L9
P54253	Q6UB35
P54253	P62424
P54253	Q9Y3I0
O95817	P54253
P54253	Q9BVP2
P54253	Q14687
P49321	P54253
P17812	P54253
P54253	Q9Y4C4
P54253	Q15233
P54253	Q9NY65
P54253	Q9UKK9
P54253	Q9UBF2
P54253	Q9Y678
P54253	Q13576
P54253	Q96G74
O15371	P54253
P54253	Q9Y3Z3
P54253	Q9NR30
P54253	P55795
P54253	Q01813
P54253	P60981
O60885	P54253
P54253	Q7Z6Z7
P43490	P54253
P54253	P62829
P54253	P63220
P54253	Q3ZCQ8
P29692	P54253
P54253	Q14C86
P54253	Q8NC51
P54253	P62913
P54253	Q92841
P54253	Q5T4S7
P54253	Q9BZE4
P54253	Q9UKD2
P53618	P54253
O00410	P54253
P54253	Q8IWZ8
P54253	Q96JH7
P54253	Q6W2J9
P23246	P54253
P54253	Q8N1F7
P54253	Q8N1G4
P54253	Q6PKG0
P54253	Q9H0C2
P36776	P54253
P54253	Q8NB16
P54253	Q14008
P54253	Q9UQ35
P54253	Q8WW12
P54253	Q8WVM8
O75746	P54253
P54253	Q96S55
O15427	P54253
P54253	Q02952
P52655	P54253
O60264	P54253
P40939	P54253
P54253	Q14739
O95678	P54253
O60563	P54253
P54253	Q92526
P54253	Q05639
P13929	P54253
O14556	P54253
P54253	Q14344
P02533	P54253
P19012	P54253
P08779	P54253
P13995	P54253
P54253	Q13523
P31948	P54253
P54253	P68366
P09936	P54253
P54253	Q93008
P54253	Q9Y520
O75663	P54253
P51991	P54253
O43432	P54253
P54253	Q9Y6G9
P54253	P98175
A6NHL2	P54253
P54253	Q96QC0
P31947	P54253
P54253	Q9Y2X3
P54253	Q9UKV3
P54253	Q8IX12
P54253	P63151
P54253	Q86XP3
P35580	P54253
O14497	P54253
O00763	P54253
P54253	Q8WUW1
P40616	P54253
P54136	P54253
P54253	Q92499
P54253	Q9H3S7
P54253	Q9P2J5
P54253	Q13242
P54253	Q9BTW9
P54253	Q9P258
P24752	P54253
P54253	Q00341
P11908	P54253
P54253	Q07955
P13804	P54253
P17096	P54253
P49748	P54253
P54253	Q9Y5B9
P54253	P62736
P30566	P54253
P00568	P54253
P54253	Q10567
P54253	Q9BXS5
O94973	P54253
P54253	Q96CW1
P18085	P54253
P54253	P62330
O14983	P54253
P38606	P54253
P21281	P54253
P36543	P54253
P54253	Q9Y4L1
P54253	Q9HB71
P47755	P54253
P54253	P61201
P54253	Q13363
P54253	Q14247
P09622	P54253
P54253	Q14204
P54253	P55039
P54253	Q14152
P27105	P54253
P54253	Q9H9B4
O75494	P54253
P22087	P54253
P07954	P54253
O95347	P54253
P10253	P54253
P17677	P54253
P54253	Q06210
P54253	Q8IYD1
P07305	P54253
P54253	Q7Z4V5
P54253	Q5SSJ5
O75874	P54253
P54253	Q14974
P54253	P56537
P54253	Q9BY32
P54253	Q92888
P07864	P54253
P02545	P54253
O75694	P54253
P54253	Q14498
P25205	P54253
P33991	P54253
P33992	P54253
P33993	P54253
P08195	P54253
P54253	P85037
P51665	P54253
P27816	P54253
P12004	P54253
P00558	P54253
P07205	P54253
P22694	P54253
O75608	P54253
P54253	Q9Y263
P54253	Q9H307
P36873	P54253
P31323	P54253
P54253	P55786
P54253	P62191
P35998	P54253
P54253	P62195
P54253	P61289
P54253	Q9Y383
P54253	Q12792
P51148	P54253
P07998	P54253
P43487	P54253
P46060	P54253
P54253	Q92900
P35250	P54253
P54253	Q15287
P0DPB5	P54253
P0DPB6	P54253
P53999	P54253
P49591	P54253
P54253	Q15436
P54253	P84103
P54253	Q13243
O95470	P54253
P54253	P62995
P53985	P54253
P54253	Q01650
P54253	Q15029
P08621	P54253
P54253	P62314
P54253	Q9Y5M8
P51571	P54253
P54253	P61764
P54253	Q9P2R7
P54253	Q96I99
O00267	P54253
O15056	P54253
P37837	P54253
P48444	P54253
P54253	Q13428
P54253	Q2TB90
P54253	P56192
P54253	Q13200
P54253	Q9Y2Z9
P11388	P54253
P54253	P60174
P02786	P54253
A0A1B0GUS4	P54253
P54253	Q05086
P31930	P54253
P54253	P61758
P23381	P54253
P17861	P54253
P46379	P54253
P54253	Q16629
P42025	P54253
P54253	Q13427
O75534	P54253
P54253	P55084
P54253	Q13155
P31153	P54253
O95373	P54253
P54253	Q9NWB6
P54253	Q16181
P10515	P54253
A6NHQ2	P54253
O15067	P54253
P54253	Q9H1B7
P43686	P54253
P54253	Q9UNM6
P54253	P61221
O95372	P54253
P54253	Q02750
P28066	P54253
P54253	Q9NQX3
P54253	Q9BT78
P54253	Q9HCJ6
O14744	P54253
P54253	Q9UMS4
O94826	P54253
O75369	P54253
P46940	P54253
P54253	Q9Y696
P54253	Q9P0L0
P54253	P62807
P54253	Q13547
P54253	Q9BW27
O60488	P54253
P54253	Q8IYB3
P54253	Q96HQ2
P54253	P61619
O95218	P54253
P54253	Q14444
P54253	Q16740
P54253	Q9UBB4
P54253	Q8TA86
O60763	P54253
P54253	Q8IY81
P54253	Q96PK6
O60884	P54253
P54253	P63167
P54253	Q969G3
P54253	Q15050
O00487	P54253
O14579	P54253
P54253	P57721
P54253	Q96QK1
P54253	Q9BPU6
P54253	Q9Y3B4
P54253	Q9UDW1
O95336	P54253
P54253	Q9C005
O76021	P54253
P54253	Q9Y285
P54253	Q9UJZ1
P47985	P54253
P54253	Q9Y6E2
P54253	Q9NVP1
P54253	Q9NQ29
O00232	P54253
P54253	P55809
P22234	P54253
P54253	P62333
O00567	P54253
P54253	Q5GLZ8
P54253	Q15059
P54253	Q14558
P54253	Q12905
P54253	Q8TDN6
P50213	P54253
P54253	Q9BU76
P54253	Q15181
P54253	Q12931
O75934	P54253
P11177	P54253
P27694	P54253
P54253	Q5T6F2
P09661	P54253
P54253	Q99848
O94979	P54253
P54253	Q13561
P54253	Q9H6Z4
P54253	Q86VP6
P54253	Q15417
P54253	Q14019
P54253	Q9NZN8
P42704	P54253
P54253	Q96HS1
P54253	Q9NYF8
P54253	Q8NCA5
P54253	Q9BVA1
P54253	Q9BY77
O00429	P54253
P54253	P61158
P09497	P54253
P54253	Q16822
O15144	P54253
P54253	Q13151
P36957	P54253
P54253	P82930
P54253	Q15046
P50993	P54253
P54253	Q9H0A0
P54253	Q9BYN8
P54253	Q6NYC1
P54253	Q9NVI7
P35659	P54253
P06737	P54253
P54253	Q8IZP0
O00299	P54253
P35609	P54253
P54253	Q08043
O00203	P54253
P54253	Q9BZZ5
P54253	P84077
P54253	P84085
P54253	Q14137
P19784	P54253
P26358	P54253
P50402	P54253
P25440	P54253
O94808	P54253
P09429	P54253
P54253	Q99873
P54253	Q8IZ69
P26378	P54253
P54253	Q04695
P08727	P54253
P54253	Q14532
P20700	P54253
O43795	P54253
O00159	P54253
P54253	Q9Y4I1
P54253	Q15154
O75340	P54253
P54253	P55036
P54253	Q06323
P20340	P54253
P54253	Q7Z6E9
P54253	P63162
O15260	P54253
P54253	Q92615
P54253	Q8N163
P54253	Q6PD62
P22314	P54253
P54253	Q86Y46
P54253	Q99543
O75175	P54253
P54253	Q86YP4
P54253	Q6P2E9
P54253	Q8WVC0
P54253	Q9ULV4
O94776	P54253
P54253	Q14683
P54253	Q12962
O94905	P54253
P54253	Q16576
O60568	P54253
O95819	P54253
P54253	Q9GZR7
P54253	P58876
O75643	P54253
P54253	Q9Y5L0
P54253	P61163
P54253	Q8N7H5
P54253	Q13257
O60506	P54253
P54253	Q9Y6C9
O95864	P54253
P49207	P54253
P54253	Q8IUE6
P54253	Q66PJ3
P54253	Q16795
P54253	P82909
P54253	Q9UNQ2
P54253	Q15008
P54253	P61160
P54253	Q96IZ7
P49756	P54253
P54253	Q8N5F7
P21912	P54253
O60749	P54253
P54253	P57088
O15042	P54253
P54253	Q52LJ0
P54253	Q14004
P54253	Q96EP5
P54253	Q9UJV9
A6NHR9	P54253
P54253	Q86VM9
P54253	Q8N8E3
P54253	Q7Z2W4
P54253	Q9P2E9
P54253	Q9BXP5
P28370	P54253
P26583	P54253
P11362	Q9UPT6
P83111	Q13501
Q13501	Q6P1Q0
P62263	Q13501
Q13501	Q96I99
P53597	Q13501
Q13501	Q9NZ01
Q13501	Q9BYC5
P51571	Q13501
P05455	Q13501
Q13501	Q9Y265
P48431	Q8IZ40
Q8IZ40	Q96JM7
Q8IZ40	Q9UHJ3
Q71U36	Q9BY11
Q71U36	Q9UNF0
Q71U36	Q9UKS6
P23258	Q9BY11
P23258	Q9UNF0
P23258	Q9UKS6
P07199	Q9Y272
Q99962	Q9Y272
Q9Y272	Q9Y5B9
Q13625	Q9Y272
Q04917	Q9Y272
P31483	Q96HN2
P09429	P31483
P31483	P62140
P18124	P31483
P14678	P31483
P31483	P80404
P24752	P31483
P31483	Q99798
O00154	P31483
O43707	P31483
P09972	P31483
O95782	P31483
O94973	P31483
P31483	P63010
P14415	P31483
P31483	Q93050
P31483	P38606
P31483	Q9UI12
P00918	P31483
P31483	Q7Z7K6
P09496	P31483
P31483	Q13363
P17844	P31483
P31483	Q14195
P31483	P60842
P17174	P31483
P06744	P31483
P10412	P31483
P31483	Q86YM7
P31483	P38646
P31483	P50213
P31483	Q16891
P31483	Q02750
P31483	P40925
P31483	P40926
P31483	Q16653
O75489	P31483
P31483	Q96FW1
P31483	Q9BY11
P22061	P31483
P11177	P31483
P30101	P31483
P08237	P31483
P31483	Q99623
P31483	P48426
P14618	P31483
P17612	P31483
P22694	P31483
P31483	Q00577
P31483	P61106
P20339	P31483
P31483	P51148
P26373	P31483
P31483	P62701
P31483	Q8IXJ6
P31483	P43004
O75746	P31483
P31483	Q9H936
P31483	Q9P2R7
P31483	P53597
P04216	P31483
O94811	P31483
P0CG48	P31483
P31483	P31930
P21796	P31483
P31483	P35611
P31483	P35612
P31483	P49418
P16615	P31483
P23634	P31483
P31483	Q8NCB2
P09497	P31483
P31483	Q00610
P31146	P31483
P31483	Q16630
P31483	Q14894
P31483	P35222
P31483	Q92841
P10515	P31483
P09622	P31483
O43491	P31483
P31483	Q16658
O75323	P31483
P31483	Q9Y2T3
P19086	P31483
P31483	Q14789
P31483	P43304
P31483	Q7Z4V5
P00492	P31483
P31483	Q92743
O43837	P31483
P26440	P31483
O43813	P31483
P28838	P31483
P31483	Q96AG4
P31483	Q96JE9
P28482	P31483
P31483	Q9H2W6
E9PAV3	P31483
P31483	Q13765
O75306	P31483
P31483	P49821
P31483	Q9BPW8
P31483	P55786
P31483	Q13442
O00764	P31483
P31483	Q01813
P31483	Q9C0D0
P31483	Q92561
P31483	Q13492
P31483	Q8TBX8
P05771	P31483
P31483	Q02156
P05129	P31483
O43242	P31483
P25789	P31483
P31483	P48556
P31483	Q96I25
P31483	Q9Y2J0
P31483	P62906
P31483	Q02878
P31483	Q9Y512
P31483	P49591
P31483	Q14141
P31483	Q9BWM7
P31483	Q9P2U7
P31483	Q6U841
P31483	P60880
P31483	P61266
P26368	P31483
P06396	P31483
P31483	P43490
P19484	Q92830
P19532	Q92830
Q13126	Q9UQF2
O15055	Q00535
P10636	P15121
P06744	P10636
P00492	P10636
P00156	P10636
P00918	P10636
P00403	P10636
P10636	P61160
P10636	Q93050
P10636	Q01518
P10636	Q12860
P10636	Q16643
O94905	P10636
P10636	P13804
P10636	P31150
P10636	P29992
O14775	P10636
P0C0S5	P10636
P10636	P62805
P10636	Q86YM7
P10636	P50213
P10636	P20916
P10636	Q9UI09
O95168	P10636
O75251	P10636
P10636	P49821
P10636	P55809
P10636	Q15366
P05166	P10636
P10636	P11177
F7VJQ1	P10636
P10636	P60900
P10636	Q9BQI5
P10636	P62314
P04179	P10636
P10636	Q13247
P10636	Q16623
P10636	P29401
O75083	P10636
P00558	P10636
P10636	P35232
P10636	P24539
P10636	Q14141
P10636	P36543
P10636	P43304
P10636	P42765
P10636	Q9BRQ6
P10636	Q96F85
