O96020	Q8IZT6
P02462	P29558
P02647	P02760
P02671	P38435
P03372	P63167
P04040	P07437
P04150	P04792
P04637	Q9Y623
P04637	Q9Y6E0
P04899	P35625
P05067	Q9UKE5
P06241	Q9NQU5
P06454	P16104
P07148	P21549
P07196	P32004
P07288	P49407
P07814	P51948
P07900	Q03933
P07910	P40818
P08069	Q9UJF2
P08237	Q00872
P08253	P13500
P08779	Q9NUC0
P08922	Q9H3Y6
P09874	Q8IUC6
P10124	Q8NHL6
P10827	Q06455
P10911	Q86TP1
P11171	Q05586
P11388	P42695
P11532	P32418
P12830	Q9UJX2
P12883	Q9Y316
P13500	P52630
P13796	Q01518
P14174	P36507
P14373	Q9UIS9
P14416	P17677
P14854	Q99497
P14923	Q13263
P15374	Q93034
P15498	Q86VW2
P15514	P22681
P16220	P51946
P16220	Q08999
P16519	Q92561
P16615	Q9NS68
P17066	P63244
P17252	Q9NR80
P18428	P24855
P18615	Q9BZK7
P18621	P30154
P18847	Q14103
P19022	Q9UJU2
P19235	P46527
P19419	Q9Y6B2
P19525	Q92985
P19544	P78317
P19838	Q06455
P21453	P49798
P21918	Q5JST6
P22061	P61619
P0DMS8	P22732
P0DMS9	P22732
P23246	Q969G3
P24864	Q8N2W9
P25445	P35659
P25490	P32519
P26640	P46783
P27348	Q99996
P27361	Q13153
P27708	P67809
P28702	Q5H9L2
P29374	Q8N108
P29376	Q92918
P29508	Q9P035
P30291	Q07002
P31358	P61073
P31749	Q9P2B4
P31995	Q8N4C8
P32942	Q16644
P33151	Q15910
P33316	P49642
P33316	Q9NS73
P33981	Q01094
P34931	Q92793
P34931	Q9ULX6
P35070	Q9BRG2
P35555	Q9NRA1
P35579	Q7Z4F1
P36382	Q07157
P36575	P62805
P36955	Q12884
P36956	Q96HA1
P37173	Q12933
P38398	Q9UBK2
P40227	P46782
P40227	P62306
P40763	Q99650
P40763	Q9Y6B2
P41220	P63261
P41273	Q13546
P42261	Q15746
P42345	P54253
P42766	Q12851
P43246	Q16537
P46527	Q86Y07
P46782	Q9Y4K3
P48023	P52735
P48023	Q9UKL3
P49407	P53350
P49768	Q13323
P49840	Q14194
P51532	P51587
P51805	Q86U70
P52292	Q06609
P53990	Q8N1L9
P55212	Q9NR28
P57059	Q5SW79
P60520	Q96NL1
P60660	Q7Z2W4
P62081	Q13885
P78559	Q3T906
P98160	Q12841
Q14209	Q96GD4
Q14247	Q9NRF2
Q14406	Q8NFZ8
Q14934	Q9UQL6
Q16512	Q9NX63
Q16891	Q9UNL2
Q2LD37	Q9NR56
Q5T1R4	Q9NVF7
Q5VWQ8	Q9UBV2
Q70YC5	Q9NTI2
Q8IWT3	Q9ULJ6
O00167	P25116
Q8N1N0	Q9NX95
Q8NCB2	Q8TAC9
O00291	Q13158
Q8WWQ0	Q9C0C7
Q92973	Q96M27
Q96BH1	Q96RU7
Q96NL1	Q9GZQ8
Q96S96	Q9UHA4
O14544	P29597
O14757	Q9NSP4
O14933	Q9Y4K3
O15111	Q14257
O15523	Q9Y2T4
O15553	P51668
O43491	O75592
O43684	Q9H3N1
O43749	O75460
O60635	P48509
O60674	P05783
O75362	Q969S8
O75493	Q9Y3C5
O75628	Q5SW79
O75674	P05787
O75771	Q12888
O75815	P13866
O95229	Q14186
P01374	Q13077
P01567	P21918
P02008	P78329
P02786	P60660
P07550	P23467
P09564	P10747
P12755	P17096
P13647	Q9NUC0
P14317	P18846
P16152	P46781
P20036	Q9H3G5
P20827	P98172
P23246	Q14004
P26367	Q13127
P26842	P41279
P27694	Q96S55
P27824	Q13797
P30536	P35318
P31321	Q99417
P35222	Q13315
P38398	Q05639
P39748	Q96S55
P40337	Q96ST3
P42224	Q09028
P42224	Q9Y3P8
P46778	Q13428
P49411	Q8IUF1
P49715	Q92922
P51946	Q00839
P55854	Q15047
P61758	Q12959
P63104	P63279
P63279	Q16644
P78317	Q15788
P83731	Q8IX90
P99999	Q9UQ13
Q02156	Q14957
Q04323	Q96JK2
Q04917	Q9UDY4
Q06187	Q6PIZ9
Q07889	Q13574
Q13177	Q9HAV0
Q13216	Q5H9S7
Q13547	Q9BVP2
Q13617	Q9BZH6
Q14201	Q96N03
Q14832	Q9Y6Y1
Q15293	Q96K80
Q15366	Q96G74
Q16513	Q96T58
Q53GL7	Q8TCG1
Q5JSZ5	Q9H7H0
Q6VMQ6	Q9Y316
Q70CQ2	Q92802
Q8IXH6	Q9UPU7
Q8N4C8	Q9UQ26
Q96BY2	Q9NY72
O00459	O14939
Q96G74	Q9NWF9
Q96K80	Q9NRX4
Q9H0B6	Q9Y6K9
Q9H7H0	Q9NX95
Q9H9D4	Q9NPD3
Q9NR12	Q9Y5P3
Q9NZM5	Q9Y262
Q9UNN4	Q9Y6Q2
O14735	Q6AI08
O15085	Q9UQB8
O15155	P56962
O15455	P00533
O43318	Q01638
O43541	Q16665
O60238	Q15257
O75030	P52926
O75167	Q9H9L3
O75376	P43354
O75781	Q9BRR3
A6NCE7	Q9NX00
O95477	Q12824
P00747	P19823
P01033	P01100
P01303	Q9UPV7
P07197	Q96KR1
P09619	P17302
P09923	P17301
P10275	P36873
P10914	P55774
P11142	P13010
P11182	Q9BYX7
P12236	P49411
P12931	P20226
P14136	P22303
P15172	Q02880
P18206	Q9Y4G6
P18545	P48736
P19174	P61981
P21333	P30556
P22303	P78352
P25105	Q13268
P25774	P43235
P26038	Q00994
P26583	Q96R06
P27361	P41743
P27708	Q96CV9
P29353	Q14686
P29460	Q00610
P30307	Q04759
P31749	P35968
P31749	Q9Y463
P32121	Q00537
P37840	Q02153
P39656	P43003
P41217	Q6Q8B3
P50990	Q99683
P50993	Q9UQ16
P51168	Q969W9
P51571	P53675
P51587	Q92560
P51946	Q08945
P51959	Q8N9N5
P52429	P84090
P52429	Q99683
P52564	Q13233
P52907	Q9Y265
P53355	Q86Z02
P53675	Q13546
P54259	Q9P2P5
P54274	Q06187
P55060	Q9ULW0
P55064	Q15475
P55081	Q9H4L5
P55083	Q15113
P55273	Q01196
P55795	Q9UKM9
P55884	Q13057
P56693	P78317
P58753	Q5XLA6
P58753	Q9HAV5
P60953	Q9BRR9
P61158	Q13177
P61201	Q13352
P61289	Q15185
P61619	Q2Y0W8
P61764	Q14894
P61803	Q13794
P61964	Q12962
P61981	Q00994
P61981	Q07817
P61981	Q8IUE6
P0DP23	Q92889
P0DP24	Q92889
P0DP25	Q92889
P0DP23	Q969G3
P0DP24	Q969G3
P0DP25	Q969G3
P0DP23	Q96L73
P0DP24	Q96L73
P0DP25	Q96L73
P62253	Q969T4
P62258	Q9UQF2
P62304	Q13185
P62851	Q7L2H7
P63010	Q9Y2T2
P63027	Q9UPY8
P63104	Q00005
P63165	P68104
P63165	Q96A56
P63208	Q96PM5
P63261	Q9ULX6
P68036	Q00535
P68400	Q9Y5N6
P78371	Q5MIZ7
P78413	Q99743
P78527	Q9ULX6
P78536	P98170
P78559	Q9NQW7
P81133	Q9Y618
P81605	Q6NZY4
P81605	Q9Y4B5
P82251	Q15303
P83881	Q00653
P98077	Q14289
Q00005	Q99966
Q00341	Q4VXU2
Q00403	Q9UBE8
Q00535	Q15717
Q00577	Q92466
Q00653	Q8IWZ3
Q00839	Q15906
Q01130	Q15233
Q01638	Q15399
Q01968	Q96QF0
Q03112	Q13950
Q04206	Q8NBZ0
Q04864	Q6VAB6
Q04864	Q9UBN7
Q05397	Q9NX09
Q05397	Q9UKX5
Q05682	Q14192
Q06033	Q96IY4
Q06124	Q9ULZ2
Q07666	Q9P1A6
Q07955	Q13952
Q07955	Q9NS56
Q08380	Q9H0J9
Q09161	Q99613
Q09472	Q13136
Q09472	Q76KD6
Q09472	Q96EP1
Q12778	Q13418
Q12830	Q15059
Q12948	Q8N474
Q13094	Q9HBG7
Q13105	Q96T76
Q13177	Q14240
Q13227	Q969R5
Q13233	Q9UGK3
Q13257	Q71UM5
Q13257	Q8NBT2
Q13257	Q9H9A7
Q13367	Q16849
Q13387	Q5SW96
Q13393	Q8IYI6
Q13404	Q92985
Q13489	Q93038
Q13523	Q13557
Q13547	Q9NRP7
Q13616	Q9NY61
Q13618	Q8IWV8
Q13950	Q6IB77
Q14012	Q15700
Q14155	Q15796
Q14192	Q15678
Q14201	Q86UW1
Q14204	Q9UM54
Q14289	Q9H0H5
Q14498	Q15796
Q14498	Q92575
Q14566	Q6IE81
Q14566	Q8WYB5
Q14847	Q15013
Q14978	Q96RS0
Q15021	Q53EZ4
Q15058	Q9Y242
Q15059	Q58F21
Q15059	Q8TCG1
Q15121	Q9NZH0
Q15329	Q9BUH8
Q15427	Q92530
Q15438	Q5T5U3
Q15596	Q9Y2X7
Q15773	Q96FW1
Q15796	Q7Z2E3
Q16478	Q96A65
Q16514	Q8WYK2
Q16539	Q5T230
Q16643	Q9UIA9
Q16658	Q9H5V8
Q2LD37	Q9HCS4
Q32P44	Q8NEM2
Q3T906	Q9UBB9
Q59EK9	Q9Y2H2
Q5JSZ5	Q86UW1
Q5JSZ5	Q8N1N0
Q5JSZ5	Q96MN9
Q5SW79	Q9BZJ0
Q5U651	Q7Z569
Q5VT25	Q9UKI2
Q5VTL8	Q7Z401
B3KU38	Q5VUB5
P0DPB3	Q5VUB5
Q5VWQ8	Q92851
Q5VWX1	Q92804
Q68CZ2	Q9H6Q3
Q6DT37	Q92558
Q6NZY4	Q96RF1
Q6VMQ6	Q9GZN7
Q6ZRS2	Q99626
Q6ZW49	Q9BXC9
Q71UI9	Q9NR56
Q7L590	Q96H20
Q7Z434	Q9UDY8
Q7Z460	Q8ND76
Q7Z4V5	Q9Y657
Q7Z7G1	Q9UQQ2
Q86T24	Q92828
Q86T65	Q9UQB3
Q86UL8	Q96J02
Q86UW1	Q8N1L9
Q86UW1	Q8N684
Q86UW1	Q8WWM7
Q86UW1	Q9NX95
Q86VZ2	Q9NPJ4
Q8IUD2	Q8IWJ2
Q8IWZ3	Q8IYX8
Q8IXM2	Q9H160
O00141	Q9HBW0
O00151	Q16512
Q8IYM9	Q93091
Q8IZV2	Q92870
Q8N1L9	Q96N03
Q8N2Q7	Q9Y698
Q8N474	Q9C040
Q8N4L8	Q9UBB9
Q8N4L8	Q9Y496
Q8NAA4	Q9BYX4
Q8NCG5	Q9HAS3
O00206	Q13568
O00213	Q9H4I2
O00233	Q99436
O00299	Q14764
O00299	Q7Z4F1
O00300	O95150
Q8NHQ1	Q96RS0
Q8NHQ8	Q9UPU9
Q8NHY2	Q8WYH8
Q8TAC9	Q9NY72
Q8TC59	Q96RT6
Q8TEL6	Q9UBW8
Q8TF05	Q8TF61
Q8TF05	Q99784
Q8TF05	Q9H0D6
Q8WUM4	Q9H788
Q8WWM7	Q9NRX4
Q8WWM7	Q9UBD0
Q8WWW0	Q969V5
Q8WXI9	Q9BQA5
Q92522	Q9H3K6
Q92585	Q96RK1
Q92585	Q9UNL4
Q92783	Q96CF2
Q92793	Q9UM07
Q92843	Q96FJ2
Q92845	Q96FF9
Q92904	Q9NR90
Q93009	Q9Y6R4
O00327	O43290
O00418	Q9HC98
O00458	P06400
O00459	Q96EY1
O00471	O43150
Q96CQ1	Q9UBW7
Q96EF0	Q9Y2I2
Q96FV9	Q9Y6B2
Q96JN2	Q9GZN7
Q96K80	Q9H7H0
Q96K80	Q9UBD0
Q96KQ4	Q9P2Q2
Q96N03	Q9NX95
Q96PM5	Q9Y6X2
Q96RK0	Q9Y2K5
Q96RU7	Q9Y572
Q99784	Q9Y6A2
Q99801	Q9NYV7
Q99829	Q9Y312
Q99884	Q9NRD5
Q99962	Q9ULW6
Q9BTV5	Q9NZ53
Q9BWQ8	Q9UM19
Q9BZJ0	Q9Y316
Q9C019	Q9Y2P0
Q9C026	Q9UBS5
O00487	O14530
O00487	Q9BSL1
O00560	Q07954
O00560	Q92963
O00571	Q13118
O00591	Q9H165
O00754	P17693
Q9GZZ7	Q9P0X4
Q9H1D9	Q9Y5Q9
Q9H1K0	Q9ULM2
Q9H269	Q9NZ52
Q9H4A3	Q9Y6K9
Q9H869	Q9Y4B4
Q9H9L3	Q9ULD4
Q9HAU0	Q9Y6R0
Q9HBH7	Q9Y4J8
Q9NR48	Q9Y5Y9
Q9NX63	Q9Y291
Q9NZL4	Q9UL15
Q9NZU7	Q9Y6N8
Q9UIB8	Q9Y278
Q9ULZ3	Q9Y371
O00762	Q6PL18
O00763	P54619
O14490	Q07666
O14511	P62993
O14641	Q14192
O14654	Q13177
O14709	O95813
O14709	Q8TEY7
O14709	Q9H7U1
O14713	O60494
O14757	P11831
O14757	P45983
O14782	P10636
O14782	P49418
O14782	Q8WY54
O14810	Q9Y3C0
O14829	Q14012
O14836	Q14164
O14920	P11940
O14920	Q12851
O14931	O60880
O14939	P53671
O14974	Q9H0C8
O15020	Q9Y281
O15056	Q13009
O15085	Q13464
O15111	P48729
O15111	P50750
O15111	P62942
O15111	Q9Y3R0
O15144	O60610
O15151	P12830
O15151	Q15648
O15169	Q9P0N9
O15197	P00533
O15211	Q7Z569
O15212	O43175
O15212	Q96EY1
O15212	Q9ULV4
O15294	Q92922
O15321	Q96NL1
O15379	Q13107
O15392	P03372
O15399	O43424
O15524	P09769
O15530	P38398
O15554	P51911
O43143	P61077
O43295	Q7Z6B7
O43304	Q9GZK3
O43318	P15056
O43318	Q9UBT7
O43491	Q92625
O43504	Q92793
O43521	Q92905
O43524	Q9BPZ7
O43570	Q9BYJ1
O43592	P31943
O43592	P41250
O43592	Q99832
O43593	O95571
O43639	Q13905
O43665	P50052
O43684	Q15041
O43752	P09564
O43896	O95232
O43924	Q9BTW9
O60216	Q96T23
O60216	Q99996
O60229	Q9UPW5
O60237	P29536
O60248	P21918
O60260	Q99933
O60268	Q92581
O60271	Q00653
O60282	Q16653
O60307	Q13554
O60346	P42858
O60493	P29353
O60500	Q9NZQ3
O60563	P51532
O60573	O95182
O60603	P78552
O60641	Q9P286
O60762	P46063
O60832	P62314
O60885	O75164
O60925	Q9UBK9
O75061	Q9H169
O75112	P09923
O75122	Q92558
O75145	P10242
O75159	Q969Z0
O75182	Q9BY41
A5PLL7	Q13404
O75363	Q9NQX3
O75376	P23246
O75376	Q08117
O75444	P38936
O75474	Q96G01
O75554	P38432
O75554	Q13702
O75586	Q9UGN5
O75604	P06703
O75688	P53778
O75711	P13591
O75794	P33552
O75815	P35070
O75822	Q6UXB4
O75845	P49755
O75909	P30305
O75925	Q9Y265
O75969	P27815
O76064	Q9BX63
O76082	P13569
O76096	P31146
O94769	Q14112
O94804	P15153
O94829	P04637
O94850	P46459
O94967	Q96BY2
O94979	P48444
O95071	Q08211
O95139	P15954
O95232	P55786
O95297	Q9ULV8
O95347	Q7RTV3
O95402	P38398
O95405	Q15836
O95411	P09327
O95477	Q14344
O95478	Q99590
O95551	Q96CX2
O95613	Q9Y4K3
O95619	P51531
O95704	P56817
O95751	P56545
O95777	P62318
O95816	P18621
O95886	P27816
O95967	Q09013
O95970	Q14114
O95983	P15531
O95997	Q562F6
O96018	Q9P2D7
P00367	P05186
P00505	Q9BYX4
P00519	Q9H0H5
P00519	Q9UPY8
P00519	Q9Y371
P00747	P07477
P01023	P56817
P01033	P28799
P01106	P23443
P01241	P23467
P0DML2	Q9GZK3
P0DML3	Q9GZK3
P01308	Q9Y468
P01567	Q9NYV7
P01570	Q16288
P01583	P04637
P01730	P13236
P02533	Q8IX01
P02533	Q96RF1
P02533	Q9NUC0
P02654	Q9Y4G6
P02671	P07359
P02753	Q15848
P02760	P05062
P02774	Q96M96
P02787	Q15027
P03372	Q92784
P04049	Q16288
P04083	P07948
P04183	Q9NPD8
P04233	Q14242
P04632	Q13489
P04632	Q9Y5V3
P04637	Q15256
P04637	Q8N448
P05106	Q8WYR1
P05231	P46695
P05386	P62330
P05386	Q01201
P05408	Q59EK9
P05408	Q9BZQ4
P05412	P32455
P05412	P51946
P05412	P63208
P05976	P17540
P06239	Q13164
P06239	Q96JZ2
P06241	Q13951
P06454	Q00987
P06493	Q09161
P06729	P25445
P06744	P18669
P06753	Q9UHD2
P07196	Q13951
P07197	Q9UQM7
P07204	P07996
P07339	P30273
P07355	P51159
P07437	P29460
P07814	Q9HAV0
P07900	Q00325
P08047	P62136
P08047	Q8IY57
P08047	Q93009
P08100	P29590
P08100	Q9NRC1
P08133	Q92636
P08235	P12931
P08235	Q04917
P08514	P60763
P08575	P21860
P08581	Q9Y2R2
P08621	P23511
P08637	P09326
P08637	P42224
P08670	P17936
P08670	P42704
P08865	P60228
P09001	Q14677
P09326	P52566
P09619	P11047
P09923	Q96CA5
P10124	P26447
P10163	Q6IB77
P10275	P35221
P10275	Q6ZNA4
P10586	P23469
P10636	Q02241
P10809	P49815
P10809	Q14684
P11021	Q07666
P11021	Q16851
P11021	Q9Y6R4
P11142	Q9BQA1
P11166	Q92481
P11274	Q8WX92
P11465	Q00889
P11712	Q9NZP6
P11940	Q01201
P11940	Q13547
P12110	P48061
P12318	P23497
P12883	Q9Y3P9
P12931	P35269
P12931	Q14974
P13056	P38398
P13498	P53634
P13500	P14780
P13569	Q96QU8
P13693	P27635
P13987	Q9GZY6
P14317	P17050
P14317	P17931
P14317	P56945
P14678	Q13263
P14784	Q13501
P14859	P27986
P14859	P33993
P14868	Q9Y5K6
P15056	P49760
P15169	P23975
P15311	Q92888
P15336	Q92966
P15336	Q9ULK4
P15407	Q86XI8
P15498	Q15438
P15884	P27540
P15884	Q16666
P15923	P25208
P15923	P61968
P0DP23	P15924
P0DP24	P15924
P0DP25	P15924
P15976	Q01844
P16109	P26436
P16144	P29350
P16220	Q16594
P16220	Q9Y4K3
P16234	P35241
P16284	Q16665
P16452	Q03431
P16871	Q9P0V8
P17038	Q14593
P17252	P52565
P17600	Q92686
P17676	P34931
P17677	Q69YW2
P17677	Q9HD67
P17858	P20333
P18031	Q12929
P18433	Q8NEB9
P18615	Q96T58
P18827	Q12873
P18887	Q8TDN4
P19086	Q13387
P19105	P52732
P19174	Q14161
P19544	P78362
P19544	Q15796
P19623	P52565
P19784	Q9Y6K9
P19838	Q53EL6
P20248	Q9UJA3
P20265	Q14814
P20340	P49841
P20700	Q13077
P20916	Q8N126
P21333	P62899
P21333	Q9UPX8
P21554	Q99418
P21583	P42679
P21810	P39060
P21860	Q15262
P22314	Q969T9
P22681	Q9H0M0
P22692	P35442
P22736	Q96A56
P23025	Q9H6T3
P23142	Q08397
P23229	Q03167
P23458	P46527
P23458	Q8WWW8
P23468	P23515
P23468	Q5VUB5
P23528	P31947
P23528	Q93009
P24522	Q99640
P24534	P47897
P24592	P36955
P24928	Q15427
P25774	Q16617
P25963	P55084
P25963	Q96RU7
P25963	Q9UJF2
P26358	Q15906
P26358	Q9Y618
P26373	Q15758
P27348	P36402
P27348	Q06330
P27361	Q8TAE8
P27694	Q99798
P27694	Q9UNL4
P27708	P40222
P27708	Q9NY65
P27986	P46937
P27986	Q03164
P28065	P41226
P28482	P98175
P29034	P31151
P29323	Q13239
P29376	Q9H3Y6
P29590	Q05397
P29692	P62857
P29692	P84095
P30153	Q9H0R3
P30273	Q96HP8
P30304	Q99618
P30305	Q9GZM8
P30518	Q9NRR5
P30876	Q92922
P31415	Q14093
P31749	Q9Y5V3
P31947	Q7L804
P31949	Q15208
P33316	Q9H900
P33993	Q9BW19
P34931	P51532
P34931	Q13576
P35221	P49757
P35222	P41161
P35249	Q8WZ19
P35268	Q9Y6K9
P35573	Q96JI7
P36542	P42566
P36575	Q13554
P37275	Q8WX93
P38646	Q13576
P38936	P42858
P38936	Q92922
P38936	Q9BVP2
P40189	Q13882
P40222	Q9UMW8
P41161	Q08117
P41235	Q96L91
P42229	P48431
P42566	Q9UQE7
P42685	Q16832
P42766	Q9UL15
P42858	P51532
P42858	Q96RK0
P43403	P49023
P43686	P50613
P43694	Q15532
P45983	Q13952
P45983	Q9UM63
P46531	Q13490
P46778	Q02539
P46937	Q9UGU0
P47928	Q16513
P48023	Q9Y6Q6
P48051	Q96PE1
P48443	Q92831
P48729	Q13625
P48736	Q13163
P48736	Q9UM73
P49137	Q13418
P49411	Q6AI08
P49418	P84077
P49454	Q13398
P49458	Q9UN86
P49458	Q9UQN3
P49662	Q9BYP7
P49760	Q8NEB9
P49760	Q92538
P49792	Q9HAV4
P49810	Q9BYP7
P49841	Q12888
P49918	Q96EB6
P50150	Q13368
P51587	Q15645
P0DPH7	P51692
P0DPH8	P51692
P53539	Q15744
P53990	Q9Y4B4
P61244	Q15059
P62070	Q15223
P62258	Q9BYG5
P62736	Q9Y613
P62829	Q92598
P62987	Q15758
P67809	Q15424
P81605	Q8WVK7
Q00653	Q9UHI6
Q09028	Q15759
Q13087	Q9H5I1
Q13131	Q13177
Q13163	Q92600
Q13233	Q9H0F6
Q14500	Q99767
Q14738	Q16539
Q16620	Q9C040
Q16665	Q7LG56
Q7LG56	Q96A56
Q8IUF1	Q9P035
O00141	Q9H0R8
Q8IYU8	Q9Y6B2
Q8N4L8	Q96JN2
Q92522	Q9NZI8
Q92624	Q9Y3C5
Q92870	Q969Z0
O00422	P03372
O00458	P16333
Q96HA1	Q99700
Q9HA38	Q9ULX6
O14508	Q12913
O14525	Q9UBS5
O14974	P62258
O15169	P51965
O15519	Q96P48
O43172	P41252
O43353	P36873
O43541	P32121
O43592	O96019
O43707	P98161
O43819	P62136
O75436	P42566
O94915	Q9UBB9
O95376	Q9UPN3
O95714	P78559
O95997	P33993
P00533	Q9BQD3
P0DML2	P20273
P0DML3	P20273
P04150	P05141
P04626	P51681
P04632	P16333
P05067	Q13950
P05814	P36575
P08048	P22090
P08235	Q6ZU52
P10721	P15529
P12004	P17987
P12034	Q15784
P12931	Q15831
P13861	Q96EV8
P14317	Q9UKV3
P15498	Q6PKX4
P15586	P31994
P17252	Q13043
P18084	P61981
P19397	Q9NY15
P20810	Q96RL7
P24522	Q08050
P27708	P30566
P28482	Q08209
P30305	P32121
P35080	Q13011
P39880	P51532
P42336	Q13283
P43307	Q8NBS9
P46778	P52429
P49336	Q15369
P50453	Q07820
P51451	Q9BX66
P51693	P55212
P60709	Q9H0M0
P61289	Q9Y297
P62328	Q99759
P81605	Q96BD8
P84090	Q13428
Q03426	Q96FC9
Q10570	Q9BTY7
Q13131	Q13153
Q13330	Q9H3D4
Q13950	Q99801
Q14500	Q9UHC3
Q58WW2	Q5H9S7
Q5TAQ9	Q8NFT6
Q6PGP7	Q7Z478
Q7Z434	Q8N2H9
Q8IYH5	Q9Y222
Q8N1L9	Q9H7H0
Q8TEX9	Q9UKI8
Q8WWM7	Q9H7H0
Q96D09	Q9NX55
Q99767	Q9NUP9
Q9UQB3	Q9Y6A2
O14641	Q09472
O14879	Q16553
O15042	O94822
O15111	P19174
O15151	P61254
O15360	P19838
O15514	P23193
O15551	P78369
O43290	Q06609
O43474	Q03112
O43557	P07947
O43915	Q9NRA1
O60733	P51582
O75081	Q14005
O75319	O95487
O94921	Q9UBQ5
O95236	P29466
O95373	Q9NTJ3
O95405	Q15797
O95600	Q14526
O95972	Q96IZ2
P00374	Q92736
P00915	Q99801
P01375	Q9Y265
P02766	P80511
P04259	P36952
P05412	Q08117
P05455	P38646
P06241	Q96PU5
P06748	Q02880
P08047	Q9UM63
P08238	P23588
P09496	P68400
P10415	Q9UMX0
P11274	P40818
P11532	Q9H307
P12318	P42768
P14317	P22626
P15822	P51965
P17096	Q09028
P19086	P30086
P19397	P49863
P27338	Q9BX67
P28799	P35869
P30304	Q12959
P33176	Q8IUH5
P35221	Q13634
P42574	Q14152
P42574	Q99759
P45983	P62913
P46060	Q16665
P48552	Q92922
P48745	Q9NR61
P49760	Q03135
P50570	Q9H0F6
P50613	Q15543
P50613	Q8NHY2
P50748	Q9ULW0
P50914	Q2NL82
P51693	Q14114
P51693	Q9BXS0
P51825	Q92794
P52292	Q96GD4
P53667	Q05655
P53990	Q5JSZ5
P54259	Q99728
P55212	Q99828
P57105	Q14790
P60201	Q9HAR2
P61077	Q13287
P61244	Q6P1X5
P62263	Q9Y230
P62987	Q9NVI7
P63165	Q96EY1
P63208	Q9UJX4
P63252	Q99767
P67870	Q9NZ52
P67936	Q01995
P68371	P83731
P84022	Q00978
P84103	Q14444
P98175	Q99683
Q00613	Q92922
Q00889	Q9UGU0
Q00987	Q04724
Q01638	Q13158
Q01995	Q9H0Q3
Q03518	Q9UQV4
Q04917	Q5MJ70
Q05195	Q9Y6K9
Q06889	Q9BTL4
Q07912	Q15746
Q09472	Q9Y2Y4
Q0VG06	Q92889
Q13002	Q9P1A6
Q13111	Q8TEX9
Q13115	Q9UPT6
Q13224	Q14185
Q13322	Q9C004
Q13427	Q6UUV7
Q13596	Q969Z0
Q13952	Q9UKY1
Q14112	Q9NR99
Q14318	Q9Y6K9
Q14527	Q9BVC3
Q14554	Q15084
Q14691	Q7RTV3
Q15291	Q92466
Q15475	Q9P2T0
Q15554	Q7L590
Q15637	Q9UMN6
Q15649	Q92793
Q15672	Q9UBC0
Q15796	Q9Y6K9
Q15910	Q9H5I1
Q16539	Q9H307
Q16629	Q9NXG2
Q5VT25	Q6NZY7
Q5VU43	Q8IYB3
Q5VUB5	Q7L0X0
Q6AI39	Q9UBU6
Q6UUV7	Q86X29
Q6UWE0	Q9UER7
Q7L1I2	Q9UJD0
Q86UW1	Q96K80
Q86Y13	Q96FW1
Q8IWU6	Q9BUF5
Q8N1L9	Q96HA1
Q8N4C8	Q8WWW0
Q8N7H5	Q9HCS7
Q8N9B5	Q92831
O00192	P18545
O00257	Q9NY61
Q8TAC9	Q9H169
Q92530	Q9UNZ2
Q92556	Q92974
Q92754	Q9Y692
Q92882	Q9Y3F4
Q92985	Q9HCE7
O00418	P49840
Q9BXN2	Q9UKJ1
Q9GZN1	Q9NRQ2
O00555	Q8IZD9
O00567	Q9P2K8
O00571	P28482
O00635	Q99759
Q9H2J7	Q9NZU7
Q9H9Q2	Q9NZJ0
Q9HAV5	Q9NWF9
Q9NR30	Q9Y297
Q9NTK1	Q9UNA4
Q9NZH7	Q9UHA7
Q9P121	Q9UQB3
Q9UJF2	Q9Y6A4
Q9ULU4	Q9UQL6
O14512	Q14765
O14519	Q5MJ70
O14558	Q6UUV7
O14594	O95996
O14603	P08263
O14625	Q04206
O14640	P12931
O14727	Q6GPH4
O14735	P29508
O14757	P62995
O14965	P78527
O14974	P35080
O15075	O15264
O15123	Q15262
O15169	P08581
O15347	P06493
O15357	P10586
O15379	P11021
O15442	Q13885
O43281	O75084
O43304	P46439
O43318	P14416
O43464	Q9Y5V3
O43524	P00519
O43734	Q96FA3
O43741	P62993
O60244	Q04917
O60313	P37275
O60346	P25963
O60486	Q9NS98
O60907	Q06330
O75143	P24534
O75143	Q9BPZ7
O75170	P41222
O75528	P08047
O75688	P62805
O75791	Q9Y4K4
O75792	Q86XI2
O75832	P27348
O94921	Q9Y2U5
O95071	Q96EY1
O95196	Q69YW2
O95406	Q8TBC4
O95602	P0DPH7
O95602	P0DPH8
O96017	P50613
O96019	P31350
O96020	P53350
P00736	P04083
P05067	P0DJD7
P05067	P0DJD8
P05067	P0DJD9
P01040	P12318
P01111	P63104
P01571	Q9Y278
P02533	Q14244
P02679	Q14773
P02751	P55899
P02787	P11717
P04049	P63010
P04150	P20749
P04150	Q05066
P04626	Q99569
P04818	P38398
P05186	P62847
P05198	P63241
P05412	P22455
P05549	P42224
P05814	P34981
P06241	Q92882
P07477	P21980
P07737	Q96F07
P07858	P19397
P08047	Q04759
P08069	Q9BPZ7
P0DMV8	P41238
P0DMV9	P41238
P08493	P23142
P08631	Q02763
P08779	Q96RF1
P09238	P16035
P10070	Q13573
P10275	P20248
P10275	P51636
P10644	P53367
P10644	Q9HBM0
P11021	Q9Y5K6
P11049	P27701
P11142	Q9H171
P11171	Q16625
P11387	P49450
P11473	Q13112
P11802	P22087
P12883	P45378
P12931	P19022
