P35240	Q9Y243
P35869	Q8WYA1
P37268	Q9H6R7
P38398	Q8WYH8
P45983	P53355
P45983	Q9HAT8
P49458	Q16718
P49848	Q6UXN9
P50549	Q16665
P51948	Q9Y618
P52564	Q15418
P55196	Q96TC7
P55209	Q12834
P59047	Q9NPP4
P61077	Q8IUD6
P62913	Q15796
P68400	Q16236
Q00536	Q9P0L2
Q13029	Q33E94
Q13043	Q8IW41
Q13796	Q9BXM0
Q14982	Q59EK9
Q15366	Q99700
Q15645	Q9NSP4
Q59EK9	Q96HU8
Q6Y7W6	Q9Y2K2
O00206	P05106
Q96MG7	Q9BZR6
Q9BTX3	Q9H3N1
O00571	P18206
Q9NS56	Q9UER7
Q9P1A6	Q9P2U7
Q9Y297	Q9Y4K3
O14559	O15117
O14579	Q9P299
O14744	P07550
O14782	Q13813
O15111	Q15139
O43491	Q86YM7
O43561	Q8WX92
O43741	Q15654
O43929	Q09028
O60285	Q16620
O60934	P10275
O75326	Q9NQ76
O75367	Q71UI9
O75368	Q9BU40
O75376	Q8TDD1
O75691	Q9NTJ3
O95067	Q92674
O95229	Q6PGN9
O95711	Q8IYL9
O95747	P61981
P02671	Q14520
P04150	P61073
P04629	P10747
P06127	P14784
P06213	Q00887
P06241	Q99873
P07814	P10275
P07919	Q99471
P07996	P16035
P08069	Q6ICG6
P08962	P13501
P10275	P42345
P10276	Q99814
P10415	Q13480
P10599	Q9BXH1
P11387	P33993
P11940	Q15208
P12931	Q9HAV5
P14373	P22736
P14784	Q15303
P15153	P41743
P18615	Q15370
P20336	Q3SXP7
P23396	P26599
P24390	Q92973
P24534	Q92793
P25101	Q6UWY5
P25963	Q9NR30
P30101	Q13087
P32121	Q14686
P34931	Q02246
P35442	Q99727
P35612	Q13813
P38646	P42766
P38936	P52630
P41240	Q13470
P42336	Q9UQQ2
P47813	Q9NXG2
P47928	Q96T58
P48058	P61925
P49458	Q9Y252
P49815	Q15287
P51684	P80162
P54725	Q05516
P55083	Q15746
P55196	Q9H4L5
P56282	Q15054
P60520	P61960
P61224	Q8IVF5
P61289	Q92993
P62140	Q04206
P67809	Q00987
P68104	Q07889
Q02221	Q16082
Q06124	Q14185
Q07864	Q9Y6K1
Q13387	Q8TEW6
Q14315	Q16558
Q14669	Q16851
