O43920	P0DP23
O43920	P0DP24
O43920	P0DP25
O75643	P62875
Q93052	Q9HBI1
Q9H2B4	Q9NPB3
Q6PRD7	Q9H2B4
P42331	Q8IVF5
O60879	P60673
P99999	Q9H7D0
P19224	Q8IWW8
P0DTE4	Q8IWW8
P0DTE5	Q8IWW8
P53803	P61978
P53803	P62314
Q969L2	Q9UNW8
Q12788	Q9BRU9
O14757	Q5IJ48
P07101	P14416
P07766	P08397
O60264	Q9NQS7
Q01970	Q8NFU5
P24928	Q9HAR2
P22570	Q03393
O43913	P0CG48
P25705	Q9H0I9
Q6UXN9	Q96IV0
P17252	P78536
Q8WXD5	Q9NYV4
Q6P2Q9	Q8WXD5
Q96Q05	Q9H0Y0
Q13426	Q96ST3
P35222	Q13316
O60841	Q8N4S9
Q15915	Q92858
Q12866	Q13884
P00846	P54289
P17252	P69891
P18859	P37837
P23921	Q01831
Q9NRW1	Q9Y5K6
P62875	Q96T76
P08047	Q5VTR2
P40145	Q02156
P0DPB5	P40145
P0DPB6	P40145
O95837	P34995
O95837	P30411
O95837	P30559
P00813	P55263
P14927	P56556
Q15393	Q8WYB5
O43924	P20594
P28328	P30531
P22557	P42574
P15259	P19237
Q13112	Q6VMQ6
Q13112	Q96KQ7
P55036	Q13177
P55036	Q58FF3
P28070	Q13177
P85299	Q12979
O15379	P48449
Q15008	Q7Z7E8
O95167	Q7Z7E8
Q7L1W4	Q7Z7E8
Q7Z7E8	Q9UNM6
Q6P1K2	Q9BXJ9
P04054	P24462
P24462	Q9NZK7
P62917	Q9H009
Q15555	Q8NBT2
P42574	P60842
O60503	P22612
O00341	Q9UPX8
O75414	P30085
Q09028	Q9P2I0
P05186	P11279
P07327	Q9Y577
P09529	P25440
Q15906	Q8WVC0
P42331	Q92764
P49368	Q969Q0
O14994	P43308
P27449	P43308
O14645	O94827
Q05655	Q9Y2U5
Q9BVP2	Q9NPE3
O60880	Q9BVP2
Q6UXN9	Q9Y4E1
O00267	O75446
P08758	P53801
Q49MG5	Q96A00
Q9H252	Q9NQV7
P24043	P42574
O95478	Q8N729
O14994	P63104
O95166	Q969Q0
P63218	Q969Q0
P04439	Q969Q0
P57678	Q99633
O75489	Q9H3K2
Q6QNY0	Q86YV9
P05771	Q9NZK7
Q9H0U4	Q9Y3D0
Q96GC5	Q9Y3D0
Q6ZMR3	Q86WU2
P53350	Q9UNM6
P55259	Q13277
P62314	P62487
Q8IUF8	Q969H6
Q969H6	Q9Y265
Q6UXH1	Q969H6
P40306	Q9H211
P28062	Q9H211
Q07869	Q9BY76
P31943	P62487
O75764	P62487
P00846	P35222
P18085	P36873
O00159	P31948
P56385	P63218
O95070	Q12907
P82650	Q96G03
O95149	Q969L4
Q8IX07	Q96ST3
O75486	Q96ST3
O43683	Q6IPU0
Q13098	Q9UBQ5
P60763	Q04206
P00813	P35368
P49755	P62701
Q8IUF8	Q96DE0
P62310	Q13200
P01236	P20396
Q86UN6	Q9GZS0
O94827	Q86XW9
O94827	Q86UN6
P47813	P63220
O43447	Q86XP3
Q9NPJ4	Q9Y4E1
P07919	P56556
O75486	O75971
O76094	P08240
P82650	Q14919
Q13561	Q99613
B5ME19	Q13561
P08779	P15407
Q92889	Q969P6
Q9BUL9	Q9Y265
P59990	Q8WU66
O43805	P07437
O43805	P68371
Q03252	Q9H7B4
Q6PRD7	Q8N196
P23193	P49411
O14521	P08574
P08574	Q9Y3D7
Q5YKI7	Q86UU5
P19235	Q8WXH5
O60244	Q96GJ1
Q14CB8	Q92619
P55209	Q16777
P17735	Q00577
P04629	Q9H156
O75449	Q8TDR0
P16885	Q99653
O60762	P18085
O60762	Q92572
P09769	Q9UF33
O00522	P55042
P43351	Q9UBU7
Q9H0E7	Q9Y6D9
O14561	Q9BUL8
O14561	Q9NPA0
O14561	Q9UNS2
O14561	Q13200
O14561	P03897
Q9H0M0	Q9UKT7
P26006	Q9NVD7
O76009	P48146
Q01668	Q09428
Q8N556	Q9UHR4
O75438	Q86V24
P42679	Q14980
P25705	P51854
O14531	Q96RY5
P20853	P31513
P20618	Q13177
Q8N135	Q9P0K1
Q16563	Q9UPT5
P10620	P33260
P10620	P10632
P10620	Q96SQ9
P60866	Q9NP92
O75400	P60866
P60866	Q9H910
P33991	Q9UIG0
O60664	O95772
P01730	Q07075
O60447	Q9NXB0
Q9ULX6	Q9UMR2
O43581	Q9UNZ2
O00443	Q9HB31
Q9Y2Y4	Q9Y5L0
P34903	Q96HA9
O96011	P34903
P00451	P34903
O43909	Q9P2W7
P08183	Q14764
P58304	Q9Y5A7
O00566	P49759
P49759	P83876
P49759	Q9H814
P49759	Q9BUQ8
P05109	P49184
O75449	Q9Y6A5
P05019	Q8IZL8
P20151	Q15311
P10809	Q9UBP0
P08134	Q9H4E7
Q15836	Q9NZN4
Q13596	Q9UK41
P21815	Q13753
P02511	Q13099
Q13099	Q9BSJ2
P35232	Q13099
P46597	Q96T88
O95721	P60520
Q99972	Q9UMX6
P35251	Q9BVW5
P13611	P49682
O75496	P25789
P26010	P35221
P30876	P55769
P12270	P23975
O43683	P27816
Q14055	Q99715
P36954	Q13216
O96011	P56645
Q16651	Q9Y4B6
Q8WXE9	Q9NZ43
O60333	Q96FJ2
Q5TIA1	Q9Y5K1
P19525	P47813
P50395	P84090
Q13153	Q13753
O00459	Q13972
P10301	Q13972
Q13972	Q68EM7
Q13395	Q96J94
P05305	P30679
O75431	P82673
Q15020	Q9Y5L0
P08754	P19174
P08754	Q9P2W3
O95631	Q8NFZ8
O95838	Q9H252
P59796	Q9H4Y5
O43772	Q96GM5
Q15629	Q9Y5M8
O60447	P52198
O60447	Q96RT8
O60447	Q969S2
Q05513	Q969P6
Q15120	Q8N490
O43293	P19532
O00139	O43566
O00139	Q9Y5K6
P27338	P51648
O75351	P46934
P25092	Q13370
Q13568	Q9P1Y6
O15539	O95633
P06746	Q07666
Q7Z7M9	Q9NSC7
Q96FL9	Q9NSC7
P11940	P41238
P16885	Q9UQM7
P10242	P20020
O95819	Q8IUD2
O00562	O75083
A1A4S6	Q14155
A1A4S6	Q9H8V3
A1A4S6	P15498
Q7Z7C8	Q9NXR8
Q9HAJ7	Q9NXR8
P15923	Q15759
O95613	P17612
Q15772	Q15853
Q14683	Q1MX18
Q12778	Q96EP1
P37231	Q12968
Q13393	Q15027
O43264	Q9NXR1
Q9Y243	Q9Y6K9
O60658	P20594
P31040	Q9Y6A1
Q13643	Q96AC1
Q7Z460	Q9UJT1
Q7Z460	Q9UGJ1
Q7Z460	Q8TDX7
Q7Z460	Q9NPA3
O43818	Q14966
Q14966	Q9H0E3
O00305	Q9UF02
Q15020	Q96I25
Q15020	Q8WXD5
Q15020	Q15637
P01275	Q02962
Q92922	Q9UIF9
Q96R06	Q9UPT5
Q13889	Q9HCS7
O94805	Q16576
Q12789	Q99614
O43602	Q92730
Q7Z5R6	Q86WV1
P18564	P35609
P49459	Q9ULM6
O15056	P48736
P09960	P62873
O43504	P62873
P01019	P62873
P15498	P62873
P17252	P62873
P05305	Q5JWF2
P05305	P19086
Q15154	Q96H20
Q15139	Q9NZM6
P51531	Q96FV9
P52701	Q9BUB5
Q15102	Q9UNK4
Q14807	Q15691
Q14807	Q53EZ4
Q14807	Q9H4L7
Q13162	Q92499
O15400	O60645
P07947	Q9UF33
Q5UIP0	Q9NPE3
O43174	P49768
P36551	Q99595
P07900	Q92572
Q86WC4	Q99697
O60729	Q9Y463
Q16576	Q6STE5
P11047	P18084
P23193	P46782
P51513	Q96MU7
O15120	O75844
P36969	Q13347
Q9NRM7	Q9UPY8
P23769	Q03112
O14730	Q96EE3
O14818	Q13415
P15291	P51993
Q12986	Q9NV88
P53367	Q15363
O43264	Q13487
O43264	Q15058
P04070	Q14324
P01138	P22303
P0DML2	P62195
P0DML3	P62195
P09471	P41594
P09471	Q9NZK7
P53803	Q13435
P48061	Q5JWF2
P25021	Q5JWF2
P41231	Q5JWF2
P14555	Q5JWF2
O75175	Q14498
P29992	P57771
O43516	Q8TDY4
Q9UEU0	Q9UNZ2
Q96KP1	Q9UNZ2
O14662	Q9UNZ2
O95295	Q9UNZ2
O60645	Q9UNZ2
Q9UNZ2	Q9UPT5
P49802	Q9UNZ2
Q15477	Q9H0D6
P63167	Q15628
P05388	Q01518
P05388	P62837
O15554	Q9UQ05
P15498	Q9P107
O60469	Q9P107
P19634	P35241
O43683	Q9Y266
Q08378	Q8NHY2
P14406	Q13310
O95239	Q70YC5
O43566	O95239
Q13200	Q9NV70
P09622	P43251
P07954	P30049
P46527	Q9Y5N6
Q8TCG5	Q96KN7
Q96KN7	Q9H845
O14893	P55265
Q92904	Q9H9S0
P22314	Q92904
O00161	P11142
P45973	Q9UL18
Q6UVJ0	Q9UIF3
P62837	Q9UBN7
Q99741	Q9H7B4
P14780	Q9NRG9
Q8TEM1	Q9NRG9
P23219	Q9H7Z7
O14981	P17980
O43174	Q96RP3
Q8NEV4	Q9HBV2
P30518	Q8NEV4
Q96SB4	Q9Y463
P62277	Q96SB4
P78362	Q99459
O14639	O14908
Q9NS61	Q9Y257
P48544	Q9Y257
O14737	P48556
P17568	P52434
P19388	P52298
P46109	Q13683
Q6UWF7	Q9UDX4
O00541	Q92979
P19086	P28482
P19440	Q9Y2Q3
P54198	Q04724
Q9H7Z7	Q9Y262
P55769	Q9NW13
P55769	Q96JC9
Q14139	Q9Y3I1
Q8NHY2	Q9UNF0
Q8NDX2	Q9UNF0
O15371	O60869
P20472	Q01484
O43808	Q03181
O43808	Q7Z412
Q7RTV0	Q96JC9
Q99798	Q9BYD3
Q15651	Q9NRG7
O14744	Q92805
O14744	Q9H840
O95433	P51571
Q13243	Q96BT3
O14828	P62191
O95793	P28074
Q13017	Q9NR80
P48637	Q9UJ14
Q13042	Q9Y2I6
Q6P2Q9	Q9H6Q3
O43399	P51858
O43399	P51572
O95059	Q9H4B7
